Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Gear (Calculated)* (position)
7036,-8.59,-1.56,14.70,8,0.25,785,0.00,0.00,14.70,16,9.88,15.50,118,5.08,-9.65,3.33,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.90,1
7124,-8.59,-1.56,14.70,8,0.25,788,0.00,0.00,14.70,16,9.88,14.50,118,5.08,-9.63,3.34,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1
7213,-8.59,-1.56,14.70,8,0.26,788,0.00,0.00,14.70,16,9.88,14.50,118,5.08,-9.61,3.34,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1
7302,-8.59,-2.34,14.70,8,0.26,789,0.00,0.00,14.70,16,9.88,14.00,118,5.08,-9.59,3.38,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1
7391,-8.59,-2.34,14.70,8,0.26,782,0.00,0.00,14.70,16,9.88,15.00,118,5.08,-9.55,3.38,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1
7481,-8.59,-2.34,14.70,8,0.26,780,0.00,0.00,14.70,16,9.88,14.00,118,5.22,-9.53,3.42,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1
7569,-7.81,-2.34,14.70,8,0.26,782,0.00,0.00,14.69,16,9.88,14.00,118,5.22,-9.51,3.45,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1
7658,-8.59,-2.34,14.81,8,0.27,782,0.00,0.00,14.69,16,9.88,13.50,118,5.22,-9.48,3.45,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1
7747,-8.59,-2.34,14.70,8,0.27,784,0.00,0.00,14.69,16,9.88,13.00,118,5.22,-9.46,3.51,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1
7836,-8.59,-4.69,14.70,8,0.27,783,0.00,0.00,14.69,16,9.88,13.50,118,5.22,-9.44,3.51,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1
7925,-8.59,-4.69,14.70,8,0.27,781,0.00,0.00,14.70,16,9.88,12.50,118,5.22,-9.42,3.51,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1
8014,-8.59,-4.69,14.70,8,0.27,786,0.00,0.00,14.69,16,9.88,12.50,118,5.37,-9.38,3.55,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1
8103,-8.59,-4.69,14.70,8,0.27,790,0.00,0.00,14.69,16,9.88,11.00,118,5.37,-9.38,3.58,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1
8192,-7.81,-4.69,14.59,8,0.27,789,0.00,0.00,14.69,16,9.88,11.00,118,5.37,-9.36,3.58,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1
8282,-7.81,-4.69,14.70,8,0.28,771,0.00,0.00,14.69,16,9.88,13.00,118,5.37,-9.36,3.58,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1
8371,-7.81,-4.69,14.81,8,0.28,772,0.00,0.00,14.69,16,9.88,13.00,118,5.37,-9.34,3.60,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1
8460,-7.03,-4.69,14.81,8,0.28,776,0.00,0.00,14.69,16,9.88,12.50,118,5.37,-9.26,3.62,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1
8549,-7.03,-4.69,15.04,8,0.28,784,0.00,0.00,14.69,16,9.88,10.50,118,5.37,-9.28,3.67,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1
8638,-6.25,-4.69,15.16,8,0.27,804,0.00,0.00,14.69,16,9.88,10.00,118,5.37,-9.26,3.67,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1
8727,-6.25,-4.69,15.16,8,0.27,796,0.00,0.00,14.70,16,9.88,9.50,118,5.37,-9.26,3.65,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,15.00,1
8816,-6.25,-4.69,15.27,8,0.27,783,0.00,0.00,14.70,16,9.88,9.50,118,5.37,-9.28,3.62,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,15.10,1
8905,-5.47,-4.69,15.16,8,0.28,788,0.00,0.00,14.70,16,9.88,10.50,118,5.37,-9.26,3.62,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,15.30,1
8994,-6.25,-4.69,15.16,8,0.28,792,0.00,0.00,14.69,16,9.88,10.50,118,5.37,-9.26,3.62,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,15.10,1
9083,-4.69,-4.69,15.27,8,0.28,805,0.00,0.00,14.69,16,9.88,9.50,118,5.51,-9.24,3.70,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,15.30,1
