Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
29292,14.70,0.29,1534,0.00,0.00,16,30.98,30.50,9.29,-5.49,14.53,-1.39,0.88
29496,14.70,0.28,1615,0.00,0.00,16,31.33,30.50,8.71,-5.98,14.98,-1.39,0.88
29683,14.13,0.26,1712,0.00,0.00,16,32.38,32.00,8.13,-6.57,15.06,-1.39,0.88
29871,14.01,0.25,1791,0.00,0.00,16,34.84,34.00,7.84,-6.86,14.79,-1.39,0.86
30058,14.01,0.23,1846,0.00,0.00,16,35.20,35.00,7.25,-7.60,12.90,-1.39,0.82
30246,13.32,0.20,1894,0.00,0.00,16,34.84,35.50,6.67,-8.28,11.82,-1.39,0.82
30433,13.09,0.18,1912,0.00,0.00,16,34.84,34.50,6.24,-8.72,11.50,-1.39,0.78
30636,13.44,0.14,1902,0.00,0.00,16,33.09,33.50,5.37,-9.69,8.52,-1.39,0.72
30824,12.75,0.11,1898,0.00,0.00,16,30.98,31.00,4.50,-10.27,6.66,-1.39,0.70
31011,12.40,0.10,1884,0.00,0.00,16,28.52,30.50,4.21,-10.67,6.33,-1.39,0.64
31199,12.52,0.08,1827,0.00,0.00,16,16.56,26.00,3.48,-11.27,4.78,-1.39,0.64
31387,12.63,0.09,1780,0.00,0.00,16,11.99,20.00,3.19,-11.54,5.10,-1.39,0.64
31574,11.94,0.09,1674,0.00,0.00,16,11.99,22.00,3.05,-11.60,5.10,-1.39,0.64
31762,12.17,0.10,1613,0.00,0.00,16,11.99,22.00,3.34,-11.39,5.10,-1.39,0.64
31965,13.32,0.10,1501,0.00,0.00,16,11.64,22.00,3.34,-11.29,5.01,-1.39,0.64
32152,15.50,0.11,1430,0.00,0.00,16,11.29,1.00,3.63,-11.16,5.10,-1.39,0.64
32340,18.95,0.11,1356,0.00,0.00,16,11.29,21.00,3.63,-11.10,5.10,-1.39,0.64
32527,18.83,0.11,1330,0.00,0.00,16,10.94,21.00,3.63,-11.04,4.97,-1.39,0.64
32715,15.39,0.12,1264,0.00,0.00,16,10.94,21.00,3.77,-10.96,4.95,-1.39,0.64
32902,13.90,0.12,1238,0.00,0.00,16,10.59,20.50,3.92,-10.79,5.08,-1.39,0.64
33090,12.06,0.13,1208,0.00,0.00,16,10.59,20.50,4.06,-10.52,5.27,-1.39,0.64
33277,11.71,0.14,1194,0.00,0.00,16,10.59,20.50,4.35,-10.27,5.43,-1.39,0.64
33480,11.83,0.15,1169,0.00,0.00,16,10.23,20.50,4.64,-9.94,5.65,-1.08,0.64
33668,12.17,0.16,1142,0.00,0.00,16,10.23,20.00,5.08,-9.51,6.04,-1.08,0.66
33856,12.75,0.17,1154,0.00,0.00,16,10.23,20.00,5.37,-9.15,6.59,-1.08,0.68
34043,13.44,0.18,1149,0.00,0.00,16,11.29,10.00,5.80,-8.80,7.03,-1.08,0.70
34231,14.24,0.20,1082,0.00,0.00,16,14.45,13.00,5.95,-8.59,6.77,-1.08,0.74
34418,14.70,0.21,1157,0.00,0.00,16,20.78,17.50,6.53,-8.01,8.14,-1.08,0.76
34606,14.59,0.24,1152,0.00,0.00,16,25.35,24.50,6.82,-7.68,8.82,-1.08,0.76
34824,14.70,0.24,1221,0.00,0.00,16,27.46,26.00,7.40,-7.27,9.84,-1.39,0.80
35012,14.70,0.25,1217,0.00,0.00,16,27.81,28.00,7.84,-6.83,10.49,-1.39,0.80
35199,14.93,0.25,1308,0.00,0.00,16,27.81,28.00,7.84,-6.88,10.99,-1.39,0.80
35387,15.62,0.25,1368,0.00,0.00,16,28.52,28.00,7.84,-6.83,11.40,-1.39,0.82
35575,15.85,0.27,1425,0.00,0.00,16,29.57,29.50,8.13,-6.46,13.13,-1.39,0.84
35762,15.50,0.27,1518,0.00,0.00,16,29.92,29.50,8.42,-6.25,13.71,-1.39,0.86
35950,14.93,0.35,1642,0.00,0.00,16,36.25,35.50,9.43,-5.10,19.20,-1.39,0.96
36153,12.63,0.34,1716,0.00,0.00,16,36.60,36.50,9.72,-4.89,19.73,-1.08,0.96
36340,14.70,0.32,1884,0.00,0.00,16,38.36,37.00,9.72,-5.10,19.89,-1.08,0.96
36528,15.27,0.31,1986,0.00,0.00,16,39.77,39.00,9.43,-5.36,20.32,-1.08,0.98
