Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Coolant Temperature (F)
159959,0.00,0.00,14.70,7,0.24,1013,0.00,0.00,12.19,16,9.88,16.00,100,4.50,-10.17,4.15,1.32,0.00,-1.70,0.00,0.64,0.00,0.00,14.50,174
160048,0.00,0.00,14.70,7,0.25,1006,0.00,0.00,12.19,16,9.88,16.00,100,4.50,-10.15,4.13,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,14.50,174
160137,0.00,0.00,14.70,7,0.24,1005,0.00,0.00,12.20,16,9.88,16.50,100,4.50,-10.13,4.07,1.32,0.00,-1.70,0.00,0.64,0.00,0.00,14.50,174
160225,0.00,0.00,14.70,7,0.25,1012,0.00,0.00,12.20,16,9.88,14.50,100,4.50,-10.13,4.13,1.30,0.00,-1.70,0.00,0.64,0.00,0.00,14.50,174
160315,0.00,0.00,14.70,7,0.25,1002,0.00,0.00,12.21,16,9.88,14.50,100,4.64,-10.11,4.13,1.32,0.00,-1.70,0.00,0.64,0.00,0.00,14.50,174
160407,0.00,0.00,14.70,7,0.25,996,0.00,0.00,12.21,16,9.88,14.00,100,4.64,-10.07,4.13,1.32,0.00,-1.70,0.00,0.64,0.00,0.00,14.50,174
160493,0.00,0.00,14.70,7,0.25,1002,0.00,0.00,12.22,16,9.88,15.50,100,4.64,-10.07,4.13,1.32,0.00,-1.70,0.00,0.64,0.00,0.00,14.50,174
160581,0.00,0.00,14.70,7,0.26,975,0.00,0.00,12.23,16,9.88,16.00,100,4.64,-10.06,4.13,1.32,0.00,-1.70,0.00,0.64,0.00,0.00,14.50,174
160671,0.00,0.00,14.70,7,0.26,988,0.00,0.00,12.23,16,9.88,14.00,100,4.79,-9.98,4.24,1.32,0.00,-1.70,0.00,0.64,0.00,0.00,14.50,174
160760,0.00,0.00,14.70,7,0.26,996,0.00,0.00,12.24,16,9.88,13.00,100,4.79,-9.96,4.21,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,14.60,174
160849,0.00,0.00,14.70,7,0.25,986,0.00,0.00,12.24,16,9.88,13.50,100,4.79,-9.98,4.21,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,14.50,174
160938,0.00,0.00,14.70,7,0.26,985,0.00,0.00,12.25,16,9.88,13.50,100,4.79,-9.96,4.21,1.32,0.00,-1.70,0.00,0.64,0.00,0.00,14.50,174
161027,0.00,0.00,14.70,7,0.26,989,0.00,0.00,12.26,16,9.88,12.50,100,4.79,-9.92,4.24,1.32,0.00,-1.70,0.00,0.64,0.00,0.00,14.50,174
161116,0.00,0.00,14.70,7,0.26,984,0.00,0.00,12.26,16,9.88,12.50,100,4.79,-9.88,4.29,1.32,0.00,-1.70,0.00,0.64,0.00,0.00,14.50,174
161205,0.00,0.00,14.70,7,0.26,998,0.00,0.00,12.27,16,9.88,11.50,100,4.79,-9.92,4.29,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,14.50,174
161294,0.00,0.00,14.70,7,0.26,989,0.00,0.00,12.27,16,9.88,11.50,100,4.79,-9.86,4.29,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,14.50,174
161383,0.00,0.00,14.70,7,0.27,975,0.00,0.00,12.28,16,9.88,13.00,100,4.93,-9.82,4.32,1.32,0.00,-1.70,0.00,0.64,0.00,0.00,14.50,174
161471,0.00,0.00,14.59,7,0.26,975,0.00,0.00,12.28,16,9.88,11.50,100,4.93,-9.80,4.35,1.32,0.00,-1.70,0.00,0.64,0.00,0.00,14.50,174
161561,0.00,0.00,14.59,7,0.27,967,0.00,0.00,12.29,16,9.88,13.00,100,4.93,-9.82,4.35,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,14.50,174
161650,0.00,0.00,14.59,7,0.27,980,0.00,0.00,12.29,16,9.88,11.50,100,4.93,-9.77,4.37,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.50,174
161740,0.00,0.00,14.59,7,0.27,991,0.00,0.00,12.30,16,9.88,10.00,100,4.93,-9.73,4.40,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.50,174
161829,0.00,0.00,14.59,7,0.27,982,0.00,0.00,12.30,16,9.88,11.00,100,4.93,-9.73,4.43,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,14.50,174
161917,0.00,0.00,14.59,7,0.27,979,0.00,0.00,12.31,16,9.88,11.00,100,4.93,-9.71,4.43,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,14.60,174
162006,0.00,0.00,14.59,7,0.28,990,0.00,0.00,12.32,16,9.88,9.50,100,5.08,-9.65,4.46,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,14.60,174
162095,0.00,0.00,14.59,7,0.28,986,0.00,0.00,12.32,16,9.88,10.00,100,5.08,-9.63,4.52,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.60,174
162185,0.00,0.00,14.59,7,0.28,992,0.00,0.00,12.33,16,9.88,10.50,100,5.08,-9.63,4.55,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.50,174
162273,0.00,0.00,14.59,7,0.27,978,0.00,0.00,12.34,16,9.88,10.50,100,5.08,-9.61,4.52,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.60,174
162362,0.00,0.00,14.59,7,0.28,992,0.00,0.00,12.34,16,9.88,9.50,100,5.08,-9.57,4.57,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,14.60,174
162452,0.00,0.00,14.59,7,0.28,990,0.00,0.00,12.35,16,9.88,8.00,100,5.08,-9.57,4.57,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.60,174
162541,0.00,0.00,14.59,7,0.27,986,0.00,0.00,12.35,16,9.88,10.00,100,5.08,-9.63,4.55,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.60,174
162630,0.00,0.00,14.59,7,0.28,992,0.00,0.00,12.36,16,9.88,9.50,100,5.08,-9.61,4.57,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.60,174
162719,0.00,0.00,14.47,7,0.28,992,0.00,0.00,12.37,16,9.88,9.00,100,5.08,-9.57,4.60,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.60,174
162808,0.00,0.00,14.47,7,0.28,986,0.00,0.00,12.37,16,9.88,10.00,100,5.08,-9.57,4.60,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.60,174
162897,0.00,0.00,14.47,7,0.28,998,0.00,0.00,12.38,16,9.88,9.50,100,5.08,-9.57,4.64,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,174
162986,0.00,0.00,14.47,7,0.28,1007,0.00,0.00,12.39,16,9.88,8.00,100,5.08,-9.55,4.64,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,174
163076,0.00,0.00,14.47,7,0.28,1002,0.00,0.00,12.39,16,9.88,8.50,100,5.22,-9.53,4.64,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,174
163165,0.00,0.00,14.47,7,0.28,984,0.00,0.00,12.39,16,9.88,9.50,100,5.08,-9.55,4.66,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,174
163253,0.00,0.00,14.47,7,0.28,998,0.00,0.00,12.40,16,9.88,9.00,100,5.22,-9.53,4.64,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,174
163343,0.00,0.00,14.47,7,0.28,1006,0.00,0.00,12.41,16,9.88,8.00,100,5.22,-9.55,4.66,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,174
163432,0.00,0.00,14.47,7,0.28,1014,0.00,0.00,12.42,16,9.88,7.00,100,5.22,-9.53,4.66,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,174
163521,0.00,0.00,14.47,7,0.28,1009,0.00,0.00,12.42,16,9.88,8.00,100,5.08,-9.55,4.73,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,174
163611,0.00,0.00,14.47,7,0.28,1019,0.00,0.00,12.44,16,9.88,7.00,100,5.08,-9.57,4.73,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,174
163698,0.00,0.00,14.47,7,0.28,1010,0.00,0.00,12.44,16,9.88,11.00,100,5.08,-9.57,4.73,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,174
163788,0.00,0.00,14.47,7,0.29,994,0.00,0.00,12.45,16,9.88,10.00,100,5.22,-9.51,4.73,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
163877,0.00,0.00,14.47,7,0.28,993,0.00,0.00,12.45,16,9.88,9.50,100,5.22,-9.53,4.70,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,15.10,174
163966,0.00,0.00,14.47,7,0.28,1002,0.00,0.00,12.46,16,9.88,10.00,100,5.22,-9.51,4.73,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,15.00,174
164055,0.00,0.00,14.47,7,0.28,1017,0.00,0.00,12.47,16,9.88,7.50,100,5.22,-9.51,4.66,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,15.10,174
164143,0.00,0.00,14.47,7,0.28,1004,0.00,0.00,12.47,16,9.88,8.00,100,5.22,-9.51,4.71,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,15.10,174
164232,0.00,0.00,14.47,7,0.28,993,0.00,0.00,12.48,16,9.88,10.50,100,5.22,-9.53,4.66,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,15.10,174
164322,0.00,0.00,14.47,7,0.28,1006,0.00,0.00,12.49,16,9.88,9.00,100,5.22,-9.55,4.70,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,15.00,174
164412,0.00,0.00,14.47,7,0.28,1010,0.00,0.00,12.49,16,9.88,9.00,100,5.22,-9.51,4.66,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,15.00,174
164500,0.00,0.00,14.36,7,0.27,1015,0.00,0.00,12.50,16,9.88,8.00,100,5.08,-9.55,4.60,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,15.00,174
164589,0.00,0.00,14.36,7,0.27,999,0.00,0.00,12.50,16,9.88,10.00,100,5.08,-9.57,4.64,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
164678,0.00,0.00,14.36,7,0.28,1002,0.00,0.00,12.51,16,9.88,10.00,100,5.08,-9.59,4.64,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
164767,0.00,0.00,14.36,7,0.28,1021,0.00,0.00,12.51,16,9.88,7.50,100,5.08,-9.57,4.64,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,174
164856,0.00,0.00,14.36,7,0.27,1012,0.00,0.00,12.52,16,9.88,7.50,100,5.08,-9.57,4.64,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,176
164945,0.00,0.00,14.36,7,0.27,1024,0.00,0.00,12.53,16,9.88,9.00,100,5.08,-9.61,4.64,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,176
165035,0.00,0.00,14.47,7,0.28,997,0.00,0.00,12.53,16,9.88,10.50,100,5.08,-9.63,4.70,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,176
165123,0.00,0.00,14.47,7,0.28,1003,0.00,0.00,12.54,16,9.88,11.50,100,5.08,-9.57,4.73,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,176
165212,0.00,0.00,14.59,7,0.28,1001,0.00,0.00,12.54,16,9.88,10.00,100,5.08,-9.55,4.66,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,176
165301,0.00,0.00,14.59,7,0.28,998,0.00,0.00,12.54,16,9.88,10.50,100,5.08,-9.55,4.66,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,176
165390,0.00,0.00,14.59,7,0.27,1017,0.00,0.00,12.54,16,9.88,9.50,100,5.08,-9.57,4.64,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,15.00,174
165479,0.00,0.00,14.59,7,0.28,1022,0.00,0.00,12.54,16,9.88,8.00,100,5.08,-9.57,4.66,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,15.00,174
165569,0.00,0.00,14.59,7,0.28,1006,0.00,0.00,12.54,16,9.88,9.50,100,5.08,-9.57,4.70,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,15.00,174
165658,0.00,0.00,14.59,7,0.28,1016,0.00,0.00,12.54,16,9.88,9.50,100,5.08,-9.57,4.66,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,15.00,174
165747,0.00,0.00,14.59,7,0.28,996,0.00,0.00,12.54,16,9.88,10.50,102,5.08,-9.57,4.66,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
165836,0.00,0.00,14.59,7,0.28,1010,0.00,0.00,12.54,16,9.88,9.50,102,5.08,-9.59,4.66,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
165925,0.00,0.00,14.59,7,0.28,995,0.00,0.00,12.54,16,9.88,9.50,102,5.08,-9.57,4.64,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
166014,0.00,0.00,14.59,7,0.28,987,0.00,0.00,12.54,16,9.88,11.50,102,5.08,-9.57,4.66,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
166103,0.00,0.00,14.59,7,0.28,1001,0.00,0.00,12.54,16,9.88,9.50,102,5.22,-9.53,4.73,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
166192,0.00,0.00,14.59,7,0.28,1004,0.00,0.00,12.54,16,9.88,8.00,102,5.22,-9.51,4.70,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
166281,0.00,0.00,14.59,7,0.28,1002,0.00,0.00,12.54,16,9.88,9.50,102,5.08,-9.55,4.70,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
166370,0.00,0.00,14.59,7,0.28,1009,0.00,0.00,12.54,16,9.88,9.00,102,5.22,-9.55,4.66,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
166459,0.00,0.00,14.59,7,0.28,993,0.00,0.00,12.54,16,9.88,10.50,102,5.22,-9.53,4.70,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
166548,0.00,0.00,14.70,7,0.28,1009,0.00,0.00,12.54,16,9.88,9.00,102,5.22,-9.53,4.66,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
166637,0.00,0.00,14.70,7,0.28,993,0.00,0.00,12.54,16,9.88,9.50,102,5.08,-9.55,4.73,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
166727,0.00,0.00,14.59,7,0.28,1003,0.00,0.00,12.54,16,9.88,9.50,102,5.22,-9.53,4.70,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
166816,0.00,0.00,14.70,7,0.28,1019,0.00,0.00,12.54,16,9.88,8.00,102,5.22,-9.53,4.70,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
166905,0.00,0.00,14.70,7,0.28,1014,0.00,0.00,12.54,16,9.88,8.00,102,5.08,-9.55,4.66,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
166994,0.00,0.00,14.70,7,0.28,1005,0.00,0.00,12.54,16,9.88,9.50,102,5.08,-9.55,4.70,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
167084,0.00,0.00,14.70,7,0.28,995,0.00,0.00,12.54,16,9.88,10.50,102,5.08,-9.57,4.73,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,15.00,174
167173,0.00,0.00,14.70,7,0.28,1003,0.00,0.00,12.54,16,9.88,9.50,102,5.08,-9.55,4.70,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,15.00,174
167262,0.00,0.00,14.70,7,0.28,1014,0.00,0.00,12.54,16,9.88,8.50,102,5.08,-9.55,4.71,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,15.00,174
167351,0.00,0.00,14.70,7,0.28,1006,0.00,0.00,12.54,16,9.88,8.00,102,5.08,-9.57,4.70,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,15.00,174
167440,0.00,0.00,14.70,7,0.28,1009,0.00,0.00,12.54,16,9.88,9.50,102,5.08,-9.59,4.66,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,15.00,174
167529,0.00,0.00,14.70,7,0.28,1012,0.00,0.00,12.54,16,9.88,9.00,102,5.08,-9.59,4.66,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,15.00,174
167618,0.00,0.00,14.59,7,0.28,999,0.00,0.00,12.54,16,9.88,8.50,102,5.08,-9.53,4.70,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,15.00,174
167707,0.00,0.00,14.70,7,0.28,1014,0.00,0.00,12.54,16,9.88,8.50,102,5.08,-9.55,4.70,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,15.00,174
167796,0.00,0.00,14.70,7,0.28,999,0.00,0.00,12.54,16,9.88,10.50,102,5.08,-9.57,4.66,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,15.00,174
167885,0.00,0.00,14.70,7,0.28,1008,0.00,0.00,12.54,16,9.88,9.50,102,5.08,-9.55,4.70,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,15.00,174
167975,0.00,0.00,14.70,7,0.27,1021,0.00,0.00,12.54,16,9.88,9.00,102,5.08,-9.55,4.66,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
168064,0.00,0.00,14.59,7,0.28,1007,0.00,0.00,12.54,16,9.88,9.50,102,5.08,-9.59,4.66,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
168153,0.00,0.00,14.47,7,0.28,1017,0.00,0.00,12.54,16,9.88,8.50,102,5.08,-9.59,4.70,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
168241,0.00,0.00,14.59,7,0.27,1027,0.00,0.00,12.54,16,9.88,7.50,102,5.08,-9.59,4.66,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
168331,0.00,0.00,14.59,7,0.28,1015,0.00,0.00,12.54,16,9.88,9.50,102,5.08,-9.57,4.66,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
168420,0.00,0.00,14.59,7,0.27,1012,0.00,0.00,12.54,16,9.88,8.50,102,5.08,-9.61,4.70,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,15.00,174
168509,0.00,0.00,14.59,7,0.27,1012,0.00,0.00,12.54,16,9.88,9.50,102,5.08,-9.63,4.66,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,15.00,174
168598,0.00,0.00,14.70,7,0.27,1034,0.00,0.00,12.54,16,9.88,8.50,102,5.08,-9.63,4.64,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
168687,0.00,0.00,14.70,7,0.27,1030,0.00,0.00,12.54,16,9.88,8.00,102,5.08,-9.63,4.66,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,174
168776,0.00,0.00,14.70,7,0.27,1024,0.00,0.00,12.54,16,9.88,8.50,102,5.08,-9.63,4.66,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,15.10,174
168865,0.00,0.00,14.70,7,0.27,1030,0.00,0.00,12.54,16,9.88,9.00,102,5.08,-9.63,4.66,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,15.00,174
168955,0.00,0.00,14.70,7,0.27,1010,0.00,0.00,12.54,16,9.88,10.50,102,5.08,-9.65,4.66,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,15.00,174
169043,0.00,0.00,14.81,7,0.28,1010,0.00,0.00,12.54,16,9.88,10.50,102,5.08,-9.63,4.70,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,15.00,174
169132,0.00,0.00,14.70,7,0.28,992,0.00,0.00,12.54,16,9.88,10.00,102,5.08,-9.59,4.70,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,15.00,174
169221,0.00,0.00,14.70,7,0.28,1006,0.00,0.00,12.54,16,9.88,10.50,102,5.08,-9.57,4.75,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,15.00,174
169311,0.00,0.00,14.70,7,0.28,1023,0.00,0.00,12.54,16,9.88,9.50,102,5.08,-9.59,4.70,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
169400,0.00,0.00,14.70,7,0.28,1015,0.00,0.00,12.54,16,9.88,8.00,102,5.08,-9.59,4.66,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
169489,0.00,0.00,14.59,7,0.28,1022,0.00,0.00,12.54,16,9.88,8.50,102,5.08,-9.57,4.70,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
169577,0.00,0.00,14.47,7,0.28,1009,0.00,0.00,12.54,16,9.88,8.50,102,5.08,-9.61,4.66,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
169666,0.00,0.00,14.47,7,0.27,1025,0.00,0.00,12.54,16,9.88,8.50,102,5.08,-9.63,4.70,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
169756,0.00,0.00,14.59,7,0.27,1047,0.00,0.00,12.54,16,9.88,6.50,102,5.08,-9.65,4.70,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
169845,0.00,0.00,14.47,7,0.27,1024,0.00,0.00,12.54,16,9.88,8.00,102,5.08,-9.65,4.66,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,174
169934,0.00,0.00,14.59,7,0.28,1015,0.00,0.00,12.54,16,9.88,10.00,102,5.08,-9.65,4.70,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,174
170023,0.00,0.00,14.59,7,0.29,1014,0.00,0.00,12.54,16,9.88,8.00,102,5.08,-9.63,4.82,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,174
170112,0.00,0.00,14.70,7,0.28,1027,0.00,0.00,12.54,16,9.88,10.00,102,5.08,-9.63,4.79,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,174
170201,0.00,0.00,14.70,7,0.28,1020,0.00,0.00,12.54,16,9.88,9.50,102,5.08,-9.61,4.73,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,174
170290,0.00,0.00,14.70,7,0.28,1013,0.00,0.00,12.54,16,9.88,10.50,102,5.08,-9.65,4.70,1.38,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,174
170379,0.00,0.00,14.70,7,0.27,1036,0.00,0.00,12.54,16,9.88,9.00,102,5.08,-9.63,4.70,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,174
170468,0.00,0.00,14.70,7,0.27,1030,0.00,0.00,12.54,16,9.88,8.50,102,5.08,-9.67,4.70,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
170557,0.00,0.00,14.59,7,0.27,1022,0.00,0.00,12.54,16,9.88,9.50,102,5.08,-9.65,4.64,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,174
170646,0.00,0.00,14.59,7,0.27,1024,0.00,0.00,12.54,16,9.88,8.50,102,5.08,-9.69,4.66,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,15.00,174
170735,0.00,0.00,14.47,7,0.27,1024,0.00,0.00,12.54,16,9.88,9.50,102,4.93,-9.73,4.64,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,174
170824,0.00,0.00,14.59,7,0.27,1026,0.00,0.00,12.54,16,9.88,10.00,102,4.93,-9.73,4.60,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,174
170913,0.00,0.00,14.59,7,0.27,1033,0.00,0.00,12.54,16,9.88,8.50,102,4.93,-9.73,4.60,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,174
171002,0.00,0.00,14.47,7,0.27,1022,0.00,0.00,12.54,16,9.88,9.50,102,4.93,-9.71,4.64,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,174
171091,0.00,0.00,14.59,7,0.27,1030,0.00,0.00,12.54,16,9.88,9.50,102,4.93,-9.73,4.60,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,174
171180,0.00,0.00,14.59,7,0.26,1024,0.00,0.00,12.54,16,9.88,9.50,102,4.93,-9.71,4.57,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,174
171270,0.00,0.00,14.59,7,0.27,1029,0.00,0.00,12.54,16,9.88,9.00,102,4.93,-9.71,4.55,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,174
171358,0.00,0.00,14.59,7,0.27,1014,0.00,0.00,12.54,16,9.88,10.50,102,4.93,-9.73,4.52,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,174
171448,0.00,0.00,14.59,7,0.27,1018,0.00,0.00,12.54,16,9.88,10.00,102,4.93,-9.75,4.52,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,174
171537,0.00,0.00,14.70,7,0.26,1028,0.00,0.00,12.54,16,9.88,9.00,102,4.93,-9.73,4.52,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,174
171626,0.00,0.00,14.70,7,0.27,1014,0.00,0.00,12.54,16,9.88,9.50,102,4.93,-9.75,4.55,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
171714,0.00,0.00,14.59,7,0.27,1018,0.00,0.00,12.54,16,9.88,10.00,102,4.93,-9.73,4.55,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
171804,0.00,0.00,14.59,7,0.27,1007,0.00,0.00,12.54,16,9.88,10.00,102,4.93,-9.73,4.55,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
171893,0.00,0.00,14.59,7,0.27,1014,0.00,0.00,12.54,16,9.88,10.50,102,4.93,-9.73,4.57,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,174
171982,0.00,0.00,14.70,7,0.27,1024,0.00,0.00,12.54,16,9.88,9.50,102,4.93,-9.75,4.57,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,174
172071,0.00,0.00,14.47,7,0.27,1015,0.00,0.00,12.54,16,9.88,9.00,102,4.93,-9.73,4.52,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,174
172160,0.00,0.00,14.36,7,0.27,1017,0.00,0.00,12.54,16,9.88,9.50,102,4.93,-9.75,4.55,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,174
172250,0.00,0.00,14.47,7,0.26,1031,0.00,0.00,12.54,16,9.88,8.00,102,4.93,-9.75,4.52,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,174
172338,0.00,0.00,14.47,7,0.26,1027,0.00,0.00,12.54,16,9.88,9.00,102,4.93,-9.75,4.48,1.34,0.00,-1.70,0.00,0.64,0.00,0.00,14.80,174
172428,0.00,0.00,14.47,7,0.27,1028,0.00,0.00,12.54,16,9.88,9.00,102,4.93,-9.75,4.55,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,174
172517,-0.78,0.00,14.47,7,0.27,1019,0.00,0.00,12.54,16,9.88,9.50,102,4.93,-9.77,4.57,1.36,0.00,-1.70,0.00,0.64,0.00,0.00,14.70,174
