#
Time	A/F Correction #1	A/F Learning #1	A/F Sensor #1	CL/OL Fueling*	Engine Load*	RPM	Feedback Knock Correction*	Fine Learning Knock Correction*	Fueling Final Base*	IAM*	Ignition Base Timing*	Ignition Total Timing	Intake Air Temperature	Manifold Absolute Pressure	Manifold Relative Sea Level Pressure (Direct)*	Mass Airflow	Mass Airflow Sensor Voltage	Primary Wastegate Duty Cycle	Target Boost*	Throttle Opening Angle	Throttle Sensor Voltage	Turbo Dynamics Integral Cumulative*	Turbo Dynamics Proportional*	AEM UEGO Wideband  (AFR Gasoline)
msec	%	%	AFR	status	g/rev	rpm	degrees	degrees	estimate	raw ecu 	degrees	degrees	F	psi	psi rela	g/s	V	%	psi rela	%	V	absolute	absolute	9600 bau
502735.000	-4.69	-1.56	14.81	8.0	0.27	874.0	0.000	0.000	14.7	16.0	9.88	10.0	109.0	5.22	-9.48	3.91	1.3	0.0	-1.08	0.0	0.66	0.0	0.0	14.86
502821.000	-4.69	-1.56	14.7	8.0	0.27	871.0	0.000	0.000	14.7	16.0	9.88	9.5	109.0	5.22	-9.49	3.91	1.28	0.0	-1.08	0.0	0.66	0.0	0.0	14.84
502908.000	-5.47	-1.56	14.7	8.0	0.27	876.0	0.000	0.000	14.7	16.0	9.88	10.5	109.0	5.22	-9.48	3.91	1.28	0.0	-1.08	0.0	0.66	0.0	0.0	14.82
502995.000	-4.69	-1.56	14.81	8.0	0.27	881.0	0.000	0.000	14.7	16.0	9.88	9.5	109.0	5.22	-9.48	3.91	1.3	0.0	-1.08	0.0	0.66	0.0	0.0	14.84
503082.000	-4.69	-1.56	14.7	8.0	0.27	878.0	0.000	0.000	14.7	16.0	9.88	10.0	109.0	5.22	-9.48	3.88	1.3	0.0	-1.08	0.0	0.66	0.0	0.0	14.84
503168.000	-5.47	-1.56	14.7	8.0	0.26	885.0	0.000	0.000	14.7	16.0	9.88	9.5	109.0	5.22	-9.48	3.88	1.3	0.0	-1.08	0.0	0.66	0.0	0.0	14.86
503254.000	-4.69	-1.56	14.81	8.0	0.26	885.0	0.000	0.000	14.7	16.0	9.88	8.5	109.0	5.22	-9.49	3.88	1.3	0.0	-1.08	0.0	0.66	0.0	0.0	14.86
503341.000	-4.69	-1.56	14.7	8.0	0.26	880.0	0.000	0.000	14.7	16.0	9.88	8.5	109.0	5.22	-9.48	3.85	1.3	0.0	-1.08	0.0	0.66	0.0	0.0	14.84
503427.000	-5.47	-1.56	14.59	8.0	0.26	874.0	0.000	0.000	14.7	16.0	9.88	9.5	109.0	5.22	-9.51	3.85	1.3	0.0	-1.08	0.0	0.66	0.0	0.0	14.82
503514.000	-4.69	-1.56	14.7	8.0	0.26	876.0	0.000	0.000	14.7	16.0	9.88	9.5	109.0	5.22	-9.51	3.85	1.28	0.0	-1.08	0.0	0.66	0.0	0.0	14.78
