Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
40988,14.59,0.11,837,0.00,0.00,16,14.10,13.50,4.64,3.13,-1.30,0.64
41160,14.70,0.11,826,0.00,0.00,16,14.10,14.50,4.64,3.14,-1.30,0.64
41332,14.70,0.12,820,0.00,0.00,16,14.10,14.50,4.64,3.17,-1.30,0.64
41504,14.70,0.12,827,0.00,0.00,16,14.10,14.00,4.64,3.14,-1.30,0.64
41672,14.70,0.11,837,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
41844,14.70,0.12,825,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
42016,14.81,0.11,828,0.00,0.00,16,14.10,14.00,4.64,3.14,-1.30,0.64
42188,14.81,0.11,839,0.00,0.00,16,14.10,13.50,4.64,3.13,-1.30,0.64
42364,14.81,0.11,836,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
42525,14.81,0.11,833,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
42702,14.59,0.11,828,0.00,0.00,16,14.10,14.00,4.64,3.13,-1.30,0.64
42874,14.59,0.11,844,0.00,0.00,16,14.10,12.50,4.64,3.13,-1.30,0.64
43046,14.70,0.12,830,0.00,0.00,16,14.10,14.50,4.64,3.17,-1.30,0.64
43217,14.70,0.11,825,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
43389,14.70,0.11,831,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
43561,14.70,0.11,830,0.00,0.00,16,14.10,13.50,4.64,3.13,-1.30,0.64
43736,14.59,0.12,832,0.00,0.00,16,14.10,13.50,4.64,3.13,-1.30,0.64
43910,14.70,0.11,822,0.00,0.00,16,14.10,14.50,4.64,3.13,-1.30,0.64
44086,14.59,0.11,832,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
44262,14.59,0.11,834,0.00,0.00,16,14.10,13.50,4.64,3.13,-1.30,0.64
44434,14.59,0.11,840,0.00,0.00,16,14.10,13.00,4.64,3.13,-1.30,0.64
44608,14.59,0.11,823,0.00,0.00,16,14.10,14.00,4.64,3.14,-1.30,0.64
44780,14.70,0.11,825,0.00,0.00,16,14.10,14.50,4.64,3.14,-1.30,0.64
44940,14.70,0.11,828,0.00,0.00,16,14.10,13.00,4.64,3.13,-1.30,0.64
45112,14.81,0.11,838,0.00,0.00,16,14.10,13.00,4.64,3.13,-1.30,0.64
45299,14.70,0.11,825,0.00,0.00,16,14.10,14.50,4.64,3.14,-1.30,0.64
45471,14.81,0.11,830,0.00,0.00,16,14.10,13.50,4.64,3.13,-1.30,0.64
45643,14.81,0.11,829,0.00,0.00,16,14.10,14.00,4.64,3.13,-1.30,0.64
45815,14.70,0.11,826,0.00,0.00,16,14.10,14.50,4.64,3.14,-1.30,0.64
45987,14.81,0.11,833,0.00,0.00,16,14.10,14.00,4.64,3.13,-1.30,0.64
46159,14.59,0.11,826,0.00,0.00,16,14.10,14.00,4.64,3.13,-1.30,0.64
46332,14.59,0.11,834,0.00,0.00,16,14.10,13.50,4.64,3.14,-1.30,0.64
46504,14.47,0.11,838,0.00,0.00,16,14.10,14.00,4.64,3.14,-1.30,0.64
46677,14.59,0.11,835,0.00,0.00,16,14.10,13.50,4.64,3.13,-1.30,0.64
46838,14.70,0.11,836,0.00,0.00,16,14.10,14.00,4.64,3.13,-1.30,0.64
47010,14.59,0.11,834,0.00,0.00,16,14.10,14.00,4.64,3.13,-1.30,0.64
47185,14.59,0.11,841,0.00,0.00,16,14.10,13.00,4.64,3.13,-1.30,0.64
47359,14.47,0.11,828,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
47531,14.59,0.11,827,0.00,0.00,16,14.10,14.00,4.64,3.14,-1.30,0.64
