Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Throttle Sensor Voltage (V),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
12200,0.00,3.91,14.93,10,0.47,3991,0.00,0.00,14.69,16,44.34,43.50,1.06,8.42,33.08,2.42,7.84,15.10
12266,0.00,3.91,14.93,10,0.50,3978,0.00,0.00,14.69,16,44.34,43.50,1.06,8.42,33.20,2.42,7.84,15.00
12335,0.00,3.12,15.04,10,0.50,3987,0.00,0.00,14.68,16,44.34,43.50,1.06,8.27,33.45,2.44,7.84,15.00
12399,0.00,3.12,15.04,10,0.49,4015,0.00,0.00,14.69,16,44.34,43.50,1.06,8.27,32.95,2.42,7.84,15.20
12452,0.00,3.12,15.04,10,0.49,4002,0.00,0.00,14.69,16,44.34,43.50,1.06,8.27,32.95,2.42,7.84,15.20
12527,0.00,3.12,15.16,10,0.49,4043,0.00,0.00,14.66,16,44.34,43.50,1.06,8.27,32.71,2.40,7.84,15.20
12591,0.00,3.12,15.04,10,0.49,4047,0.00,0.00,14.66,16,44.34,43.50,1.06,8.13,32.95,2.42,7.84,15.20
12649,0.00,3.12,15.16,10,0.50,4030,0.00,0.00,14.35,16,44.34,43.50,1.08,8.27,30.77,2.40,7.84,15.20
12717,0.00,3.12,15.16,10,0.51,4062,0.00,0.00,14.64,16,44.34,43.50,1.08,8.42,34.66,2.44,7.84,15.10
12782,0.00,0.78,15.04,10,0.50,4054,0.00,0.00,14.62,16,44.34,43.50,1.10,8.56,33.82,2.46,9.02,15.10
12834,0.00,0.78,15.16,10,0.54,4085,0.00,0.00,14.63,16,44.34,43.50,1.12,8.85,36.63,2.48,9.02,15.10
12903,0.00,0.78,15.16,10,0.54,4062,0.00,0.00,14.61,16,44.34,43.50,1.12,8.85,36.63,2.50,10.20,15.40
12969,0.00,0.78,15.04,10,0.56,4094,0.00,0.00,14.61,16,44.34,43.50,1.10,8.85,37.00,2.50,10.20,15.20
13040,0.00,0.78,15.16,10,0.52,4092,0.00,0.00,14.61,16,44.34,43.50,1.08,8.56,36.15,2.48,10.20,15.20
13104,0.00,0.78,15.16,10,0.50,4096,0.00,0.00,14.61,16,44.34,43.50,1.06,8.27,34.79,2.46,10.20,15.40
13166,0.00,0.78,15.27,10,0.50,4105,0.00,0.00,14.64,16,44.34,43.50,1.04,7.98,33.45,2.42,7.84,15.50
13231,0.00,0.78,15.27,10,0.45,4132,0.00,0.00,14.63,16,44.34,43.50,1.02,7.69,31.59,2.38,7.84,15.50
13295,0.00,0.78,15.27,10,0.43,4144,0.00,0.00,14.63,16,44.34,43.50,1.00,7.25,29.92,2.36,3.92,15.30
13349,0.00,0.78,15.27,10,0.41,4144,0.00,0.00,14.66,16,44.34,43.50,0.98,6.96,28.50,2.30,3.92,15.30
13423,0.00,0.78,14.93,10,0.39,4132,0.00,0.00,14.64,16,43.98,43.50,0.96,6.82,27.34,2.30,1.18,15.00
13486,0.00,0.78,15.16,10,0.38,4114,0.00,0.00,14.65,16,43.63,43.50,0.96,6.53,26.72,2.28,1.18,15.10
13543,0.00,0.78,15.16,10,0.37,4144,0.00,0.00,14.63,16,43.28,43.00,0.94,6.53,26.31,2.26,0.00,15.10
13612,0.00,0.78,15.04,10,0.37,4128,0.00,0.00,14.64,16,43.28,42.50,0.94,6.53,25.10,2.24,0.00,15.10
13678,0.00,0.78,15.04,10,0.35,4150,0.00,0.00,14.64,16,42.58,42.50,0.94,6.38,25.09,2.24,0.00,15.00
13736,0.00,0.78,15.04,10,0.35,4132,0.00,0.00,14.63,16,42.58,42.50,0.94,6.24,24.62,2.22,0.00,15.00
13803,0.00,0.78,14.93,10,0.35,4157,0.00,0.00,14.64,16,42.58,42.00,0.94,6.09,24.13,2.22,0.00,15.00
13871,0.00,0.78,14.93,10,0.35,4125,0.00,0.00,14.63,16,42.58,42.00,0.94,6.09,24.04,2.22,0.00,15.00
13934,0.00,0.78,14.81,10,0.35,4125,0.00,0.00,14.64,16,42.93,42.00,0.94,6.09,24.13,2.22,0.00,15.00
13998,0.00,0.78,14.81,10,0.36,4148,0.00,0.00,14.64,16,42.93,42.00,0.94,6.24,24.62,2.24,0.00,14.80
14063,0.00,0.78,14.81,10,0.36,4150,0.00,0.00,14.62,16,42.93,42.50,0.94,6.24,24.61,2.24,0.00,14.80
14126,0.00,0.78,14.81,10,0.36,4160,0.00,0.00,14.64,16,42.93,42.50,0.94,6.24,24.99,2.24,0.00,15.00
14190,0.00,0.78,14.81,10,0.37,4136,0.00,0.00,14.62,16,43.28,42.50,0.96,6.24,25.29,2.24,0.00,15.00
14248,0.00,0.78,14.93,10,0.36,4164,0.00,0.00,14.63,16,42.93,42.50,0.96,6.24,25.10,2.24,0.00,15.00
14314,0.00,0.78,14.81,10,0.36,4141,0.00,0.00,14.61,16,42.93,42.50,0.96,6.24,25.20,2.24,0.00,15.00
14383,0.00,0.78,14.81,10,0.36,4160,0.00,0.00,14.61,16,43.28,42.50,0.96,6.24,24.99,2.24,0.00,14.90
14435,0.00,0.78,14.81,10,0.37,4141,0.00,0.00,14.62,16,43.28,42.50,0.96,6.38,25.10,2.26,0.00,14.90
14504,0.00,0.78,14.93,10,0.37,4169,0.00,0.00,14.61,16,43.28,42.50,0.96,6.38,25.58,2.26,0.00,14.90
14574,0.00,0.78,14.93,10,0.37,4146,0.00,0.00,14.62,16,43.28,42.50,0.96,6.38,25.68,2.24,0.00,14.90
14638,0.00,0.78,14.81,10,0.37,4160,0.00,0.00,14.61,16,43.63,42.50,0.96,6.38,25.68,2.26,0.00,14.90
14702,0.00,0.78,14.81,10,0.37,4141,0.00,0.00,14.62,16,43.28,42.50,0.96,6.38,25.68,2.26,1.18,14.80
14765,0.00,0.78,14.81,10,0.34,4171,0.00,0.00,14.60,16,43.63,42.50,0.96,6.38,25.78,2.26,1.18,14.90
14831,0.00,0.78,14.93,10,0.38,4169,0.00,0.00,14.61,16,43.63,43.50,0.98,6.53,26.82,2.26,1.18,14.90
14894,0.00,0.78,14.81,10,0.35,4173,0.00,0.00,14.59,16,43.63,43.00,0.98,6.53,26.41,2.28,1.18,15.00
14949,0.00,0.78,14.81,10,0.38,4194,0.00,0.00,14.61,16,43.63,43.00,0.98,6.53,26.73,2.28,1.18,15.00
15024,0.00,0.78,14.93,10,0.39,4169,0.00,0.00,14.61,16,43.98,43.00,0.98,6.53,26.93,2.28,1.18,14.90
15086,0.00,0.78,14.93,10,0.38,4192,0.00,0.00,14.59,16,43.98,43.00,0.98,6.53,26.83,2.28,1.18,15.10
15147,0.00,0.78,14.81,10,0.39,4162,0.00,0.00,14.61,16,43.98,43.00,0.98,6.67,26.83,2.28,1.18,15.10
15203,0.00,0.78,14.81,10,0.39,4194,0.00,0.00,14.59,16,43.98,43.50,0.98,6.67,27.57,2.28,1.18,15.00
15271,0.00,0.78,14.93,10,0.38,4185,0.00,0.00,14.60,16,43.98,43.50,0.98,6.53,26.93,2.28,1.18,15.00
15343,0.00,0.78,14.81,10,0.39,4185,0.00,0.00,14.59,16,43.98,43.50,0.98,6.67,27.36,2.28,1.18,15.00
15406,0.00,0.78,14.93,10,0.39,4218,0.00,0.00,14.59,16,43.98,43.50,0.98,6.67,27.36,2.30,1.18,14.90
15467,0.00,0.78,14.93,10,0.38,4240,0.00,0.00,14.56,16,43.63,43.50,0.98,6.53,27.36,2.30,1.18,15.00
15520,0.00,0.78,14.93,10,0.39,4218,0.00,0.00,14.58,16,43.98,43.00,0.98,6.53,27.25,2.30,2.75,15.00
15598,0.00,0.78,14.81,10,0.40,4237,0.00,0.00,14.57,16,44.34,43.50,0.98,6.67,27.46,2.30,2.75,14.90
15649,0.00,0.78,14.81,10,0.39,4213,0.00,0.00,14.58,16,43.98,43.50,0.98,6.67,27.46,2.30,2.75,14.90
15729,0.00,0.78,14.81,10,0.40,4213,0.00,0.00,14.56,16,44.34,43.50,1.00,6.67,27.87,2.30,2.75,15.00
15791,0.00,0.78,14.81,10,0.39,4220,0.00,0.00,14.57,16,43.98,43.50,1.00,6.67,28.29,2.32,2.75,14.80
15848,0.00,0.78,14.81,10,0.40,4252,0.00,0.00,14.56,16,44.34,43.50,1.00,6.67,27.87,2.30,2.75,14.80
15914,0.00,0.78,14.70,10,0.40,4228,0.00,0.00,14.57,16,44.34,43.50,1.00,6.67,28.09,2.30,2.75,14.70
15983,0.00,0.78,14.70,10,0.40,4264,0.00,0.00,14.55,16,44.34,43.50,1.00,6.82,28.09,2.32,2.75,14.90
16032,0.00,0.78,14.81,10,0.40,4268,0.00,0.00,14.55,16,44.34,43.50,1.00,6.82,28.72,2.32,2.75,14.90
16100,0.00,0.78,14.93,10,0.42,4256,0.00,0.00,14.54,16,44.34,43.50,1.02,6.82,28.92,2.34,2.75,15.20
16175,0.00,0.78,14.93,10,0.43,4300,0.00,0.00,14.52,16,44.34,43.50,1.04,6.96,30.14,2.36,3.92,15.00
16237,0.00,0.78,14.93,10,0.47,4312,0.00,0.00,13.87,16,44.34,43.50,1.12,7.25,32.15,2.42,3.92,15.00
16303,0.00,0.78,14.93,10,0.54,4312,0.00,0.00,14.15,16,44.34,43.50,1.14,7.98,38.49,2.54,10.20,15.10
16367,0.00,0.78,14.36,10,0.57,4340,0.00,0.00,14.07,16,43.98,43.50,1.16,8.56,40.39,2.56,10.20,15.10
16426,0.00,0.78,14.47,10,0.61,4328,0.00,0.00,14.40,16,43.98,43.50,1.20,9.14,42.61,2.62,14.12,14.20
16493,0.00,1.56,14.81,10,0.62,4318,0.00,0.00,14.36,16,43.63,43.50,1.22,9.58,44.54,2.64,14.12,15.10
16546,0.00,1.56,14.93,10,0.64,4332,0.00,0.00,14.34,16,43.63,43.00,1.28,9.87,46.77,2.68,18.04,15.10
16610,0.00,1.56,15.16,10,0.70,4386,0.00,0.00,14.27,16,43.28,42.50,1.30,10.45,49.65,2.72,18.04,15.30
16686,0.00,1.56,15.16,10,0.69,4427,0.00,0.00,14.02,16,42.58,42.50,1.34,10.88,52.56,2.76,23.14,15.20
16749,0.00,1.56,15.39,10,0.76,4448,0.00,0.00,14.23,16,42.23,41.50,1.36,11.17,55.86,2.82,23.14,15.20
16803,0.00,1.56,15.50,10,0.77,4448,0.00,0.00,14.21,16,41.88,41.50,1.40,11.46,57.01,2.84,27.06,15.50
16870,0.00,1.56,15.50,10,0.80,4464,0.00,0.00,14.15,16,41.52,41.00,1.40,11.75,59.31,2.86,27.06,15.40
16943,0.00,1.56,15.39,10,0.84,4494,0.00,0.00,13.89,16,40.82,40.50,1.46,12.33,62.96,2.92,27.45,15.40
17003,0.00,1.56,15.39,10,0.88,4526,0.00,0.00,13.81,16,39.41,39.50,1.52,12.91,67.59,3.00,27.45,15.30
17071,0.00,2.34,15.16,10,0.96,4573,0.00,0.00,13.63,16,38.01,38.00,1.56,13.49,72.45,3.06,28.24,14.80
17133,0.00,3.12,14.93,10,1.05,4598,0.00,0.00,13.51,16,35.20,35.50,1.72,14.36,79.22,3.14,28.24,14.80
17199,0.00,3.12,12.06,10,1.14,4646,0.00,0.00,13.53,16,31.33,32.50,2.00,15.82,88.81,3.26,29.80,12.70
17255,0.00,3.12,13.21,10,1.25,4696,0.00,0.00,12.11,16,28.16,27.50,2.26,17.12,99.49,3.36,29.80,14.00
17318,0.00,3.12,12.63,10,1.36,4777,0.00,0.00,11.39,16,26.41,26.00,2.64,18.57,107.45,3.36,29.80,14.00
17390,0.00,3.12,11.48,10,1.47,4804,0.00,0.00,11.14,16,23.59,26.00,3.06,20.17,105.74,3.46,34.90,12.50
17446,0.00,3.12,10.80,10,1.59,4883,0.00,0.00,10.90,16,20.78,23.50,3.58,21.47,118.12,3.58,34.90,12.50
17515,0.00,3.12,10.91,10,1.69,4918,0.00,0.00,10.59,16,17.97,20.00,3.88,23.07,130.51,3.66,38.43,11.80
17582,0.00,3.12,10.91,10,1.82,4970,0.00,0.00,10.43,16,15.51,18.00,3.96,24.96,140.75,3.76,38.43,11.40
17646,0.00,3.12,11.02,10,2.00,5078,0.00,0.00,10.31,16,13.40,15.00,3.96,26.99,154.90,3.88,41.18,11.40
17696,0.00,3.12,11.02,10,2.10,5078,0.00,0.00,10.23,16,11.99,12.50,3.96,28.87,170.37,3.98,41.18,11.50
17771,0.00,3.12,11.02,10,2.25,5190,0.00,0.00,10.28,16,11.99,11.50,3.96,28.87,184.69,4.10,41.18,12.00
17835,0.00,3.12,11.14,10,2.32,5263,0.00,0.00,10.13,16,12.34,11.50,3.96,30.62,196.88,4.16,41.18,12.00
17902,0.00,3.12,11.14,10,2.32,5312,0.00,0.00,10.15,16,12.34,11.50,3.96,32.21,206.17,4.22,37.65,11.90
17966,0.00,3.12,11.02,10,2.32,5423,0.00,0.00,10.15,16,12.70,12.00,3.96,32.94,211.97,4.26,37.65,11.70
18030,0.00,3.12,11.14,10,2.36,5510,0.00,0.00,10.23,16,13.05,12.00,3.96,33.37,216.28,4.30,29.41,11.70
18094,0.00,3.12,11.02,10,2.32,5610,0.00,0.00,10.07,16,13.05,12.50,3.96,33.37,217.10,4.30,29.41,11.90
18148,0.00,3.12,11.14,10,2.28,5725,0.00,0.00,10.14,16,13.05,12.50,3.96,32.79,215.50,4.30,29.41,11.90
18215,0.00,3.12,11.14,10,2.23,5725,0.00,0.00,10.08,16,13.05,12.50,3.96,31.92,215.50,4.26,26.67,11.60
18286,0.00,3.12,11.02,10,2.17,5782,0.00,0.00,10.13,16,13.40,13.00,3.96,31.92,212.10,4.24,26.67,11.60
18347,0.00,3.12,11.14,10,2.17,5943,0.00,0.00,10.04,16,13.40,13.00,3.96,31.20,213.67,4.26,26.27,11.60
18415,0.00,3.12,11.14,10,2.15,6000,0.00,0.00,10.24,16,13.40,13.00,3.96,31.05,215.50,4.26,26.27,11.30
18470,0.00,3.12,11.14,10,2.14,6000,0.00,0.00,10.15,16,13.75,13.00,3.96,30.76,215.50,4.28,26.27,11.50
18543,0.00,3.12,11.14,10,2.10,6102,0.00,0.00,10.11,16,14.10,13.00,3.96,30.76,217.24,4.28,23.92,11.50
18608,0.00,3.12,11.14,10,2.10,6266,0.00,0.00,10.09,16,14.45,14.00,3.96,30.47,219.17,4.30,23.92,11.60
18672,0.00,3.12,11.14,10,2.10,6356,0.00,0.00,10.08,16,14.45,14.00,3.96,30.33,219.17,4.30,23.92,11.50
18733,0.00,3.12,11.14,10,2.08,6356,0.00,0.00,10.16,16,14.80,14.00,3.96,30.33,221.77,4.30,24.31,11.50
18801,0.00,3.12,11.14,10,2.07,6426,0.00,0.00,10.07,16,15.16,15.00,3.96,30.18,221.67,4.34,24.31,11.40
18864,0.00,3.12,11.14,10,2.04,6426,0.00,0.00,10.17,16,15.16,15.00,3.96,30.18,221.67,4.34,24.31,11.30
18916,0.00,3.12,11.14,10,2.01,6625,0.00,0.00,10.03,16,15.86,15.00,3.96,30.18,221.77,4.30,24.31,11.30
18993,0.00,3.12,11.14,10,2.03,6708,0.00,0.00,10.02,16,16.21,15.00,3.94,30.33,222.59,4.30,24.31,11.40
19055,0.00,3.12,11.14,10,1.97,6708,0.00,0.00,10.51,16,17.27,15.50,2.52,30.33,225.15,4.32,24.31,11.00
19117,0.00,3.12,11.14,10,1.13,6602,0.00,0.00,14.72,16,38.71,32.00,0.66,13.64,54.71,4.32,24.31,11.00
19185,0.00,3.12,11.14,10,0.64,6602,0.00,0.00,13.68,16,37.66,32.00,0.66,13.64,54.71,2.84,16.08,13.70
19248,0.00,3.91,11.60,10,0.60,6460,0.00,0.00,13.75,16,33.79,35.50,0.66,6.53,64.21,2.94,16.08,13.70
19315,0.00,3.91,11.60,10,0.51,6460,0.00,0.00,14.21,16,28.16,35.50,0.66,5.37,64.21,2.94,16.08,12.40
19379,0.00,3.91,13.32,10,0.47,6132,0.00,0.00,14.29,16,23.95,28.00,0.66,5.37,50.42,2.72,0.00,19.40
19435,0.00,3.91,21.36,10,0.41,5787,0.00,0.00,14.24,16,17.97,19.50,0.66,5.22,40.83,2.56,0.00,19.40
19504,0.00,3.91,23.54,10,0.38,5547,0.00,0.00,13.97,16,11.99,19.50,0.66,4.93,40.83,2.56,0.00,45.50
19570,0.00,3.91,23.54,10,0.39,5547,0.00,0.00,13.18,16,13.40,11.50,0.76,4.93,34.94,2.46,0.00,95.50
19625,0.00,3.91,23.77,10,0.45,5342,0.00,0.00,13.37,16,20.78,14.50,0.94,5.08,39.85,2.56,0.00,95.50
19692,0.00,3.91,23.08,10,0.71,5364,0.00,0.00,12.60,16,42.58,36.50,1.70,8.42,64.58,3.04,0.00,25.30
19747,0.00,3.12,12.52,10,1.07,5490,0.00,0.00,13.09,16,34.84,36.50,2.22,14.51,64.26,3.04,0.00,25.30
19824,0.00,3.12,12.75,10,1.32,4667,0.00,0.00,12.15,16,25.00,35.00,2.88,16.83,104.65,3.40,0.00,14.60
19891,0.00,3.12,11.60,10,1.41,4576,0.00,0.00,11.85,16,26.05,24.50,3.66,18.72,109.77,3.44,36.86,12.70
19949,0.00,3.12,11.14,10,1.35,4908,0.00,0.00,11.04,16,26.76,25.50,3.96,19.44,101.20,3.36,36.86,12.70
20019,0.00,3.12,11.14,10,1.56,4496,0.00,0.00,11.18,16,19.02,26.00,3.96,21.33,116.57,3.56,38.82,12.40
20083,0.00,3.12,11.02,10,1.56,4944,0.00,0.00,10.73,16,21.13,18.50,3.96,22.64,122.71,3.58,38.82,11.40
20143,0.00,3.12,11.02,10,1.75,4944,0.00,0.00,10.43,16,15.16,20.00,3.96,24.38,133.40,3.70,41.57,11.40
20211,0.00,3.12,11.02,10,1.91,4696,0.00,0.00,10.48,16,13.75,13.50,3.96,26.55,146.47,3.80,41.57,11.40
20276,0.00,3.12,11.02,10,1.94,4851,0.00,0.00,10.15,16,12.34,13.00,3.96,28.44,154.58,3.86,41.57,11.10
20339,0.00,3.12,11.14,10,2.24,4905,0.00,0.00,10.30,16,11.29,11.50,3.96,28.44,173.48,4.02,41.57,11.10
20404,0.00,3.12,11.14,10,2.24,4810,0.00,0.00,10.19,16,11.99,10.50,3.96,30.47,176.92,4.04,41.57,11.50
20455,0.00,3.12,11.14,10,2.34,5006,0.00,0.00,10.11,16,11.64,11.00,3.96,31.78,189.86,4.12,41.57,11.80
20517,0.00,3.12,11.14,10,2.38,4889,0.00,0.00,10.27,16,11.64,11.00,3.96,33.37,193.56,4.16,35.69,11.80
20593,0.00,3.12,11.14,10,2.37,5060,0.00,0.00,10.20,16,11.99,11.50,3.96,34.10,197.61,4.16,35.69,11.80
20647,0.00,3.12,11.14,10,2.41,4993,0.00,0.00,11.34,16,11.99,11.50,3.96,34.10,199.92,4.18,30.20,11.80
20712,0.00,3.12,11.14,10,2.30,5109,0.00,0.00,10.20,16,11.99,11.50,3.96,34.24,196.15,4.16,30.20,11.60
20787,0.00,3.12,11.14,10,2.32,5133,0.00,0.00,10.20,16,11.99,11.50,3.96,33.66,199.52,4.16,32.16,11.70
20851,0.00,3.12,11.14,10,2.28,5137,0.00,0.00,10.46,16,11.99,11.50,3.96,33.37,194.67,4.16,32.16,11.70
20916,0.00,3.12,11.14,10,2.23,5226,0.00,0.00,10.59,16,11.99,11.50,3.96,32.94,199.13,4.16,32.16,11.60
20968,0.00,3.12,11.14,10,2.34,5263,0.00,0.00,10.24,16,11.99,11.50,3.96,33.08,202.61,4.18,38.04,11.60
21045,0.00,3.12,11.14,10,2.32,5342,0.00,0.00,10.25,16,12.34,11.50,3.96,33.37,204.60,4.18,38.04,11.60
21109,0.00,3.12,11.14,10,2.36,5326,0.00,0.00,10.28,16,12.34,11.50,3.96,33.81,208.96,4.24,39.22,11.50
21163,0.00,3.12,11.14,10,2.42,5388,0.00,0.00,10.29,16,12.34,11.50,3.96,34.24,214.08,4.26,39.22,11.50
21231,0.00,3.12,11.14,10,2.43,5388,0.00,0.00,10.27,16,12.70,12.00,3.96,34.39,214.87,4.28,35.69,11.60
21300,0.00,3.12,11.14,10,2.38,5435,0.00,0.00,10.09,16,12.70,11.50,3.96,34.39,215.26,4.26,35.69,11.70
21354,0.00,3.12,11.14,10,2.36,5478,0.00,0.00,10.19,16,12.70,12.00,3.96,34.24,213.67,4.26,34.90,11.50
21417,0.00,3.12,11.14,10,2.37,5506,0.00,0.00,10.07,16,13.05,12.50,3.96,33.95,214.48,4.26,34.90,11.50
21483,0.00,3.12,11.14,10,2.31,5605,0.00,0.00,10.05,16,13.05,12.50,3.96,33.81,216.06,4.28,34.90,11.60
21550,0.00,3.12,11.14,10,2.29,5626,0.00,0.00,10.10,16,13.05,12.50,3.96,33.66,219.31,4.28,34.90,11.60
21620,0.00,3.12,11.14,10,2.31,5660,0.00,0.00,10.11,16,13.05,12.50,3.96,33.66,219.31,4.32,34.90,11.30
21684,0.00,3.12,11.14,10,2.34,5660,0.00,0.00,10.06,16,13.05,12.50,3.96,33.66,221.77,4.30,34.90,11.30
21747,0.00,3.12,11.14,10,2.29,5686,0.00,0.00,10.06,16,13.05,12.50,3.96,33.66,220.51,4.30,34.90,11.30
21812,0.00,3.12,11.14,10,2.31,5787,0.00,0.00,9.98,16,13.05,12.50,3.96,33.52,222.20,4.32,30.98,11.20
21865,0.00,3.12,11.25,10,2.25,5791,0.00,0.00,10.01,16,13.40,13.00,3.96,33.37,219.67,4.30,30.98,11.50
21939,0.00,3.12,11.14,10,2.28,5868,0.00,0.00,10.15,16,13.40,13.00,3.96,33.08,219.58,4.30,30.98,11.50
22005,0.00,3.12,11.14,10,2.27,5868,0.00,0.00,10.02,16,13.40,13.00,3.96,32.79,227.26,4.34,27.45,11.40
24047,0.00,3.12,11.14,10,2.27,5868,0.00,0.00,10.02,16,13.40,13.00,3.96,32.79,227.26,4.34,27.45,99.90
24666,-2.34,0.78,14.70,8,0.49,3566,0.00,0.00,14.66,16,44.34,43.50,1.06,8.56,28.94,2.32,6.67,15.00
24716,-1.56,0.78,14.93,8,0.48,3554,0.00,0.00,14.66,16,44.34,43.50,1.06,8.71,29.82,2.36,6.67,15.00
24795,-1.56,0.78,14.93,8,0.48,3554,0.00,0.00,14.68,16,44.34,43.50,1.00,8.27,30.05,2.34,6.67,15.30
24850,-1.56,0.78,14.81,8,0.41,3542,0.00,0.00,16.25,16,43.63,43.50,0.72,5.80,26.01,2.22,6.67,15.30
24922,0.00,0.78,14.81,8,0.27,3542,0.00,0.00,15.56,16,33.79,41.50,0.66,4.64,9.05,1.62,0.00,15.20
24987,0.00,0.78,13.32,10,0.22,3472,0.00,0.00,14.70,16,26.76,31.50,0.66,4.21,8.64,1.64,0.00,14.30
25046,0.00,0.78,12.75,10,0.14,3606,0.00,0.00,14.70,16,20.08,25.00,0.66,3.92,9.04,1.68,0.00,14.30
25114,0.00,0.78,14.01,10,0.19,3518,0.00,0.00,14.70,16,15.16,18.00,0.66,3.92,10.89,1.80,0.00,13.80
25164,0.00,0.78,17.11,10,0.20,3576,0.00,0.00,14.70,16,11.99,13.00,0.66,3.77,11.25,1.80,0.00,13.80
25241,0.00,0.00,22.74,10,0.20,3503,0.00,0.00,14.70,16,11.99,11.50,0.66,3.77,11.82,1.80,0.00,15.20
25303,0.00,0.00,25.61,10,0.20,3518,0.00,0.00,14.70,16,11.99,11.50,0.64,3.77,12.04,1.82,0.00,22.30
25371,0.00,0.00,25.61,10,0.20,3498,0.00,0.00,14.70,16,11.99,11.50,0.66,3.77,11.77,1.82,0.00,33.90
25422,0.00,0.00,24.58,10,0.20,3493,0.00,0.00,14.70,16,11.99,11.50,0.64,3.77,11.51,1.78,0.00,33.90
25500,0.00,0.00,24.12,10,0.20,3512,0.00,0.00,14.70,16,11.99,11.50,0.66,3.77,11.39,1.78,0.00,63.40
25547,0.00,0.00,24.35,10,0.20,3511,0.00,0.00,14.70,16,11.99,11.50,0.66,3.77,11.51,1.80,0.00,63.40
25619,0.00,0.00,24.00,10,0.19,3483,0.00,0.00,14.70,16,11.99,11.50,0.66,3.77,11.15,1.78,0.00,87.30
25690,0.00,0.00,23.89,10,0.22,3475,0.00,0.00,14.70,16,11.99,11.50,0.64,3.77,11.29,1.80,0.00,96.00
25747,0.00,-0.78,23.89,10,0.19,3466,0.00,0.00,14.70,16,11.99,11.50,0.64,3.77,10.99,1.78,0.00,96.00
25818,0.00,-0.78,24.00,10,0.19,3467,0.00,0.00,14.70,16,11.99,11.50,0.66,3.77,10.79,1.76,0.00,96.00
25882,0.00,-0.78,24.46,10,0.19,3467,0.00,0.00,14.70,16,11.99,11.50,0.66,3.77,10.84,1.76,0.00,96.00
25946,0.00,-2.34,24.12,10,0.19,3443,0.00,0.00,11.35,16,11.99,11.50,0.66,3.34,7.62,1.76,0.00,96.00
26010,0.00,-2.34,24.35,10,0.22,3445,0.00,0.00,16.80,16,11.99,11.50,0.64,4.35,11.88,1.78,0.00,99.90
26068,0.00,-2.34,24.12,10,0.17,3450,0.00,0.00,14.70,16,11.99,11.50,0.64,4.06,9.79,1.70,0.00,99.90
26138,0.00,-2.34,24.35,10,0.17,3438,0.00,0.00,14.70,16,11.99,11.50,0.66,3.92,9.61,1.70,0.00,99.90
26202,0.00,-2.34,24.00,10,0.17,3404,0.00,0.00,14.70,16,11.99,11.50,0.66,3.92,9.70,1.70,0.00,99.90
26257,0.00,-2.34,24.35,10,0.17,3384,0.00,0.00,14.70,16,11.99,11.50,0.64,3.92,9.70,1.70,0.00,99.90
26320,0.00,-2.34,24.00,10,0.18,3389,0.00,0.00,14.70,16,11.99,11.50,0.66,3.92,9.66,1.72,0.00,99.90
26393,0.00,-2.34,24.00,10,0.17,3386,0.00,0.00,14.70,16,11.99,11.50,0.66,3.92,9.44,1.72,0.00,99.90
26451,0.00,-2.34,24.35,10,0.16,3369,0.00,0.00,14.70,16,11.99,11.50,0.64,3.92,9.17,1.68,0.00,99.90
26522,0.00,-2.34,24.46,10,0.16,3384,0.00,0.00,13.81,16,11.99,11.50,0.64,3.92,8.87,1.68,0.00,99.90
26586,0.00,-2.34,24.46,10,0.17,3374,0.00,0.00,14.70,16,11.99,11.50,0.66,3.92,9.35,1.68,0.00,99.90
26646,0.00,-2.34,24.12,10,0.18,3346,0.00,0.00,14.70,16,11.99,11.50,0.66,3.92,9.79,1.70,0.00,99.90
26714,0.00,-2.34,24.23,10,0.17,3358,0.00,0.00,14.70,16,11.99,11.50,0.64,3.92,9.25,1.70,0.00,99.90
26779,0.00,-2.34,24.35,10,0.17,3351,0.00,0.00,14.70,16,11.99,11.50,0.64,3.92,9.39,1.68,0.00,99.90
26835,0.00,-2.34,24.00,10,0.17,3317,0.00,0.00,14.70,16,11.99,11.50,0.64,3.92,9.43,1.68,0.00,99.90
26903,0.00,-2.34,24.00,10,0.17,3338,0.00,0.00,14.70,16,11.99,11.50,0.66,3.92,9.48,1.68,0.00,99.90
26968,0.00,-2.34,24.35,10,0.17,3305,0.00,0.00,14.70,16,11.99,11.50,0.64,3.92,9.56,1.68,0.00,99.90
27021,0.00,-2.34,23.89,10,0.18,3298,0.00,0.00,14.70,16,11.99,11.50,0.64,3.92,9.93,1.70,0.00,99.90
27088,0.00,-2.34,24.23,10,0.17,3307,0.00,0.00,14.70,16,11.99,11.50,0.64,3.92,9.93,1.70,0.00,99.90
27157,0.00,-2.34,23.89,10,0.17,3276,0.00,0.00,14.70,16,11.99,11.50,0.64,3.92,9.56,1.70,0.00,99.90
