Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Coolant Temperature (F)
336745,3.12,-3.91,14.47,8,0.29,1076,0.00,0.00,14.70,16,9.88,9.00,5.22,5.13,1.40,0.64,14.70,149
336809,3.12,-3.91,14.36,8,0.29,1075,0.00,0.00,14.70,16,9.88,9.00,5.22,5.17,1.40,0.64,14.60,149
336872,3.12,-3.91,14.47,8,0.29,1077,0.00,0.00,14.70,16,9.88,9.00,5.22,5.17,1.40,0.64,14.60,149
336937,3.91,-3.91,14.36,8,0.29,1078,0.00,0.00,14.70,16,9.88,9.00,5.22,5.10,1.40,0.64,14.60,149
337002,3.91,-3.91,14.36,8,0.29,1062,0.00,0.00,14.70,16,9.88,10.50,5.22,5.17,1.40,0.64,14.60,149
337065,3.91,-3.91,14.47,8,0.29,1061,0.00,0.00,14.70,16,9.88,10.50,5.22,5.17,1.40,0.64,14.60,149
337129,3.91,-3.91,14.47,8,0.29,1053,0.00,0.00,14.70,16,9.88,11.50,5.22,5.17,1.40,0.64,14.50,149
337193,3.91,-3.91,14.59,8,0.29,1068,0.00,0.00,14.70,16,9.88,9.50,5.37,5.17,1.40,0.64,14.60,149
337256,3.91,-3.91,14.59,8,0.29,1070,0.00,0.00,14.70,16,9.88,9.50,5.37,5.17,1.40,0.64,14.60,149
337321,3.12,-3.91,14.59,8,0.29,1072,0.00,0.00,14.70,16,9.88,9.00,5.37,5.17,1.40,0.64,14.60,149
337385,3.91,-3.91,14.59,8,0.29,1070,0.00,0.00,14.70,16,9.88,9.50,5.37,5.17,1.40,0.64,14.70,149
337449,3.91,-3.91,14.47,8,0.29,1061,0.00,0.00,14.70,16,9.88,10.50,5.22,5.17,1.40,0.64,14.70,149
337512,3.12,-3.91,14.59,8,0.29,1064,0.00,0.00,14.70,16,9.88,10.00,5.37,5.10,1.40,0.64,14.70,149
337576,3.91,-3.91,14.47,8,0.29,1065,0.00,0.00,14.70,16,9.88,9.50,5.37,5.17,1.40,0.64,14.70,149
337639,3.12,-3.91,14.47,8,0.29,1070,0.00,0.00,14.70,16,9.88,9.50,5.37,5.17,1.40,0.64,14.70,149
337704,3.91,-3.91,14.47,8,0.29,1063,0.00,0.00,14.70,16,9.88,10.00,5.22,5.17,1.40,0.64,14.60,149
337768,3.91,-3.91,14.47,8,0.30,1051,0.00,0.00,14.70,16,9.88,11.00,5.22,5.17,1.40,0.64,14.60,149
337831,3.91,-3.91,14.47,8,0.29,1058,0.00,0.00,14.70,16,9.88,10.50,5.37,5.10,1.40,0.64,14.60,149
337895,3.91,-3.91,14.47,8,0.30,1051,0.00,0.00,14.70,16,9.88,11.00,5.37,5.17,1.40,0.64,14.60,149
337959,3.91,-3.91,14.59,8,0.29,1051,0.00,0.00,14.70,16,9.88,10.00,5.37,5.17,1.40,0.64,14.60,149
338023,3.91,-3.91,14.59,8,0.29,1060,0.00,0.00,14.70,16,9.88,10.00,5.37,5.17,1.40,0.64,14.60,149
338087,3.91,-3.91,14.59,8,0.29,1058,0.00,0.00,14.70,16,9.88,8.50,5.37,5.17,1.40,0.64,14.60,149
338152,3.91,-3.91,14.59,8,0.29,1071,0.00,0.00,14.70,16,9.88,10.00,5.37,5.17,1.40,0.64,14.60,149
338216,3.91,-3.91,14.59,8,0.29,1059,0.00,0.00,14.70,16,9.88,10.50,5.37,5.17,1.40,0.64,14.70,149
338278,3.91,-3.91,14.59,8,0.29,1052,0.00,0.00,14.70,16,9.88,10.00,5.37,5.13,1.40,0.64,14.70,149
338342,3.91,-3.91,14.59,8,0.29,1057,0.00,0.00,14.70,16,9.88,10.00,5.37,5.13,1.40,0.64,14.60,149
338407,3.91,-3.91,14.59,8,0.29,1068,0.00,0.00,14.70,16,9.88,9.50,5.37,5.10,1.40,0.64,14.70,149
338470,3.91,-3.91,14.59,8,0.29,1062,0.00,0.00,14.70,16,9.88,9.50,5.37,5.13,1.40,0.64,14.70,149
338534,3.12,-3.91,14.47,8,0.29,1063,0.00,0.00,14.70,16,9.88,9.50,5.37,5.17,1.40,0.64,14.70,149
338598,3.91,-3.91,14.47,8,0.29,1069,0.00,0.00,14.70,16,9.88,9.00,5.37,5.17,1.40,0.64,14.70,149
338662,3.91,-3.91,14.59,8,0.30,1059,0.00,0.00,14.70,16,9.88,9.50,5.37,5.17,1.40,0.64,14.70,149
338726,3.91,-3.91,14.47,8,0.29,1051,0.00,0.00,14.70,16,9.88,10.50,5.37,5.17,1.40,0.64,14.60,149
338790,3.91,-3.91,14.59,8,0.29,1064,0.00,0.00,14.70,16,9.88,9.50,5.37,5.13,1.40,0.64,14.70,149
338853,3.91,-3.91,14.47,8,0.29,1066,0.00,0.00,14.70,16,9.88,9.00,5.37,5.13,1.40,0.64,14.70,149
338917,3.91,-3.91,14.59,8,0.29,1074,0.00,0.00,14.70,16,9.88,8.00,5.37,5.10,1.40,0.64,14.70,149
338980,3.91,-3.91,14.59,8,0.29,1071,0.00,0.00,14.70,16,9.88,8.50,5.22,5.17,1.40,0.64,14.70,149
339045,3.91,-3.91,14.47,8,0.29,1063,0.00,0.00,14.70,16,9.88,9.50,5.22,5.13,1.40,0.64,14.60,149
339109,3.91,-3.91,14.59,8,0.29,1062,0.00,0.00,14.70,16,9.88,9.50,5.37,5.13,1.40,0.64,14.80,149
339172,3.91,-3.91,14.47,8,0.29,1055,0.00,0.00,14.70,16,9.88,10.50,5.22,7.66,1.40,0.64,14.80,149
339236,3.91,-3.91,14.59,8,0.29,1072,0.00,0.00,14.70,16,9.88,8.50,5.37,5.10,1.40,0.64,14.60,149
339301,3.91,-3.91,14.59,8,0.29,1067,0.00,0.00,14.70,16,9.88,9.00,5.22,2.57,1.40,0.64,14.70,149
339364,3.12,-3.91,14.47,8,0.29,1070,0.00,0.00,14.70,16,9.88,9.00,5.22,5.13,1.40,0.64,14.70,149
339428,3.91,-3.91,14.59,8,0.29,1065,0.00,0.00,14.70,16,9.88,9.50,5.37,5.13,1.40,0.64,14.70,149
339492,3.91,-3.91,14.47,8,0.29,1058,0.00,0.00,14.70,16,9.88,10.50,5.22,5.17,1.40,0.64,14.70,149
339556,3.91,-3.91,14.59,8,0.29,1058,0.00,0.00,14.70,16,9.88,10.00,5.22,5.13,1.40,0.64,14.70,149
339620,3.91,-3.91,14.47,8,0.29,1070,0.00,0.00,14.70,16,9.88,8.50,5.22,5.10,1.40,0.64,14.60,149
339684,3.91,-3.91,14.59,8,0.29,1075,0.00,0.00,14.70,16,9.88,8.00,5.22,5.10,1.40,0.64,14.70,149
339748,3.91,-3.91,14.59,8,0.29,1063,0.00,0.00,14.70,16,9.88,9.50,5.22,5.10,1.40,0.64,14.70,149
339811,3.91,-3.91,14.59,8,0.29,1059,0.00,0.00,14.70,16,9.88,10.00,5.22,5.17,1.40,0.64,14.70,149
339875,3.91,-3.91,14.59,8,0.29,1064,0.00,0.00,14.70,16,9.88,9.50,5.37,5.17,1.40,0.64,14.70,149
339940,3.91,-3.91,14.59,8,0.29,1052,0.00,0.00,14.70,16,9.88,10.50,5.22,5.10,1.40,0.64,14.70,149
340003,3.91,-3.91,14.59,8,0.29,1064,0.00,0.00,14.70,16,9.88,9.50,5.22,5.17,1.40,0.64,14.70,149
340066,3.91,-3.91,14.59,8,0.29,1054,0.00,0.00,14.70,16,9.88,10.50,5.22,5.13,1.40,0.64,14.70,149
340131,3.91,-3.91,14.59,8,0.29,1058,0.00,0.00,14.70,16,9.88,10.00,5.37,5.10,1.40,0.64,14.70,149
340195,3.91,-3.91,14.47,8,0.29,1066,0.00,0.00,14.70,16,9.88,9.00,5.37,5.10,1.40,0.64,14.70,149
340258,3.91,-3.91,14.47,8,0.29,1061,0.00,0.00,14.70,16,9.88,9.50,5.22,5.10,1.40,0.64,14.70,149
340322,3.91,-3.91,14.59,8,0.29,1070,0.00,0.00,14.70,16,9.88,8.50,5.37,5.10,1.40,0.64,14.70,149
340386,3.91,-3.91,14.47,8,0.29,1063,0.00,0.00,14.70,16,9.88,10.00,5.22,5.13,1.40,0.64,14.60,149
340450,3.12,-3.91,14.47,8,0.29,1063,0.00,0.00,14.70,16,9.88,9.50,5.22,5.17,1.40,0.64,14.60,149
340514,3.12,-3.91,14.47,8,0.29,1061,0.00,0.00,14.70,16,9.88,9.50,5.22,5.13,1.40,0.64,14.60,149
340578,3.91,-3.91,14.47,8,0.29,1061,0.00,0.00,14.70,16,9.88,9.50,5.22,5.10,1.40,0.64,14.60,149
340642,3.91,-3.91,14.59,8,0.29,1052,0.00,0.00,14.70,16,9.88,9.50,5.22,5.10,1.40,0.64,14.60,149
340706,3.91,-3.91,14.47,8,0.29,1059,0.00,0.00,14.70,16,9.88,10.50,5.37,5.13,1.40,0.64,14.60,149
340769,3.91,-3.91,14.59,8,0.29,1050,0.00,0.00,14.70,16,9.88,10.50,5.22,5.13,1.40,0.64,14.60,149
340833,3.91,-3.91,14.47,8,0.29,1050,0.00,0.00,14.70,16,9.88,9.50,5.37,5.17,1.40,0.64,14.70,149
340898,3.91,-3.91,14.47,8,0.29,1059,0.00,0.00,14.70,16,9.88,9.50,5.37,5.17,1.40,0.64,14.60,149
340962,3.91,-3.91,14.59,8,0.29,1058,0.00,0.00,14.70,16,9.88,9.50,5.37,5.10,1.40,0.64,14.60,149
341025,3.91,-3.91,14.47,8,0.29,1058,0.00,0.00,14.70,16,9.88,9.50,5.37,5.13,1.40,0.64,14.60,149
341089,3.91,-3.91,14.47,8,0.29,1050,0.00,0.00,14.70,16,9.88,10.50,5.37,5.13,1.40,0.64,14.60,149
341153,3.12,-3.91,14.59,8,0.29,1048,0.00,0.00,14.70,16,9.88,10.50,5.37,5.13,1.40,0.64,14.60,149
341217,3.91,-3.91,14.47,8,0.29,1041,0.00,0.00,14.70,16,9.88,11.50,5.22,5.17,1.40,0.64,14.70,151
341281,3.91,-3.91,14.47,8,0.29,1060,0.00,0.00,14.70,16,9.88,9.50,5.37,5.10,1.40,0.64,14.70,151
341344,3.91,-3.91,14.47,8,0.29,1063,0.00,0.00,14.70,16,9.88,8.50,5.37,5.10,1.40,0.64,14.70,151
341408,3.91,-3.91,14.47,8,0.29,1068,0.00,0.00,14.70,16,9.88,8.00,5.37,5.10,1.40,0.64,14.60,151
341472,3.91,-3.91,14.47,8,0.29,1061,0.00,0.00,14.70,16,9.88,9.00,5.37,5.17,1.40,0.64,14.60,151
341536,3.91,-3.91,14.47,8,0.29,1044,0.00,0.00,14.70,16,9.88,11.00,5.22,5.17,1.40,0.64,14.60,151
341600,3.91,-3.91,14.59,8,0.30,1049,0.00,0.00,14.70,16,9.88,10.50,5.37,5.13,1.40,0.64,14.60,151
341664,3.91,-3.91,14.47,8,0.29,1039,0.00,0.00,14.70,16,9.88,11.50,5.37,5.17,1.40,0.64,14.60,151
341729,3.91,-3.91,14.59,8,0.30,1062,0.00,0.00,14.70,16,9.88,9.00,5.37,7.66,1.40,0.64,14.60,151
341792,3.91,-3.91,14.59,8,0.29,1054,0.00,0.00,14.70,16,9.88,9.50,5.37,5.10,1.40,0.64,14.60,151
341856,3.91,-3.91,14.59,8,0.29,1054,0.00,0.00,14.70,16,9.88,9.50,5.37,5.10,1.40,0.64,14.60,151
341920,3.91,-3.91,14.59,8,0.29,1051,0.00,0.00,14.70,16,9.88,9.50,5.37,5.10,1.40,0.64,14.70,151
341984,3.91,-3.91,14.47,8,0.29,1054,0.00,0.00,14.70,16,9.88,9.50,5.37,5.10,1.40,0.64,14.60,151
342047,3.91,-3.91,14.59,8,0.29,1065,0.00,0.00,14.70,16,9.88,8.00,5.37,5.10,1.40,0.64,14.60,151
342112,3.91,-3.91,14.59,8,0.29,1059,0.00,0.00,14.70,16,9.88,9.50,5.22,5.13,1.40,0.64,14.60,151
342176,3.12,-3.91,14.59,8,0.29,1058,0.00,0.00,14.70,16,9.88,9.50,5.37,5.13,1.40,0.64,14.60,151
342239,3.91,-3.91,14.47,8,0.29,1055,0.00,0.00,14.70,16,9.88,9.50,5.37,5.10,1.40,0.64,14.70,151
342304,3.91,-3.91,14.59,8,0.29,1064,0.00,0.00,14.70,16,9.88,8.50,5.37,5.13,1.40,0.64,14.60,151
342367,3.91,-3.91,14.59,8,0.29,1059,0.00,0.00,14.70,16,9.88,9.50,5.37,5.17,1.40,0.64,14.60,151
342431,3.91,-3.91,14.47,8,0.29,1049,0.00,0.00,14.70,16,9.88,10.50,5.22,5.17,1.40,0.64,14.70,151
342494,3.91,-3.91,14.59,8,0.29,1056,0.00,0.00,14.70,16,9.88,9.50,5.37,5.17,1.40,0.64,14.70,151
342558,3.91,-3.91,14.47,8,0.29,1071,0.00,0.00,14.70,16,9.88,8.00,5.37,5.17,1.40,0.64,14.70,151
342623,3.12,-3.91,14.59,8,0.29,1073,0.00,0.00,14.70,16,9.88,8.00,5.22,5.13,1.40,0.64,14.70,151
342687,3.91,-3.91,14.47,8,0.29,1065,0.00,0.00,14.70,16,9.88,9.00,5.22,5.13,1.40,0.64,14.60,151
342750,3.12,-3.91,14.36,8,0.29,1062,0.00,0.00,14.70,16,9.88,9.50,5.22,5.17,1.40,0.64,14.60,151
342815,3.12,-3.91,14.47,8,0.29,1059,0.00,0.00,14.70,16,9.88,9.50,5.37,5.13,1.40,0.64,14.50,151
342879,3.12,-3.91,14.36,8,0.29,1054,0.00,0.00,14.70,16,9.88,10.00,5.22,5.17,1.40,0.64,14.50,151
342942,3.12,-3.91,14.47,8,0.29,1061,0.00,0.00,14.70,16,9.88,9.50,5.22,5.17,1.40,0.64,14.60,151
343006,3.12,-3.91,14.36,8,0.29,1057,0.00,0.00,14.70,16,9.88,9.50,5.37,5.17,1.40,0.64,14.60,151
343070,3.12,-3.91,14.36,8,0.29,1063,0.00,0.00,14.70,16,9.88,9.00,5.37,5.10,1.40,0.64,14.60,151
343133,3.12,-3.91,14.47,8,0.29,1063,0.00,0.00,14.70,16,9.88,9.50,5.37,5.10,1.40,0.64,14.60,151
343198,3.12,-3.91,14.36,8,0.30,1062,0.00,0.00,14.70,16,9.88,10.50,5.37,5.17,1.40,0.64,14.60,151
343262,3.12,-3.91,14.36,8,0.29,1051,0.00,0.00,14.70,16,9.88,10.00,5.37,5.10,1.40,0.64,14.60,151
343326,3.12,-3.91,14.36,8,0.29,1056,0.00,0.00,14.70,16,9.88,10.50,5.37,5.10,1.40,0.64,14.50,151
343390,3.12,-3.91,14.47,8,0.29,1066,0.00,0.00,14.70,16,9.88,8.00,5.37,5.10,1.40,0.64,14.60,151
343453,3.12,-3.91,14.36,8,0.29,1070,0.00,0.00,14.70,16,9.88,10.50,5.22,5.10,1.40,0.64,14.60,151
343517,3.12,-3.91,14.36,8,0.29,1052,0.00,0.00,14.70,16,9.88,10.50,5.22,5.10,1.40,0.64,14.60,151
343582,3.12,-3.91,14.47,8,0.30,1055,0.00,0.00,14.70,16,9.88,9.50,5.37,5.17,1.40,0.64,14.60,151
343645,3.12,-3.91,14.47,8,0.29,1052,0.00,0.00,14.70,16,9.88,10.00,5.37,5.10,1.40,0.64,14.50,151
343709,3.12,-3.91,14.47,8,0.29,1052,0.00,0.00,14.70,16,9.88,10.00,5.37,5.10,1.40,0.64,14.60,151
343773,3.12,-3.91,14.47,8,0.29,1066,0.00,0.00,14.70,16,9.88,8.50,5.37,5.13,1.40,0.64,14.60,151
343837,3.12,-3.91,14.59,8,0.29,1062,0.00,0.00,14.70,16,9.88,9.00,5.22,5.13,1.40,0.64,14.60,151
343901,3.12,-3.91,14.59,8,0.29,1059,0.00,0.00,14.70,16,9.88,9.50,5.22,5.13,1.40,0.64,14.60,151
343965,3.12,-3.91,14.47,8,0.29,1061,0.00,0.00,14.70,16,9.88,9.50,5.22,5.17,1.40,0.64,14.60,151
344029,3.12,-3.91,14.47,8,0.29,1052,0.00,0.00,14.70,16,9.88,10.50,5.22,5.10,1.40,0.64,14.60,151
344092,3.12,-3.91,14.59,8,0.29,1058,0.00,0.00,14.70,16,9.88,9.50,5.37,5.13,1.40,0.64,14.70,151
344156,3.12,-3.91,14.47,8,0.29,1056,0.00,0.00,14.70,16,9.88,9.50,5.22,5.13,1.40,0.64,14.70,151
344220,3.12,-3.91,14.47,8,0.29,1063,0.00,0.00,14.70,16,9.88,9.50,5.22,5.13,1.40,0.64,14.60,151
344284,3.12,-3.91,14.47,8,0.29,1060,0.00,0.00,14.70,16,9.88,9.50,5.22,7.66,1.40,0.64,14.60,151
344348,3.12,-3.91,14.47,8,0.29,1067,0.00,0.00,14.70,16,9.88,8.50,5.22,2.57,1.40,0.64,14.60,151
344411,3.12,-3.91,14.59,8,0.29,1060,0.00,0.00,14.70,16,9.88,9.50,5.37,5.17,1.40,0.64,14.60,151
344476,3.12,-3.91,14.47,8,0.29,1057,0.00,0.00,14.70,16,9.88,9.50,5.22,7.66,1.40,0.64,14.60,151
344540,3.12,-3.91,14.59,8,0.29,1060,0.00,0.00,14.70,16,9.88,9.50,5.22,5.10,1.40,0.64,14.60,151
344604,3.12,-3.91,14.59,8,0.29,1050,0.00,0.00,14.70,16,9.88,10.50,5.22,5.10,1.40,0.64,14.60,151
344668,3.12,-3.91,14.59,8,0.29,1058,0.00,0.00,14.70,16,9.88,9.50,5.37,5.10,1.40,0.64,14.60,151
344732,3.91,-3.91,14.59,8,0.29,1056,0.00,0.00,14.70,16,9.88,9.50,5.22,5.10,1.40,0.64,14.70,151
344796,3.12,-3.91,14.70,8,0.29,1055,0.00,0.00,14.70,16,9.88,9.50,5.22,5.10,1.40,0.64,14.70,151
344860,3.12,-3.91,14.70,8,0.29,1048,0.00,0.00,14.70,16,9.88,10.50,5.37,5.17,1.40,0.64,14.70,151
344924,3.12,-3.91,14.59,8,0.29,1044,0.00,0.00,14.70,16,9.88,10.50,5.22,5.10,1.40,0.64,14.70,151
344987,3.12,-3.91,14.59,8,0.29,1056,0.00,0.00,14.70,16,9.88,9.50,5.37,5.10,1.40,0.64,14.70,151
345051,3.12,-3.91,14.59,8,0.29,1054,0.00,0.00,14.70,16,9.88,10.50,5.22,5.10,1.40,0.64,14.70,151
345115,3.12,-3.91,14.59,8,0.29,1058,0.00,0.00,14.70,16,9.88,9.50,5.37,5.10,1.40,0.64,14.70,151
345179,3.12,-3.91,14.47,8,0.29,1056,0.00,0.00,14.70,16,9.88,9.50,5.22,5.04,1.40,0.64,14.70,151
345243,3.12,-3.91,14.47,8,0.29,1052,0.00,0.00,14.70,16,9.88,9.50,5.22,5.10,1.40,0.64,14.60,151
345306,3.12,-3.91,14.59,8,0.30,1038,0.00,0.00,14.70,16,9.88,11.00,5.37,5.13,1.40,0.64,14.60,151
345370,3.12,-3.91,14.59,8,0.29,1029,0.00,0.00,14.70,16,9.88,12.00,5.37,5.17,1.40,0.64,14.60,151
345435,3.91,-3.91,14.59,8,0.29,1044,0.00,0.00,14.70,16,9.88,10.50,5.37,5.10,1.40,0.64,14.70,151
345499,3.91,-3.91,14.59,8,0.29,1060,0.00,0.00,14.70,16,9.88,9.50,5.37,5.13,1.40,0.64,14.70,151
345562,3.91,-3.91,14.70,8,0.29,1060,0.00,0.00,14.70,16,9.88,8.50,5.37,5.10,1.40,0.64,14.70,151
345626,3.91,-3.91,14.70,8,0.29,1054,0.00,0.00,14.70,16,9.88,9.50,5.37,5.10,1.40,0.64,14.70,151
345690,3.91,-3.91,14.70,8,0.29,1053,0.00,0.00,14.70,16,9.88,9.50,5.37,5.13,1.40,0.64,14.70,151
345753,3.91,-3.91,14.70,8,0.29,1053,0.00,0.00,14.70,16,9.88,9.50,5.37,5.10,1.40,0.64,14.70,151
345817,3.12,-3.91,14.70,8,0.29,1054,0.00,0.00,14.70,16,9.88,9.50,5.37,5.10,1.40,0.64,14.80,151
345882,3.91,-3.91,14.59,8,0.29,1051,0.00,0.00,14.70,16,9.88,10.00,5.22,5.10,1.40,0.64,14.80,151
345945,3.12,-3.91,14.47,8,0.30,1047,0.00,0.00,14.70,16,9.88,10.00,5.37,5.10,1.40,0.64,14.80,151
346009,3.12,-3.91,14.47,8,0.29,1048,0.00,0.00,14.70,16,9.88,8.50,5.37,5.10,1.40,0.64,14.70,151
346073,3.12,-3.91,14.47,8,0.29,1059,0.00,0.00,14.70,16,9.88,9.50,5.37,5.10,1.40,0.64,14.70,151
346137,3.12,-3.91,14.47,8,0.29,1051,0.00,0.00,14.70,16,9.88,9.50,5.37,5.13,1.40,0.64,14.70,151
346201,3.12,-3.91,14.36,8,0.29,1046,0.00,0.00,14.70,16,9.88,9.50,5.22,5.10,1.40,0.64,14.60,151
346265,3.12,-3.91,14.47,8,0.29,1054,0.00,0.00,14.70,16,9.88,9.50,5.37,5.10,1.40,0.64,14.60,151
346329,3.12,-3.91,14.36,8,0.29,1048,0.00,0.00,14.70,16,9.88,10.00,5.37,5.10,1.40,0.64,14.60,151
346393,3.12,-3.91,14.47,8,0.29,1056,0.00,0.00,14.70,16,9.88,9.00,5.37,5.10,1.40,0.64,14.60,151
346456,3.12,-3.91,14.36,8,0.29,1056,0.00,0.00,14.70,16,9.88,9.00,5.37,5.10,1.40,0.64,14.60,151
346520,3.12,-3.91,14.47,8,0.29,1060,0.00,0.00,14.70,16,9.88,8.50,5.22,5.10,1.40,0.64,14.60,151
346584,3.12,-3.91,14.36,8,0.29,1052,0.00,0.00,14.70,16,9.88,9.50,5.22,5.10,1.40,0.64,14.60,151
346648,3.12,-3.91,14.47,8,0.29,1050,0.00,0.00,14.70,16,9.88,9.50,5.37,5.10,1.40,0.64,14.60,151
346712,3.12,-3.91,14.59,8,0.29,1058,0.00,0.00,14.70,16,9.88,9.00,5.37,5.10,1.40,0.64,14.60,151
346776,3.12,-3.91,14.47,8,0.29,1049,0.00,0.00,14.70,16,9.88,10.00,5.22,5.10,1.40,0.64,14.60,151
346839,3.12,-3.91,14.59,8,0.29,1054,0.00,0.00,14.70,16,9.88,10.00,5.22,5.07,1.40,0.64,14.60,151
346903,3.12,-3.91,14.47,8,0.29,1057,0.00,0.00,14.70,16,9.88,9.00,5.22,5.10,1.40,0.64,14.70,151
346967,3.12,-3.91,14.59,8,0.29,1059,0.00,0.00,14.70,16,9.88,9.00,5.22,5.04,1.40,0.64,14.70,151
347032,3.12,-3.91,14.47,8,0.29,1056,0.00,0.00,14.70,16,9.88,9.50,5.22,5.10,1.40,0.64,14.60,151
347095,3.12,-3.91,14.36,8,0.29,1048,0.00,0.00,14.70,16,9.88,10.00,5.22,5.04,1.40,0.64,14.60,151
347158,3.12,-3.91,14.47,8,0.29,1054,0.00,0.00,14.70,16,9.88,9.50,5.22,5.04,1.40,0.64,14.60,151
347223,3.12,-3.91,14.36,8,0.29,1042,0.00,0.00,14.70,16,9.88,10.50,5.22,5.10,1.40,0.64,14.60,151
347286,3.12,-3.91,14.47,8,0.29,1055,0.00,0.00,14.70,16,9.88,9.50,5.37,5.10,1.40,0.64,14.70,151
347351,3.12,-3.91,14.47,8,0.29,1055,0.00,0.00,14.70,16,9.88,9.50,5.22,5.10,1.40,0.64,14.70,151
347415,3.12,-3.91,14.47,8,0.29,1063,0.00,0.00,14.70,16,9.88,8.00,5.22,5.10,1.40,0.64,14.60,151
347478,3.12,-3.91,14.59,8,0.29,1050,0.00,0.00,14.70,16,9.88,9.50,5.37,5.10,1.40,0.64,14.60,151
347542,3.12,-3.91,14.59,8,0.29,1041,0.00,0.00,14.70,16,9.88,10.50,5.22,5.10,1.40,0.64,14.60,151
347606,3.12,-3.91,14.59,8,0.29,1056,0.00,0.00,14.70,16,9.88,9.50,5.37,5.10,1.40,0.64,14.60,151
347671,3.12,-3.91,14.47,8,0.29,1052,0.00,0.00,14.70,16,9.88,9.50,5.22,5.10,1.40,0.64,14.60,151
347733,3.12,-3.91,14.47,8,0.29,1054,0.00,0.00,14.70,16,9.88,9.50,5.22,5.10,1.40,0.64,14.70,151
347798,3.12,-3.91,14.47,8,0.29,1053,0.00,0.00,14.70,16,9.88,9.50,5.22,5.07,1.40,0.64,14.60,151
347862,3.12,-3.91,14.59,8,0.29,1054,0.00,0.00,14.70,16,9.88,9.50,5.22,5.10,1.40,0.64,14.60,151
347926,3.12,-3.91,14.59,8,0.29,1040,0.00,0.00,14.70,16,9.88,10.50,5.37,5.10,1.40,0.64,14.70,151
347989,3.12,-3.91,14.59,8,0.30,1037,0.00,0.00,14.70,16,9.88,11.00,5.37,5.10,1.40,0.64,14.60,151
348054,3.12,-3.91,14.59,8,0.29,1051,0.00,0.00,14.70,16,9.88,9.50,5.37,5.13,1.40,0.64,14.60,151
348117,3.12,-3.91,14.59,8,0.29,1046,0.00,0.00,14.70,16,9.88,10.00,5.37,5.10,1.40,0.64,14.60,151
348181,3.12,-3.91,14.59,8,0.29,1050,0.00,0.00,14.70,16,9.88,9.50,5.37,5.10,1.40,0.64,14.60,151
348245,3.12,-3.91,14.59,8,0.29,1045,0.00,0.00,14.70,16,9.88,10.00,5.37,5.10,1.40,0.64,14.60,151
348309,3.12,-3.91,14.59,8,0.30,1042,0.00,0.00,14.70,16,9.88,10.50,5.37,5.10,1.40,0.64,14.70,151
348374,3.12,-3.91,14.59,8,0.29,1042,0.00,0.00,14.70,16,9.88,9.50,5.37,5.10,1.40,0.64,14.70,151
348437,3.12,-3.91,14.59,8,0.29,1052,0.00,0.00,14.70,16,9.88,9.50,5.37,5.04,1.38,0.64,14.70,151
348501,3.12,-3.91,14.59,8,0.29,1048,0.00,0.00,14.70,16,9.88,9.50,5.37,5.04,1.40,0.64,14.70,151
348565,3.12,-3.91,14.59,8,0.29,1050,0.00,0.00,14.70,16,9.88,10.50,5.37,5.07,1.40,0.64,14.70,151
348629,3.12,-3.91,14.59,8,0.29,1040,0.00,0.00,14.70,16,9.88,9.00,5.22,5.07,1.40,0.64,14.70,151
348693,3.12,-3.91,14.59,8,0.29,1054,0.00,0.00,14.70,16,9.88,9.00,5.37,5.07,1.40,0.64,14.80,151
348757,3.12,-3.91,14.59,8,0.29,1042,0.00,0.00,14.70,16,9.88,10.50,5.37,5.07,1.40,0.64,14.80,151
348821,3.12,-3.91,14.59,8,0.29,1050,0.00,0.00,14.70,16,9.88,9.50,5.22,5.04,1.38,0.64,14.80,151
348885,3.91,-3.91,14.59,8,0.28,1059,0.00,0.00,14.70,16,9.88,8.50,5.37,5.04,1.38,0.64,14.80,151
348948,3.12,-3.91,14.70,8,0.29,1059,0.00,0.00,14.70,16,9.88,8.50,5.22,5.04,1.40,0.64,14.80,151
349013,3.12,-3.91,14.59,8,0.30,1056,0.00,0.00,14.70,16,9.88,9.00,5.22,5.07,1.40,0.64,14.70,151
349077,3.12,-3.91,14.59,8,0.29,1042,0.00,0.00,14.70,16,9.88,11.50,5.22,5.10,1.40,0.64,14.70,151
349141,3.12,-3.91,14.59,8,0.29,1045,0.00,0.00,14.70,16,9.88,10.00,5.37,5.07,1.40,0.64,14.70,151
349204,3.12,-3.91,14.59,8,0.29,1047,0.00,0.00,14.70,16,9.88,9.50,5.22,5.07,1.40,0.64,14.70,151
349268,3.12,-3.91,14.59,8,0.29,1054,0.00,0.00,14.70,16,9.88,9.00,5.22,5.04,1.40,0.64,14.70,151
349332,3.12,-3.91,14.59,8,0.29,1050,0.00,0.00,14.70,16,9.88,9.50,5.37,5.04,1.38,0.64,14.70,151
