Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Throttle Opening Angle (%)
32296,3.91,0.00,14.59,7,0.28,910,0.00,0.00,14.70,16,4.79,-9.96,0.00,-1.70,0.64,0.00,0.00,14.90,4.18,1.28,9.88,10.00,93,0.00
32382,3.91,0.00,14.59,7,0.28,902,0.00,0.00,14.70,16,4.79,-9.92,0.00,-1.70,0.64,0.00,0.00,14.90,4.18,1.28,9.88,9.00,93,0.00
32469,3.12,0.00,14.59,7,0.28,902,0.00,0.00,14.70,16,4.79,-9.94,0.00,-1.70,0.64,0.00,0.00,14.80,4.18,1.28,9.88,10.00,93,0.00
32556,3.91,0.00,14.59,7,0.28,914,0.00,0.00,14.70,16,4.79,-9.96,0.00,-1.70,0.64,0.00,0.00,14.80,4.22,1.28,9.88,10.00,93,0.00
32642,3.91,0.00,14.59,7,0.28,901,0.00,0.00,14.70,16,4.79,-9.94,0.00,-1.70,0.64,0.00,0.00,14.80,4.18,1.28,9.88,9.50,93,0.00
32729,3.91,0.00,14.59,7,0.28,899,0.00,0.00,14.70,16,4.79,-9.94,0.00,-1.70,0.64,0.00,0.00,14.70,4.18,1.28,9.88,10.50,93,0.00
32816,3.91,0.00,14.59,7,0.28,910,0.00,0.00,14.70,16,4.79,-9.96,0.00,-1.70,0.64,0.00,0.00,14.70,4.24,1.28,9.88,10.00,93,0.00
32903,3.91,0.00,14.59,7,0.28,902,0.00,0.00,14.70,16,4.79,-9.94,0.00,-1.70,0.64,0.00,0.00,14.70,4.18,1.28,9.88,9.50,93,0.00
32990,3.91,0.00,14.59,7,0.28,894,0.00,0.00,14.70,16,4.79,-9.94,0.00,-1.70,0.64,0.00,0.00,14.70,4.18,1.28,9.88,11.00,93,0.00
33076,3.91,0.00,14.59,7,0.28,909,0.00,0.00,14.70,16,4.79,-9.96,0.00,-1.70,0.64,0.00,0.00,14.70,4.24,1.28,9.88,8.50,93,0.00
33164,3.91,0.00,14.59,7,0.28,907,0.00,0.00,14.70,16,4.79,-9.94,0.00,-1.70,0.64,0.00,0.00,14.70,4.18,1.28,9.88,8.50,93,0.00
33250,3.91,0.00,14.70,7,0.27,919,0.00,0.00,14.70,16,4.79,-9.96,0.00,-1.70,0.64,0.00,0.00,14.70,4.18,1.28,9.88,8.50,93,0.00
33337,3.91,0.00,14.59,7,0.27,922,0.00,0.00,14.70,16,4.79,-9.98,0.00,-1.70,0.64,0.00,0.00,14.70,4.18,1.28,9.88,8.00,93,0.00
33424,3.91,0.00,14.70,7,0.28,910,0.00,0.00,14.70,16,4.64,-9.96,0.00,-1.70,0.64,0.00,0.00,14.70,4.24,1.28,9.88,9.50,93,0.00
33511,3.91,0.00,14.70,7,0.28,905,0.00,0.00,14.70,16,4.79,-9.96,0.00,-1.70,0.64,0.00,0.00,14.80,4.24,1.28,9.88,10.50,93,0.00
33597,3.91,0.00,14.70,7,0.27,916,0.00,0.00,14.70,16,4.79,-9.98,0.00,-1.70,0.64,0.00,0.00,14.80,4.24,1.28,9.88,9.00,93,0.00
33684,3.12,0.00,14.70,7,0.27,908,0.00,0.00,14.70,16,4.79,-9.96,0.00,-1.70,0.64,0.00,0.00,14.80,4.18,1.28,9.88,8.50,93,0.00
33772,3.91,0.00,14.70,7,0.27,904,0.00,0.00,14.70,16,4.79,-9.96,0.00,-1.70,0.64,0.00,0.00,14.80,4.15,1.28,9.88,9.00,93,0.00
33859,3.91,0.00,14.81,7,0.28,913,0.00,0.00,14.70,16,4.79,-9.98,0.00,-1.70,0.64,0.00,0.00,14.80,4.18,1.28,9.88,9.50,93,0.00
33945,3.91,0.00,14.70,7,0.28,894,0.00,0.00,14.70,16,4.79,-9.96,0.00,-1.70,0.64,0.00,0.00,14.80,4.22,1.28,9.88,10.50,93,0.00
34032,3.91,0.00,14.59,7,0.28,910,0.00,0.00,14.70,16,4.79,-9.96,0.00,-1.70,0.64,0.00,0.00,14.80,4.18,1.28,9.88,9.50,93,0.00
34119,3.91,0.00,14.59,7,0.27,924,0.00,0.00,14.70,16,4.79,-10.00,0.00,-1.70,0.64,0.00,0.00,14.90,4.18,1.28,9.88,8.50,93,0.00
34205,3.12,0.00,14.70,7,0.27,910,0.00,0.00,14.70,16,4.64,-9.96,0.00,-1.70,0.64,0.00,0.00,14.90,4.15,1.28,9.88,9.00,93,0.00
34292,3.91,0.00,14.70,7,0.27,901,0.00,0.00,14.70,16,4.64,-10.02,0.00,-1.70,0.64,0.00,0.00,14.80,4.18,1.28,9.88,9.00,93,0.00
34379,3.91,0.00,14.59,7,0.27,913,0.00,0.00,14.70,16,4.79,-10.00,0.00,-1.70,0.64,0.00,0.00,14.80,4.24,1.28,9.88,9.50,93,0.00
34466,3.12,0.00,14.70,7,0.27,910,0.00,0.00,14.70,16,4.64,-9.96,0.00,-1.70,0.64,0.00,0.00,14.80,4.18,1.28,9.88,8.50,93,0.00
34553,3.91,0.00,14.70,7,0.27,916,0.00,0.00,14.70,16,4.64,-10.02,0.00,-1.70,0.64,0.00,0.00,14.80,4.13,1.28,9.88,8.00,93,0.00
34639,3.91,0.00,14.70,7,0.27,926,0.00,0.00,14.70,16,4.79,-10.02,0.00,-1.70,0.64,0.00,0.00,14.80,4.15,1.28,9.88,8.00,93,0.00
34726,3.91,0.00,14.70,7,0.28,916,0.00,0.00,14.70,16,4.64,-9.96,0.00,-1.70,0.64,0.00,0.00,14.90,4.18,1.28,9.88,9.50,93,0.00
34813,3.91,0.00,14.70,7,0.27,918,0.00,0.00,14.70,16,4.64,-10.02,0.00,-1.70,0.64,0.00,0.00,14.80,4.22,1.28,9.88,11.50,93,0.00
34900,3.91,0.00,14.81,7,0.28,912,0.00,0.00,14.70,16,4.79,-9.96,0.00,-1.70,0.64,0.00,0.00,14.80,4.24,1.28,9.88,10.50,93,0.00
34986,3.91,0.00,14.81,7,0.28,906,0.00,0.00,14.70,16,4.79,-9.96,0.00,-1.70,0.64,0.00,0.00,14.90,4.18,1.28,9.88,9.50,93,0.00
35073,3.91,0.00,14.81,7,0.27,914,0.00,0.00,14.70,16,4.64,-10.02,0.00,-1.70,0.64,0.00,0.00,14.90,4.18,1.28,9.88,9.00,93,0.00
35160,4.69,0.00,14.81,7,0.27,925,0.00,0.00,14.70,16,4.79,-9.98,0.00,-1.70,0.64,0.00,0.00,14.90,4.18,1.28,9.88,8.50,93,0.00
35247,3.91,0.00,14.81,7,0.28,909,0.00,0.00,14.70,16,4.64,-9.96,0.00,-1.70,0.64,0.00,0.00,14.90,4.18,1.28,9.88,9.50,93,0.00
35334,3.91,0.00,14.81,7,0.27,918,0.00,0.00,14.70,16,4.64,-10.00,0.00,-1.70,0.64,0.00,0.00,14.90,4.24,1.28,9.88,9.00,93,0.00
35421,4.69,0.00,14.81,7,0.27,932,0.00,0.00,14.70,16,4.79,-10.00,0.00,-1.70,0.64,0.00,0.00,15.00,4.24,1.28,9.88,8.00,93,0.00
35508,3.91,0.00,14.81,7,0.27,924,0.00,0.00,14.70,16,4.64,-10.02,0.00,-1.70,0.64,0.00,0.00,15.00,4.18,1.28,9.88,8.00,93,0.00
35594,4.69,0.00,14.81,7,0.27,934,0.00,0.00,14.70,16,4.64,-10.04,0.00,-1.70,0.64,0.00,0.00,15.00,4.13,1.28,9.88,9.50,93,0.00
35681,4.69,0.00,14.81,7,0.27,924,0.00,0.00,14.70,16,4.64,-10.04,0.00,-1.70,0.64,0.00,0.00,15.00,4.13,1.28,9.88,9.00,93,0.00
35767,4.69,0.00,14.81,7,0.27,919,0.00,0.00,14.70,16,4.64,-10.04,0.00,-1.70,0.64,0.00,0.00,15.00,4.13,1.28,9.88,8.50,93,0.00
35854,4.69,0.00,14.81,7,0.27,930,0.00,0.00,14.70,16,4.64,-10.06,0.00,-1.70,0.64,0.00,0.00,15.00,4.10,1.28,9.88,11.00,93,0.00
35941,4.69,0.00,14.81,7,0.27,914,0.00,0.00,14.70,16,4.64,-10.06,0.00,-1.70,0.64,0.00,0.00,15.00,4.13,1.28,9.88,10.50,93,0.00
36028,4.69,0.00,14.81,7,0.27,912,0.00,0.00,14.70,16,4.64,-10.02,0.00,-1.70,0.64,0.00,0.00,14.90,4.15,1.28,9.88,9.50,93,0.00
36115,4.69,0.00,14.81,7,0.27,922,0.00,0.00,14.70,16,4.64,-10.04,0.00,-1.70,0.64,0.00,0.00,14.80,4.13,1.28,9.88,11.50,93,0.00
36201,4.69,0.00,14.70,7,0.27,914,0.00,0.00,14.70,16,4.64,-10.04,0.00,-1.70,0.64,0.00,0.00,14.90,4.13,1.28,9.88,10.00,93,0.00
36288,4.69,0.00,14.70,7,0.27,922,0.00,0.00,14.70,16,4.64,-10.04,0.00,-1.70,0.64,0.00,0.00,14.90,4.15,1.28,9.88,8.50,93,0.00
36376,4.69,0.00,14.81,7,0.27,929,0.00,0.00,14.70,16,4.64,-10.06,0.00,-1.70,0.64,0.00,0.00,14.90,4.13,1.28,9.88,9.50,93,0.00
36462,4.69,0.00,14.70,7,0.26,930,0.00,0.00,14.70,16,4.64,-10.06,0.00,-1.70,0.64,0.00,0.00,14.80,4.07,1.28,9.88,8.50,93,0.00
36549,4.69,0.00,14.81,8,0.27,915,0.00,0.00,14.70,16,4.64,-10.06,0.00,-1.70,0.64,0.00,0.00,14.80,4.07,1.28,9.88,9.50,93,0.00
36636,4.69,0.00,14.81,8,0.27,923,0.00,0.00,14.70,16,4.64,-10.09,0.00,-1.70,0.64,0.00,0.00,14.90,4.07,1.28,9.88,11.00,93,0.00
36723,4.69,0.00,14.81,8,0.26,923,0.00,0.00,14.70,16,4.64,-10.07,0.00,-1.70,0.64,0.00,0.00,14.80,4.07,1.28,9.88,9.50,93,0.00
36810,4.69,0.00,14.81,8,0.26,920,0.00,0.00,14.70,16,4.64,-10.07,0.00,-1.70,0.64,0.00,0.00,14.90,4.07,1.28,9.88,8.50,93,0.00
36897,4.69,0.00,14.81,8,0.26,931,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.90,4.07,1.28,9.88,10.50,93,0.00
36983,4.69,0.00,14.70,8,0.26,918,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.90,4.02,1.28,9.88,9.50,93,0.00
37070,4.69,0.00,14.70,8,0.26,916,0.00,0.00,14.70,16,4.64,-10.09,0.00,-1.70,0.64,0.00,0.00,14.90,4.02,1.28,9.88,10.00,93,0.00
37157,4.69,0.00,14.70,8,0.27,918,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.90,4.07,1.28,9.88,11.00,93,0.00
37243,4.69,0.00,14.70,8,0.27,916,0.00,0.00,14.70,16,4.64,-10.09,0.00,-1.70,0.64,0.00,0.00,14.90,4.07,1.28,9.88,10.00,93,0.00
37330,4.69,0.00,14.70,8,0.26,918,0.00,0.00,14.70,16,4.64,-10.07,0.00,-1.70,0.64,0.00,0.00,14.80,4.07,1.28,9.88,9.50,93,0.00
37417,4.69,0.00,14.70,8,0.26,925,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.80,4.02,1.28,9.88,10.50,93,0.00
37503,4.69,0.00,14.70,8,0.27,912,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.80,4.04,1.28,9.88,10.50,93,0.00
37590,4.69,0.00,14.70,8,0.26,906,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.80,4.02,1.28,9.88,11.00,93,0.00
37677,4.69,0.00,14.81,8,0.26,920,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.80,4.02,1.28,9.88,9.50,93,0.00
37764,4.69,0.00,14.70,8,0.26,917,0.00,0.00,14.70,16,4.64,-10.13,0.00,-1.70,0.64,0.00,0.00,14.80,4.02,1.28,9.88,9.50,93,0.00
37851,4.69,0.00,14.70,8,0.26,901,0.00,0.00,14.70,16,4.50,-10.11,0.00,-1.70,0.64,0.00,0.00,14.80,4.02,1.28,9.88,11.50,93,0.00
37937,4.69,0.00,14.70,8,0.27,913,0.00,0.00,14.70,16,4.64,-10.15,0.00,-1.70,0.64,0.00,0.00,14.80,4.02,1.28,9.88,11.50,93,0.00
38025,4.69,0.00,14.59,8,0.27,910,0.00,0.00,14.70,16,4.64,-10.13,0.00,-1.70,0.64,0.00,0.00,14.80,4.04,1.28,9.88,10.00,93,0.00
38111,4.69,0.00,14.70,8,0.26,906,0.00,0.00,14.70,16,4.50,-10.11,0.00,-1.70,0.64,0.00,0.00,14.80,4.02,1.28,9.88,10.50,93,0.00
38197,4.69,0.00,14.70,8,0.27,915,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.80,4.02,1.28,9.88,11.00,93,0.00
38284,4.69,0.00,14.70,8,0.26,902,0.00,0.00,14.70,16,4.64,-10.13,0.00,-1.70,0.64,0.00,0.00,14.80,3.99,1.28,9.88,9.50,93,0.00
38370,4.69,0.00,14.59,8,0.26,901,0.00,0.00,14.70,16,4.50,-10.11,0.00,-1.70,0.64,0.00,0.00,14.80,3.96,1.28,9.88,10.50,93,0.00
38458,4.69,0.00,14.59,8,0.27,909,0.00,0.00,14.70,16,4.64,-10.13,0.00,-1.70,0.64,0.00,0.00,14.80,4.02,1.28,9.88,11.50,93,0.00
38545,3.91,0.00,14.47,8,0.27,892,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.80,4.02,1.28,9.88,10.50,93,0.00
38632,3.91,0.00,14.47,8,0.26,896,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.70,4.02,1.28,9.88,11.00,93,0.00
38718,3.91,0.00,14.47,8,0.27,908,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.80,4.02,1.26,9.88,10.50,93,0.00
38804,3.91,0.00,14.47,8,0.26,902,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.70,4.02,1.26,9.88,9.50,93,0.00
38892,3.91,0.00,14.47,8,0.27,901,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.70,4.02,1.26,9.88,10.50,93,0.00
38978,4.69,0.00,14.47,8,0.27,900,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.70,4.02,1.26,9.88,11.00,93,0.00
39065,3.91,0.00,14.47,8,0.27,895,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.70,4.02,1.26,9.88,9.50,93,0.00
39152,3.91,0.00,14.47,8,0.27,908,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.60,4.02,1.26,9.88,9.50,93,0.00
39239,4.69,0.00,14.59,8,0.26,918,0.00,0.00,14.70,16,4.64,-10.15,0.00,-1.70,0.64,0.00,0.00,14.60,4.02,1.26,9.88,10.00,93,0.00
39325,4.69,0.00,14.59,8,0.26,905,0.00,0.00,14.70,16,4.50,-10.13,0.00,-1.70,0.64,0.00,0.00,14.60,3.99,1.26,9.88,9.50,93,0.00
39412,3.91,0.00,14.47,8,0.26,894,0.00,0.00,14.70,16,4.50,-10.13,0.00,-1.70,0.64,0.00,0.00,14.60,3.96,1.26,9.88,11.00,93,0.00
39498,4.69,0.00,14.47,8,0.26,901,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.60,3.96,1.26,9.88,10.50,93,0.00
39585,3.91,0.00,14.47,8,0.26,893,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.70,3.93,1.26,9.88,10.00,93,0.00
39672,3.91,0.00,14.70,8,0.27,902,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.70,3.96,1.26,9.88,10.00,93,0.00
39759,3.91,0.00,14.47,8,0.27,904,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.70,3.99,1.26,9.88,9.50,93,0.00
39846,3.12,0.00,14.36,8,0.27,905,0.00,0.00,14.70,16,4.64,-10.06,0.00,-1.70,0.64,0.00,0.00,14.60,4.02,1.28,9.88,10.50,93,0.00
39933,3.91,0.00,14.70,8,0.27,899,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.70,4.04,1.28,9.88,10.00,93,0.00
40018,3.91,0.00,14.70,8,0.27,900,0.00,0.00,14.70,16,4.64,-10.06,0.00,-1.70,0.64,0.00,0.00,14.70,4.07,1.28,9.88,9.00,93,0.00
40106,3.91,0.00,14.59,8,0.27,907,0.00,0.00,14.70,16,4.64,-10.06,0.00,-1.70,0.64,0.00,0.00,14.70,4.07,1.28,9.88,9.50,93,0.00
40193,3.91,0.00,14.70,8,0.27,905,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.60,4.02,1.28,9.88,9.50,93,0.00
40279,4.69,0.00,14.81,8,0.26,899,0.00,0.00,14.70,16,4.64,-10.09,0.00,-1.70,0.64,0.00,0.00,14.60,3.99,1.28,9.88,9.50,93,0.00
40366,3.91,0.00,14.70,8,0.27,904,0.00,0.00,14.70,16,4.64,-10.09,0.00,-1.70,0.64,0.00,0.00,14.60,3.99,1.28,9.88,9.50,93,0.00
40453,4.69,0.00,14.81,8,0.26,911,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.60,3.99,1.28,9.88,8.50,93,0.00
40539,4.69,0.00,14.81,8,0.26,907,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.70,3.99,1.28,9.88,9.50,93,0.00
40626,3.91,0.00,14.70,8,0.27,904,0.00,0.00,14.70,16,4.64,-10.09,0.00,-1.70,0.64,0.00,0.00,14.70,3.99,1.28,9.88,10.00,93,0.00
40713,4.69,0.00,14.81,8,0.27,903,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.80,4.02,1.28,9.88,9.50,93,0.00
40799,4.69,0.00,14.81,8,0.27,898,0.00,0.00,14.70,16,4.64,-10.09,0.00,-1.70,0.64,0.00,0.00,14.70,4.02,1.28,9.88,10.00,93,0.00
40886,3.91,0.00,14.70,8,0.27,898,0.00,0.00,14.70,16,4.64,-10.09,0.00,-1.70,0.64,0.00,0.00,14.80,4.02,1.28,9.88,10.00,93,0.00
40973,4.69,0.00,14.70,8,0.27,902,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.80,4.02,1.26,9.88,9.50,93,0.00
41059,4.69,0.00,14.70,8,0.26,900,0.00,0.00,14.70,16,4.64,-10.06,0.00,-1.70,0.64,0.00,0.00,14.80,3.99,1.26,9.88,9.50,93,0.00
41146,3.91,0.00,14.59,8,0.27,900,0.00,0.00,14.70,16,4.64,-10.07,0.00,-1.70,0.64,0.00,0.00,14.80,3.99,1.26,9.88,9.50,93,0.00
41233,4.69,0.00,14.70,8,0.27,897,0.00,0.00,14.70,16,4.64,-10.09,0.00,-1.70,0.64,0.00,0.00,14.70,3.99,1.26,9.88,10.00,93,0.00
41320,4.69,0.00,14.81,8,0.27,900,0.00,0.00,14.70,16,4.64,-10.07,0.00,-1.70,0.64,0.00,0.00,14.80,3.99,1.26,9.88,9.50,93,0.00
41407,4.69,0.00,14.70,8,0.27,910,0.00,0.00,14.70,16,4.64,-10.09,0.00,-1.70,0.64,0.00,0.00,14.80,3.99,1.26,9.88,7.50,93,0.00
41494,4.69,0.00,14.81,8,0.26,918,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.80,3.99,1.26,9.88,8.00,93,0.00
41581,4.69,0.00,14.70,8,0.26,908,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.80,3.96,1.26,9.88,9.00,93,0.00
41667,4.69,0.00,14.70,8,0.26,909,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.80,3.99,1.26,9.88,9.50,93,0.00
41754,4.69,0.00,14.81,8,0.26,908,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.80,3.99,1.26,9.88,9.00,93,0.00
41841,4.69,0.00,14.81,8,0.27,908,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.80,4.02,1.26,9.88,10.50,93,0.00
41928,4.69,0.00,14.81,8,0.27,910,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.80,4.02,1.26,9.88,10.50,93,0.00
42014,4.69,0.00,14.81,8,0.27,892,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.80,3.99,1.28,9.88,9.50,93,0.00
42101,4.69,0.00,14.81,8,0.27,893,0.00,0.00,14.70,16,4.64,-10.07,0.00,-1.70,0.64,0.00,0.00,14.80,4.02,1.28,9.88,10.50,93,0.00
42188,4.69,0.00,14.81,8,0.27,904,0.00,0.00,14.70,16,4.64,-10.09,0.00,-1.70,0.64,0.00,0.00,14.80,4.02,1.28,9.88,10.00,93,0.00
42275,4.69,0.00,14.81,8,0.26,899,0.00,0.00,14.70,16,4.64,-10.09,0.00,-1.70,0.64,0.00,0.00,14.80,4.02,1.28,9.88,9.50,93,0.00
42362,4.69,0.00,14.81,8,0.27,896,0.00,0.00,14.70,16,4.64,-10.09,0.00,-1.70,0.64,0.00,0.00,14.80,4.02,1.28,9.88,10.50,93,0.00
42449,4.69,0.00,14.70,8,0.27,902,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.80,4.02,1.28,9.88,10.50,93,0.00
42535,4.69,0.00,14.59,8,0.26,896,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.80,3.96,1.28,9.88,9.00,93,0.00
42622,3.91,0.00,14.59,8,0.26,904,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.80,3.96,1.28,9.88,9.50,93,0.00
42709,3.91,0.00,14.47,8,0.26,914,0.00,0.00,14.70,16,4.64,-10.13,0.00,-1.70,0.64,0.00,0.00,14.70,3.99,1.28,9.88,10.00,93,0.00
42796,4.69,0.00,14.59,8,0.26,899,0.00,0.00,14.70,16,4.50,-10.13,0.00,-1.70,0.64,0.00,0.00,14.70,3.96,1.28,9.88,9.50,93,0.00
42882,3.91,0.00,14.59,8,0.26,901,0.00,0.00,14.70,16,4.50,-10.13,0.00,-1.70,0.64,0.00,0.00,14.70,3.99,1.28,9.88,10.00,93,0.00
42969,4.69,0.00,14.47,8,0.26,910,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.70,3.99,1.28,9.88,11.00,93,0.00
43056,4.69,0.00,14.59,8,0.27,889,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.60,3.96,1.28,9.88,10.50,93,0.00
43142,3.91,0.00,14.47,8,0.27,886,0.00,0.00,14.70,16,4.64,-10.09,0.00,-1.70,0.64,0.00,0.00,14.60,4.02,1.28,9.88,11.50,93,0.00
43229,3.91,0.00,14.24,8,0.27,898,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.60,4.02,1.28,9.88,9.50,93,0.00
43315,3.91,0.00,14.59,8,0.26,902,0.00,0.00,14.70,16,4.64,-10.07,0.00,-1.70,0.64,0.00,0.00,14.60,4.02,1.28,9.88,8.00,93,0.00
43403,3.91,0.00,14.47,8,0.26,894,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.60,3.96,1.26,9.88,10.50,93,0.00
43489,3.91,0.00,14.36,8,0.26,899,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.60,3.96,1.26,9.88,10.00,93,0.00
43576,3.91,0.00,14.47,8,0.27,886,0.00,0.00,14.70,16,4.64,-10.07,0.00,-1.70,0.64,0.00,0.00,14.60,3.99,1.26,9.88,9.50,93,0.00
43663,3.91,0.00,14.47,8,0.27,897,0.00,0.00,14.70,16,4.64,-10.09,0.00,-1.70,0.64,0.00,0.00,14.60,3.96,1.26,9.88,10.00,93,0.00
43750,3.91,0.00,14.47,8,0.26,903,0.00,0.00,14.70,16,4.64,-10.09,0.00,-1.70,0.64,0.00,0.00,14.60,3.96,1.26,9.88,9.50,93,0.00
43837,3.91,0.00,14.59,8,0.27,895,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.60,3.99,1.26,9.88,9.50,93,0.00
43924,3.91,0.00,14.59,8,0.27,887,0.00,0.00,14.70,16,4.64,-10.09,0.00,-1.70,0.64,0.00,0.00,14.60,3.96,1.26,9.88,11.00,93,0.00
44010,3.91,0.00,14.70,8,0.27,898,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.60,4.02,1.26,9.88,10.50,93,0.00
44097,3.12,0.00,14.47,8,0.27,900,0.00,0.00,14.70,16,4.64,-10.07,0.00,-1.70,0.64,0.00,0.00,14.60,3.99,1.26,9.88,9.50,93,0.00
44183,3.91,0.00,14.70,8,0.27,897,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.60,3.99,1.26,9.88,10.00,93,0.00
44271,3.91,0.00,14.81,8,0.27,892,0.00,0.00,14.70,16,4.64,-10.09,0.00,-1.70,0.64,0.00,0.00,14.60,4.02,1.28,9.88,10.50,93,0.00
44357,3.91,0.00,14.59,8,0.27,897,0.00,0.00,14.70,16,4.64,-10.07,0.00,-1.70,0.64,0.00,0.00,14.60,4.02,1.28,9.88,10.00,93,0.00
44443,3.91,0.00,14.70,8,0.26,899,0.00,0.00,14.70,16,4.64,-10.07,0.00,-1.70,0.64,0.00,0.00,14.70,3.96,1.28,9.88,9.50,93,0.00
44531,3.91,0.00,14.70,8,0.26,901,0.00,0.00,14.70,16,4.64,-10.09,0.00,-1.70,0.64,0.00,0.00,14.70,3.93,1.28,9.88,9.50,93,0.00
44617,3.12,0.00,14.47,8,0.27,902,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.70,3.99,1.28,9.88,8.50,93,0.00
44704,3.91,0.00,14.70,8,0.26,906,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.70,4.02,1.28,9.88,8.50,93,0.00
44790,3.91,0.00,14.70,8,0.26,905,0.00,0.00,14.70,16,4.64,-10.09,0.00,-1.70,0.64,0.00,0.00,14.70,3.93,1.28,9.88,9.00,93,0.00
44878,3.91,0.00,14.59,8,0.26,904,0.00,0.00,14.70,16,4.64,-10.11,0.00,-1.70,0.64,0.00,0.00,14.70,3.96,1.28,9.88,9.50,93,0.00
