Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
12179,-1.56,0.00,14.70,8,0.25,813,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
12254,-1.56,0.00,14.70,8,0.26,802,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.24,0.00,0.66,14.80
12321,-1.56,0.00,14.70,8,0.26,809,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
12390,-1.56,0.00,14.81,8,0.26,810,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.28,0.00,0.66,14.80
12459,-1.56,0.00,14.81,8,0.25,810,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
12524,-0.78,0.00,14.81,8,0.26,813,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.38,3.42,1.24,0.00,0.66,14.80
12588,-0.78,0.00,14.81,8,0.26,803,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.36,3.40,1.26,0.00,0.66,14.80
12665,-0.78,0.00,14.81,8,0.26,806,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
12732,-0.78,0.00,14.81,8,0.25,803,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.36,3.45,1.24,0.00,0.66,14.90
12797,-0.78,0.00,14.81,8,0.26,810,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.42,1.26,0.00,0.66,14.90
12870,-0.78,0.00,14.70,8,0.26,804,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.36,3.45,1.26,0.00,0.66,14.90
12933,-0.78,0.00,14.81,8,0.26,810,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.90
13005,-1.56,0.00,14.70,8,0.25,815,0.00,0.00,14.70,16,9.88,8.50,5.37,-9.36,3.45,1.24,0.00,0.66,14.90
13068,-1.56,0.00,14.70,8,0.25,814,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.38,3.40,1.24,0.00,0.66,14.90
13139,-1.56,0.00,14.70,8,0.25,810,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.42,1.26,0.00,0.66,14.80
13209,-1.56,0.00,14.70,8,0.26,809,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.28,0.00,0.66,14.80
13280,-1.56,0.00,14.70,8,0.26,801,0.00,0.00,14.70,16,9.88,10.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
13348,-0.78,0.00,14.70,8,0.25,809,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.24,0.00,0.66,14.80
13409,-1.56,0.00,14.70,8,0.25,817,0.00,0.00,14.70,16,9.88,8.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
13485,-1.56,0.00,14.59,8,0.25,821,0.00,0.00,14.70,16,9.88,8.00,5.37,-9.42,3.45,1.26,0.00,0.66,14.80
13553,-0.78,0.00,14.81,8,0.25,820,0.00,0.00,14.70,16,9.88,8.00,5.22,-9.40,3.45,1.26,0.00,0.66,14.70
13622,-1.56,0.00,14.59,8,0.25,822,0.00,0.00,14.70,16,9.88,8.00,5.37,-9.38,3.45,1.24,0.00,0.66,14.80
13690,-1.56,-0.78,14.70,8,0.25,823,0.00,0.00,14.70,16,9.88,9.50,5.22,-9.44,3.45,1.24,0.00,0.66,14.80
13759,-1.56,-0.78,14.59,8,0.25,812,0.00,0.00,14.70,16,9.88,9.50,5.22,-9.40,3.45,1.26,0.00,0.66,14.80
13826,-1.56,-0.78,14.59,8,0.25,815,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.44,3.45,1.28,0.00,0.66,14.70
13902,-1.56,-0.78,14.47,8,0.25,808,0.00,0.00,14.70,16,9.88,9.50,5.22,-9.38,3.45,1.26,0.00,0.66,14.70
13957,-1.56,-0.78,14.59,8,0.25,815,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.44,3.42,1.24,0.00,0.66,14.80
14032,-1.56,-0.78,14.59,8,0.26,816,0.00,0.00,14.70,16,9.88,10.50,5.22,-9.38,3.40,1.26,0.00,0.66,14.70
14096,-1.56,-0.78,14.70,8,0.26,805,0.00,0.00,14.70,16,9.88,9.50,5.22,-9.40,3.45,1.26,0.00,0.66,14.70
14164,-1.56,-0.78,14.59,8,0.26,810,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.70
14238,-1.56,-0.78,14.70,8,0.25,812,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.40,3.45,1.24,0.00,0.66,14.70
14306,-0.78,-0.78,14.70,8,0.26,810,0.00,0.00,14.70,16,9.88,10.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.70
14377,-0.78,-0.78,14.70,8,0.26,805,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.38,3.45,1.28,0.00,0.66,14.70
14443,-0.78,-0.78,14.70,8,0.26,793,0.00,0.00,14.70,16,9.88,11.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.70
14505,-1.56,-0.78,14.70,8,0.26,797,0.00,0.00,14.70,16,9.88,10.50,5.37,-9.36,3.45,1.24,0.00,0.66,14.70
14579,-0.78,-0.78,14.70,8,0.25,804,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.70
14649,-1.56,-0.78,14.59,8,0.25,812,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.36,3.45,1.28,0.00,0.66,14.80
14710,-1.56,-0.78,14.59,8,0.25,820,0.00,0.00,14.70,16,9.88,8.00,5.37,-9.38,3.42,1.26,0.00,0.66,14.80
14780,-1.56,-0.78,14.47,8,0.25,815,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.36,3.45,1.24,0.00,0.66,14.80
14855,-1.56,-0.78,14.59,8,0.25,817,0.00,0.00,14.70,16,9.88,8.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
14924,-2.34,-0.78,14.36,8,0.25,807,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.28,0.00,0.66,14.70
14987,-1.56,-0.78,14.47,8,0.25,818,0.00,0.00,14.70,16,9.88,8.50,5.37,-9.40,3.45,1.26,0.00,0.66,14.70
15059,-2.34,-0.78,14.47,8,0.26,806,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.24,0.00,0.66,14.70
15129,-1.56,-0.78,14.47,8,0.26,810,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.70
15197,-1.56,-0.78,14.59,8,0.25,812,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.70
15260,-1.56,-0.78,14.47,8,0.25,812,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.38,3.45,1.28,0.00,0.66,14.60
15332,-1.56,-0.78,14.70,8,0.25,817,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.60
15399,-1.56,-0.78,14.70,8,0.26,809,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.36,3.45,1.24,0.00,0.66,14.60
15470,-0.78,-0.78,14.81,8,0.26,807,0.00,0.00,14.70,16,9.88,10.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.70
15539,-0.78,-0.78,14.81,8,0.26,797,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.36,3.40,1.28,0.00,0.66,14.70
15600,-0.78,-0.78,14.81,8,0.25,805,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.42,1.26,0.00,0.66,14.70
15675,-0.78,-0.78,14.81,8,0.25,808,0.00,0.00,14.70,16,9.88,8.50,5.37,-9.38,3.45,1.24,0.00,0.66,14.70
15744,-0.78,-0.78,14.81,8,0.25,818,0.00,0.00,14.70,16,9.88,8.50,5.37,-9.40,3.45,1.28,0.00,0.66,14.80
15808,-0.78,-0.78,14.81,8,0.26,819,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
15881,-0.78,-0.78,14.81,8,0.25,811,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.40,3.45,1.26,0.00,0.66,14.90
15949,-0.78,-0.78,14.81,8,0.26,806,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.90
16017,-0.78,-0.78,14.81,8,0.26,810,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.40,3.45,1.26,0.00,0.66,14.90
16081,-0.78,-0.78,14.81,8,0.25,808,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.28,0.00,0.66,14.90
16156,-0.78,-0.78,14.81,8,0.25,812,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.90
16217,-0.78,-0.78,14.81,8,0.25,810,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.24,0.00,0.66,14.80
16285,-0.78,-0.78,14.81,8,0.25,816,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.40,3.45,1.26,0.00,0.66,14.80
16364,-0.78,-0.78,14.81,8,0.25,822,0.00,0.00,14.70,16,9.88,8.00,5.37,-9.42,3.40,1.26,0.00,0.66,14.80
16420,-0.78,-0.78,14.81,8,0.25,810,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.40,3.42,1.26,0.00,0.66,14.90
16492,-0.78,-0.78,14.81,8,0.26,810,0.00,0.00,14.70,16,9.88,9.50,5.22,-9.40,3.45,1.24,0.00,0.66,14.90
16565,-0.78,-0.78,14.81,8,0.26,803,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.42,1.26,0.00,0.66,14.80
16633,-0.78,-0.78,14.70,8,0.25,809,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.90
16697,-0.78,-0.78,14.70,8,0.25,806,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.42,1.26,0.00,0.66,14.90
16765,-0.78,-0.78,14.70,8,0.25,812,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.90
16840,-0.78,-0.78,14.59,8,0.25,802,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.40,1.24,0.00,0.66,14.80
16907,-0.78,-0.78,14.59,8,0.25,808,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.40,3.42,1.26,0.00,0.66,14.80
16976,-1.56,-0.78,14.70,8,0.25,813,0.00,0.00,14.70,16,9.88,8.00,5.37,-9.40,3.45,1.26,0.00,0.66,14.80
17044,-0.78,-0.78,14.70,8,0.25,823,0.00,0.00,14.70,16,9.88,7.50,5.37,-9.44,3.42,1.26,0.00,0.66,14.80
17105,-0.78,-0.78,14.59,8,0.25,829,0.00,0.00,14.70,16,9.88,8.50,5.22,-9.44,3.45,1.24,0.00,0.66,14.80
17180,-0.78,-0.78,14.70,8,0.25,820,0.00,0.00,14.70,16,9.88,9.00,5.22,-9.44,3.40,1.26,0.00,0.66,14.80
17243,-0.78,-0.78,14.70,8,0.26,818,0.00,0.00,14.70,16,9.88,10.50,5.22,-9.42,3.40,1.28,0.00,0.66,14.70
17318,-0.78,-0.78,14.81,8,0.26,804,0.00,0.00,14.70,16,9.88,10.50,5.22,-9.40,3.45,1.26,0.00,0.66,14.70
17384,-0.78,-0.78,14.81,8,0.26,805,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.44,3.45,1.24,0.00,0.66,14.80
17452,-0.78,-0.78,14.70,8,0.25,804,0.00,0.00,14.70,16,9.88,10.50,5.22,-9.38,3.42,1.26,0.00,0.66,14.80
17523,-0.78,-0.78,14.81,8,0.25,814,0.00,0.00,14.70,16,9.88,9.50,5.22,-9.42,3.40,1.28,0.00,0.66,14.80
17584,-0.78,-0.78,14.70,8,0.25,817,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.40,3.45,1.26,0.00,0.66,14.80
17659,-0.78,-0.78,14.70,8,0.25,819,0.00,0.00,14.70,16,9.88,8.50,5.22,-9.44,3.45,1.24,0.00,0.66,14.80
17724,-0.78,-0.78,14.59,8,0.25,808,0.00,0.00,14.70,16,9.88,10.00,5.22,-9.40,3.45,1.26,0.00,0.66,14.80
17797,-0.78,-0.78,14.70,8,0.26,810,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.42,3.45,1.28,0.00,0.66,14.80
17865,-1.56,-0.78,14.47,8,0.26,806,0.00,0.00,14.70,16,9.88,10.00,5.22,-9.42,3.45,1.26,0.00,0.66,14.80
17933,-1.56,-0.78,14.59,8,0.25,814,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.42,3.42,1.26,0.00,0.66,14.80
17999,-1.56,-0.78,14.59,8,0.25,817,0.00,0.00,14.70,16,9.88,9.00,5.22,-9.40,3.45,1.24,0.00,0.66,14.80
18070,-1.56,-0.78,14.47,8,0.25,818,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.44,3.45,1.26,0.00,0.66,14.70
18139,-1.56,-0.78,14.59,8,0.26,812,0.00,0.00,14.70,16,9.88,10.50,5.22,-9.40,3.45,1.28,0.00,0.66,14.70
18207,-1.56,-0.78,14.47,8,0.26,805,0.00,0.00,14.70,16,9.88,11.00,5.37,-9.40,3.45,1.26,0.00,0.66,14.70
18275,-0.78,-0.78,14.70,8,0.26,801,0.00,0.00,14.70,16,9.88,11.50,5.37,-9.38,3.45,1.24,0.00,0.66,14.60
18339,-1.56,-0.78,14.59,8,0.26,792,0.00,0.00,14.70,16,9.88,10.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.60
18409,-0.78,-0.78,14.59,8,0.26,801,0.00,0.00,14.70,16,9.88,10.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.60
18474,-0.78,-0.78,14.59,8,0.26,800,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.36,3.45,1.26,0.00,0.66,14.60
18550,-0.78,-0.78,14.70,8,0.25,812,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.40,1.24,0.00,0.66,14.70
18617,-1.56,-0.78,14.59,8,0.26,811,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.38,3.40,1.26,0.00,0.66,14.70
18686,-0.78,-0.78,14.59,8,0.26,804,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.42,1.28,0.00,0.66,14.70
18757,-1.56,-0.78,14.47,8,0.25,810,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.70
18823,-1.56,-0.78,14.59,8,0.25,810,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.38,3.42,1.26,0.00,0.66,14.70
18891,-1.56,-0.78,14.59,8,0.25,812,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.40,3.40,1.26,0.00,0.66,14.70
18958,-0.78,-0.78,14.70,8,0.25,814,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.40,3.45,1.26,0.00,0.66,14.70
19021,-0.78,-0.78,14.70,8,0.26,796,0.00,0.00,14.70,16,9.88,10.50,5.37,-9.42,3.45,1.24,0.00,0.66,14.60
19094,-0.78,-0.78,14.70,8,0.26,803,0.00,0.00,14.70,16,9.88,10.00,5.22,-9.38,3.45,1.26,0.00,0.66,14.60
19166,-0.78,-0.78,14.70,8,0.26,806,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.70
19232,-0.78,-0.78,14.70,8,0.25,806,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.40,1.26,0.00,0.66,14.70
19297,-0.78,-0.78,14.81,8,0.25,813,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.40,3.40,1.24,0.00,0.66,14.70
19364,-0.78,-0.78,14.81,8,0.25,806,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.40,3.42,1.24,0.00,0.66,14.80
19438,-0.78,-0.78,14.81,8,0.25,815,0.00,0.00,14.70,16,9.88,8.50,5.37,-9.42,3.42,1.26,0.00,0.66,14.80
19508,-0.78,-0.78,14.81,8,0.25,810,0.00,0.00,14.70,16,9.88,9.50,5.22,-9.40,3.45,1.28,0.00,0.66,14.80
19576,-0.78,-0.78,14.81,8,0.25,816,0.00,0.00,14.70,16,9.88,8.50,5.37,-9.40,3.45,1.26,0.00,0.66,14.80
19641,-0.78,-0.78,14.70,8,0.25,810,0.00,0.00,14.70,16,9.88,8.50,5.22,-9.40,3.45,1.24,0.00,0.66,14.90
19709,-0.78,-0.78,14.70,8,0.25,817,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.44,3.45,1.26,0.00,0.66,14.90
19778,-0.78,-0.78,14.81,8,0.25,816,0.00,0.00,14.70,16,9.88,8.50,5.22,-9.42,3.45,1.26,0.00,0.66,14.90
19849,-0.78,-0.78,14.70,8,0.25,818,0.00,0.00,14.70,16,9.88,8.00,5.22,-9.44,3.45,1.26,0.00,0.66,14.90
19918,-0.78,-0.78,14.81,8,0.25,822,0.00,0.00,14.70,16,9.88,9.00,5.22,-9.44,3.45,1.24,0.00,0.66,14.90
19986,-0.78,-0.78,14.70,8,0.26,817,0.00,0.00,14.70,16,9.88,9.50,5.22,-9.42,3.42,1.24,0.00,0.66,14.80
20049,-0.78,-0.78,14.81,8,0.25,810,0.00,0.00,14.70,16,9.88,9.50,5.22,-9.44,3.45,1.26,0.00,0.66,14.80
20121,-0.78,-0.78,14.70,8,0.25,813,0.00,0.00,14.70,16,9.88,9.00,5.22,-9.42,3.45,1.26,0.00,0.66,14.80
20192,-0.78,-0.78,14.70,8,0.25,816,0.00,0.00,14.70,16,9.88,10.00,5.22,-9.44,3.45,1.26,0.00,0.66,14.80
20260,-0.78,-0.78,14.70,8,0.26,807,0.00,0.00,14.70,16,9.88,9.50,5.22,-9.40,3.42,1.24,0.00,0.66,14.90
20328,-0.78,-0.78,14.70,8,0.26,810,0.00,0.00,14.70,16,9.88,9.50,5.22,-9.44,3.45,1.26,0.00,0.66,14.80
20395,-0.78,-0.78,14.59,8,0.26,810,0.00,0.00,14.70,16,9.88,10.50,5.22,-9.38,3.45,1.26,0.00,0.66,14.80
20465,-0.78,-0.78,14.59,8,0.25,798,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.40,3.45,1.24,0.00,0.66,14.80
20535,-1.56,-0.78,14.47,8,0.25,800,0.00,0.00,14.70,16,9.88,10.50,5.37,-9.38,3.42,1.26,0.00,0.66,14.80
20603,-0.78,-0.78,14.59,8,0.25,808,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.40,1.26,0.00,0.66,14.80
20671,-1.56,-0.78,14.36,8,0.25,802,0.00,0.00,14.70,16,9.88,10.50,5.37,-9.38,3.40,1.26,0.00,0.66,14.80
20739,-1.56,-0.78,14.36,8,0.25,811,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.40,1.24,0.00,0.66,14.70
20807,-1.56,-0.78,14.36,8,0.25,813,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.38,3.40,1.24,0.00,0.66,14.70
20876,-1.56,-0.78,14.36,8,0.25,816,0.00,0.00,14.70,16,9.88,8.50,5.37,-9.38,3.42,1.26,0.00,0.66,14.60
20941,-1.56,-0.78,14.47,8,0.26,813,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.42,3.45,1.28,0.00,0.66,14.60
21009,-1.56,-0.78,14.36,8,0.26,808,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.42,1.26,0.00,0.66,14.60
21082,-0.78,-0.78,14.59,8,0.26,809,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.40,3.45,1.24,0.00,0.66,14.60
21150,-0.78,-0.78,14.59,8,0.26,803,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.36,3.45,1.26,0.00,0.66,14.60
21219,-0.78,-0.78,14.70,8,0.25,809,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.60
21287,-0.78,-0.78,14.81,8,0.26,809,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.40,1.26,0.00,0.66,14.60
21356,-0.78,-0.78,14.81,8,0.25,809,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.40,3.40,1.24,0.00,0.66,14.60
21424,-0.78,-0.78,14.81,8,0.26,809,0.00,0.00,14.70,16,9.88,10.50,5.37,-9.38,3.40,1.26,0.00,0.66,14.70
21493,-0.78,-0.78,14.70,8,0.26,800,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.70
21560,-0.78,-0.78,14.81,8,0.25,810,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.70
21622,-0.78,-0.78,14.70,8,0.25,814,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.38,3.45,1.24,0.00,0.66,14.80
21697,-0.78,-0.78,14.70,8,0.25,814,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.38,3.45,1.24,0.00,0.66,14.80
21766,-0.78,-0.78,14.70,8,0.25,812,0.00,0.00,14.70,16,9.88,8.50,5.37,-9.40,3.40,1.26,0.00,0.66,14.80
21835,-0.78,-0.78,14.59,8,0.26,818,0.00,0.00,14.70,16,9.88,10.50,5.37,-9.42,3.45,1.26,0.00,0.66,14.80
21903,-1.56,-0.78,14.70,8,0.26,802,0.00,0.00,14.70,16,9.88,10.00,5.22,-9.38,3.42,1.24,0.00,0.66,14.80
21965,-0.78,-0.78,14.70,8,0.26,802,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.40,3.45,1.26,0.00,0.66,14.80
22041,-0.78,-0.78,14.59,8,0.26,809,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
22108,-0.78,-0.78,14.70,8,0.25,812,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.40,3.42,1.26,0.00,0.66,14.80
22177,-0.78,-0.78,14.70,8,0.26,799,0.00,0.00,14.70,16,9.88,10.50,5.37,-9.38,3.45,1.24,0.00,0.66,14.70
22242,-0.78,-0.78,14.81,8,0.26,800,0.00,0.00,14.70,16,9.88,10.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.70
22310,-0.78,-0.78,14.81,8,0.26,802,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.70
22381,-0.78,-0.78,14.81,8,0.26,807,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.38,3.45,1.26,0.00,0.66,14.70
22445,-0.78,-0.78,14.70,8,0.26,796,0.00,0.00,14.70,16,9.88,10.50,5.37,-9.38,3.45,1.24,0.00,0.66,14.90
22519,-0.78,-0.78,14.70,8,0.26,803,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
22581,-0.78,-0.78,14.70,8,0.26,812,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
22657,-0.78,-0.78,14.59,8,0.25,816,0.00,0.00,14.70,16,9.88,8.50,5.37,-9.36,3.45,1.26,0.00,0.66,14.80
22716,-0.78,-0.78,14.70,8,0.25,819,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.40,3.45,1.24,0.00,0.66,14.80
22788,-1.56,-0.78,14.70,8,0.25,814,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
22862,-0.78,-0.78,14.59,8,0.25,813,0.00,0.00,14.70,16,9.88,9.50,5.37,-9.42,3.45,1.26,0.00,0.66,14.80
22930,-1.56,-0.78,14.59,8,0.25,811,0.00,0.00,14.70,16,9.88,9.00,5.22,-9.38,3.47,1.28,0.00,0.66,14.80
22994,-0.78,-0.78,14.70,8,0.25,814,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.42,3.45,1.26,0.00,0.66,14.80
23066,-0.78,-0.78,14.70,8,0.26,806,0.00,0.00,14.70,16,9.88,9.50,5.22,-9.40,3.45,1.24,0.00,0.66,14.80
23135,-0.78,-0.78,14.81,8,0.26,810,0.00,0.00,14.70,16,9.88,9.00,5.37,-9.42,3.45,1.26,0.00,0.66,14.80
23204,-0.78,-0.78,14.81,8,0.26,813,0.00,0.00,14.70,16,9.88,10.50,5.22,-9.40,3.45,1.28,0.00,0.66,14.80
23268,-0.78,-0.78,14.81,8,0.26,800,0.00,0.00,14.70,16,9.88,10.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.80
23341,-0.78,-0.78,14.70,8,0.26,804,0.00,0.00,14.70,16,9.88,11.00,5.37,-9.38,3.45,1.26,0.00,0.66,14.90
23409,-0.78,-0.78,14.70,8,0.27,794,0.00,0.00,14.70,16,9.88,11.50,5.37,-9.34,3.45,1.28,0.00,0.66,14.90
23475,-0.78,-0.78,14.59,8,0.27,787,0.00,0.00,14.70,16,9.88,14.00,5.37,-9.34,3.49,1.26,0.00,0.66,14.80
23546,-1.56,-0.78,14.36,8,0.27,772,0.00,0.00,14.69,16,9.88,13.00,5.37,-9.26,3.49,1.26,0.00,0.66,14.80
23610,-0.78,-0.78,14.59,8,0.27,776,0.00,0.00,14.70,16,9.88,12.50,5.37,-9.26,3.49,1.28,0.00,0.66,14.80
23683,-1.56,-0.78,14.47,8,0.27,780,0.00,0.00,14.70,16,9.88,11.50,5.37,-9.22,3.49,1.26,0.00,0.66,14.80
23751,-1.56,-0.78,14.59,8,0.26,782,0.00,0.00,14.70,16,9.88,11.50,5.51,-9.22,3.45,1.24,0.00,0.66,14.70
23816,-1.56,-0.78,14.59,8,0.27,776,0.00,0.00,14.70,16,9.88,11.50,5.51,-9.20,3.45,1.26,0.00,0.66,14.70
23888,-0.78,-0.78,14.70,8,0.27,778,0.00,0.00,14.70,16,9.88,11.50,5.51,-9.22,3.49,1.28,0.00,0.66,14.70
23956,-1.56,-0.78,14.59,8,0.27,765,0.00,0.00,14.70,16,9.88,13.00,5.51,-9.17,3.49,1.26,0.00,0.66,14.60
24026,-0.78,-0.78,14.47,8,0.27,771,0.00,0.00,14.70,16,9.88,12.00,5.51,-9.17,3.49,1.26,0.00,0.66,14.60
24093,-0.78,-0.78,14.70,8,0.28,773,0.00,0.00,14.69,16,9.88,11.50,5.51,-9.17,3.52,1.28,0.00,0.66,14.60
24162,-0.78,-0.78,14.70,8,0.28,769,0.00,0.00,14.69,16,9.88,11.50,5.51,-9.11,3.56,1.26,0.00,0.66,14.70
24230,-0.78,-0.78,14.81,8,0.27,771,0.00,0.00,14.70,16,9.88,10.50,5.66,-9.11,3.56,1.26,0.00,0.66,14.70
24297,-0.78,-0.78,14.70,8,0.27,778,0.00,0.00,14.70,16,9.88,10.00,5.66,-9.07,3.56,1.28,0.00,0.66,14.70
24367,-0.78,-0.78,14.81,8,0.27,783,0.00,0.00,14.70,16,9.88,9.50,5.66,-9.09,3.56,1.26,0.00,0.66,14.70
24436,-0.78,-0.78,14.70,8,0.27,783,0.00,0.00,14.70,16,9.88,9.50,5.66,-9.09,3.56,1.26,0.00,0.66,14.70
