Time (msec),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
38452,0.21,1792,0.00,0.00,15.41,16,32.38,32.00,4.35,-10.44,0.00,-1.70,0.72,0.00,0.00,14.40
38517,0.22,1813,0.00,0.00,14.71,16,32.03,32.00,4.21,-10.52,0.00,-1.70,0.72,0.00,0.00,14.30
38584,0.22,1774,0.00,0.00,14.71,16,32.03,32.00,4.21,-10.56,0.00,-1.70,0.72,0.00,0.00,14.30
38650,0.21,1772,0.00,0.00,14.71,16,32.38,32.00,4.21,-10.58,0.00,-1.70,0.72,0.00,0.00,14.30
38717,0.21,1816,0.00,0.00,14.71,16,32.38,32.00,4.06,-10.60,0.00,-1.70,0.72,0.00,0.00,14.40
38783,0.21,1826,0.00,0.00,14.71,16,32.38,32.00,4.06,-10.60,0.00,-1.70,0.72,0.00,0.00,14.50
38850,0.21,1802,0.00,0.00,14.71,16,32.03,32.00,4.06,-10.60,0.00,-1.70,0.72,0.00,0.00,14.50
38915,0.22,1792,0.00,0.00,14.71,16,32.38,32.00,4.06,-10.62,0.00,-1.70,0.72,0.00,0.00,14.70
38982,0.21,1809,0.00,0.00,14.71,16,32.38,32.00,4.06,-10.65,0.00,-1.70,0.72,0.00,0.00,15.20
39048,0.21,1810,0.00,0.00,14.71,16,32.38,32.00,4.06,-10.62,0.00,-1.70,0.72,0.00,0.00,15.20
39114,0.21,1784,0.00,0.00,14.71,16,32.03,32.00,4.06,-10.62,0.00,-1.70,0.72,0.00,0.00,15.20
39181,0.21,1794,0.00,0.00,14.71,16,32.38,32.00,4.06,-10.64,0.00,-1.70,0.72,0.00,0.00,15.20
39246,0.21,1816,0.00,0.00,14.71,16,32.38,32.00,4.06,-10.62,0.00,-1.70,0.72,0.00,0.00,15.20
39313,0.22,1804,0.00,0.00,14.71,16,32.38,32.00,4.06,-10.62,0.00,-1.70,0.72,0.00,0.00,15.10
39379,0.22,1806,0.00,0.00,14.71,16,32.38,32.00,4.06,-10.62,0.00,-1.70,0.72,0.00,0.00,15.00
39445,0.22,1802,0.00,0.00,14.71,16,32.38,32.00,4.06,-10.60,0.00,-1.70,0.72,0.00,0.00,15.00
39511,0.22,1814,0.00,0.00,14.71,16,32.03,32.00,4.06,-10.60,0.00,-1.70,0.72,0.00,0.00,14.70
39577,0.21,1797,0.00,0.00,14.71,16,32.38,32.00,4.06,-10.58,0.00,-1.70,0.72,0.00,0.00,14.60
39643,0.22,1823,0.00,0.00,14.71,16,32.38,32.00,4.06,-10.56,0.00,-1.70,0.72,0.00,0.00,14.60
39710,0.22,1823,0.00,0.00,14.71,16,32.38,32.00,4.06,-10.58,0.00,-1.70,0.72,0.00,0.00,14.50
39776,0.23,1808,0.00,0.00,14.70,16,32.03,32.00,4.21,-10.56,0.00,-1.70,0.72,0.00,0.00,14.40
39842,0.21,1802,0.00,0.00,15.25,16,32.38,32.00,4.21,-10.58,0.00,-1.70,0.72,0.00,0.00,14.40
39909,0.22,1820,0.00,0.00,14.70,16,32.38,32.00,4.21,-10.58,0.00,-1.70,0.72,0.00,0.00,14.40
39974,0.22,1817,0.00,0.00,14.70,16,32.38,32.00,4.21,-10.58,0.00,-1.70,0.72,0.00,0.00,14.30
40040,0.20,1808,0.00,0.00,15.19,16,29.92,32.00,4.21,-10.65,0.00,-1.70,0.68,0.00,0.00,14.30
40107,0.18,1814,0.00,0.00,14.70,16,24.65,29.50,3.92,-10.94,0.00,-1.70,0.64,0.00,0.00,14.30
40173,0.15,1796,0.00,0.00,14.70,16,20.08,24.50,3.63,-11.12,0.00,-1.70,0.64,0.00,0.00,14.50
40239,0.15,1791,0.00,0.00,14.70,16,15.16,20.00,3.48,-11.25,0.00,-1.70,0.64,0.00,0.00,14.50
40306,0.15,1814,0.00,0.00,14.70,16,11.99,15.00,3.34,-11.37,0.00,-1.70,0.64,0.00,0.00,14.40
40372,0.15,1808,0.00,0.00,14.70,16,11.99,11.50,3.34,-11.35,0.00,-1.70,0.64,0.00,0.00,14.50
40438,0.15,1808,0.00,0.00,14.70,16,11.99,11.50,3.48,-11.31,0.00,-1.70,0.64,0.00,0.00,14.50
40503,0.15,1802,0.00,0.00,14.70,16,11.99,11.50,3.48,-11.27,0.00,-1.70,0.64,0.00,0.00,14.60
40570,0.15,1790,0.00,0.00,14.70,16,11.99,11.50,3.48,-11.23,0.00,-1.70,0.64,0.00,0.00,14.90
40636,0.15,1782,0.00,0.00,14.70,16,11.99,11.50,3.48,-11.20,0.00,-1.70,0.64,0.00,0.00,14.90
40703,0.15,1769,0.00,0.00,14.70,16,11.99,11.50,3.48,-11.22,0.00,-1.70,0.64,0.00,0.00,16.30
40769,0.15,1784,0.00,0.00,14.70,16,11.99,11.50,3.48,-11.18,0.00,-1.70,0.64,0.00,0.00,17.80
40835,0.15,1763,0.00,0.00,14.70,16,11.99,11.50,3.48,-11.18,0.00,-1.70,0.64,0.00,0.00,17.80
40901,0.15,1775,0.00,0.00,14.70,16,11.99,11.50,3.48,-11.18,0.00,-1.70,0.64,0.00,0.00,19.50
40968,0.15,1760,0.00,0.00,14.70,16,11.99,11.50,3.48,-11.20,0.00,-1.70,0.64,0.00,0.00,22.30
41033,0.15,1752,0.00,0.00,14.70,16,11.99,11.50,3.48,-11.18,0.00,-1.70,0.64,0.00,0.00,22.30
41099,0.15,1761,0.00,0.00,14.70,16,11.99,11.50,3.48,-11.18,0.00,-1.70,0.64,0.00,0.00,26.20
41166,0.16,1761,0.00,0.00,14.70,16,11.99,11.50,3.48,-11.20,0.00,-1.70,0.64,0.00,0.00,32.30
41232,0.16,1745,0.00,0.00,14.70,16,11.99,11.50,3.48,-11.20,0.00,-1.70,0.64,0.00,0.00,32.30
41299,0.16,1749,0.00,0.00,14.70,16,11.99,11.50,3.48,-11.18,0.00,-1.70,0.64,0.00,0.00,42.00
41364,0.16,1745,0.00,0.00,14.70,16,11.99,11.50,3.48,-11.18,0.00,-1.70,0.64,0.00,0.00,59.40
41431,0.16,1717,0.00,0.00,14.70,16,11.99,11.50,3.48,-11.18,0.00,-1.70,0.64,0.00,0.00,59.40
41497,0.16,1714,0.00,0.00,14.70,16,11.99,11.50,3.48,-11.20,0.00,-1.70,0.64,0.00,0.00,70.70
41563,0.16,1716,0.00,0.00,14.70,16,11.99,11.50,3.48,-11.20,0.00,-1.70,0.64,0.00,0.00,80.90
41629,0.16,1702,0.00,0.00,14.70,16,11.99,11.50,3.48,-11.18,0.00,-1.70,0.64,0.00,0.00,80.90
41696,0.16,1715,0.00,0.00,14.70,16,11.99,11.50,3.48,-11.18,0.00,-1.70,0.64,0.00,0.00,91.40
41762,0.16,1713,0.00,0.00,14.70,16,11.99,11.50,3.48,-11.18,0.00,-1.70,0.64,0.00,0.00,96.00
41828,0.16,1714,0.00,0.00,14.70,16,11.99,11.50,3.48,-11.16,0.00,-1.70,0.64,0.00,0.00,96.00
41894,0.16,1711,0.00,0.00,14.70,16,11.99,11.50,3.48,-11.18,0.00,-1.70,0.64,0.00,0.00,96.00
41960,0.16,1690,0.00,0.00,14.70,16,11.99,11.50,3.48,-11.18,0.00,-1.70,0.64,0.00,0.00,96.00
42027,0.16,1684,0.00,0.00,14.70,16,11.99,11.50,3.48,-11.16,0.00,-1.70,0.64,0.00,0.00,96.00
42093,0.16,1661,0.00,0.00,14.70,16,11.99,11.50,3.48,-11.16,0.00,-1.70,0.64,0.00,0.00,96.00
42158,0.16,1666,0.00,0.00,14.70,16,11.99,11.50,3.63,-11.10,0.00,-1.70,0.64,0.00,0.00,96.00
42225,0.16,1666,0.00,0.00,14.70,16,11.99,11.50,3.63,-11.10,0.00,-1.70,0.64,0.00,0.00,96.00
42291,0.16,1668,0.00,0.00,14.70,16,11.99,11.50,3.63,-11.10,0.00,-1.70,0.64,0.00,0.00,96.00
42357,0.16,1651,0.00,0.00,14.70,16,11.99,11.50,3.63,-11.08,0.00,-1.70,0.64,0.00,0.00,96.00
42423,0.17,1638,0.00,0.00,14.70,16,11.99,11.50,3.63,-11.06,0.00,-1.70,0.64,0.00,0.00,99.90
42489,0.17,1646,0.00,0.00,14.70,16,11.99,11.50,3.63,-11.06,0.00,-1.70,0.64,0.00,0.00,99.90
42555,0.17,1640,0.00,0.00,14.70,16,11.99,11.50,3.63,-11.06,0.00,-1.70,0.64,0.00,0.00,99.90
42621,0.17,1640,0.00,0.00,14.70,16,11.99,11.50,3.63,-11.06,0.00,-1.70,0.64,0.00,0.00,99.90
42688,0.17,1618,0.00,0.00,14.70,16,11.99,11.50,3.63,-11.06,0.00,-1.70,0.64,0.00,0.00,99.90
42755,0.17,1614,0.00,0.00,14.70,16,11.99,11.50,3.63,-11.00,0.00,-1.70,0.64,0.00,0.00,99.90
42820,0.17,1623,0.00,0.00,14.70,16,11.99,11.50,3.63,-11.00,0.00,-1.70,0.64,0.00,0.00,99.90
42887,0.17,1610,0.00,0.00,14.70,16,11.99,11.50,3.77,-10.98,0.00,-1.70,0.64,0.00,0.00,99.90
42952,0.17,1600,0.00,0.00,14.70,16,11.99,11.50,3.77,-10.96,0.00,-1.70,0.64,0.00,0.00,99.90
43019,0.17,1594,0.00,0.00,14.70,16,11.99,11.50,3.77,-10.96,0.00,-1.70,0.66,0.00,0.00,99.90
43084,0.18,1594,0.00,0.00,14.70,16,11.99,11.50,3.77,-10.93,0.00,-1.70,0.66,0.00,0.00,99.90
43151,0.18,1580,0.00,0.00,14.70,16,11.99,11.50,3.77,-10.89,0.00,-1.70,0.66,0.00,0.00,99.90
43218,0.18,1575,0.00,0.00,14.70,16,11.99,11.50,3.92,-10.85,0.00,-1.70,0.66,0.00,0.00,99.90
43284,0.19,1578,0.00,0.00,14.70,16,11.99,11.50,3.92,-10.77,0.00,-1.70,0.66,0.00,0.00,99.90
43350,0.19,1565,0.00,0.00,14.70,16,11.99,11.50,3.92,-10.71,0.00,-1.70,0.66,0.00,0.00,99.90
43416,0.20,1558,0.00,0.00,14.70,16,11.99,11.50,4.06,-10.62,0.00,-1.70,0.68,0.00,0.00,99.90
43482,0.21,1558,0.00,0.00,14.70,16,11.99,11.50,4.21,-10.54,0.00,-1.70,0.68,0.00,0.00,99.90
43548,0.22,1551,0.00,0.00,14.70,16,11.99,11.50,4.35,-10.42,0.00,-1.70,0.68,0.00,0.00,99.90
43614,0.25,1534,0.00,0.00,13.77,16,13.40,12.50,4.50,-10.23,0.00,-1.70,0.72,0.00,0.00,99.90
43681,0.27,1549,0.00,0.00,13.82,16,15.51,14.00,4.64,-10.04,0.00,-1.70,0.74,0.00,0.00,99.90
43746,0.28,1574,0.00,0.00,14.69,16,17.27,16.50,4.93,-9.82,0.00,-1.70,0.76,0.00,0.00,99.90
43813,0.30,1572,0.00,0.00,14.69,16,19.73,18.00,5.08,-9.69,0.00,-1.70,0.76,0.00,0.00,99.90
43879,0.30,1518,0.00,0.00,14.69,16,21.48,20.00,5.08,-9.57,0.00,-1.70,0.76,0.00,0.00,99.90
43946,0.30,1532,0.00,0.00,14.69,16,24.30,23.00,5.37,-9.40,0.00,-1.70,0.76,0.00,0.00,99.90
44012,0.31,1558,0.00,0.00,14.69,16,26.76,25.00,5.37,-9.28,0.00,-1.70,0.76,0.00,0.00,96.00
44078,0.32,1512,0.00,0.00,14.68,16,27.81,27.00,5.51,-9.22,0.00,-1.70,0.76,0.00,0.00,69.10
44143,0.31,1538,0.00,0.00,14.69,16,29.57,29.50,5.66,-9.07,0.00,-1.70,0.78,0.00,0.00,69.10
44210,0.31,1556,0.00,0.00,14.69,16,29.22,29.50,5.66,-9.03,0.00,-1.70,0.78,0.00,0.00,29.20
44276,0.31,1512,0.00,0.00,14.69,16,29.22,29.00,5.66,-8.97,0.00,-1.70,0.78,0.00,0.00,19.90
44342,0.32,1545,0.00,0.00,14.69,16,29.57,29.50,5.80,-8.89,0.00,-1.70,0.78,0.00,0.00,19.90
44409,0.32,1538,0.00,0.00,14.69,16,29.22,29.50,5.80,-8.88,0.00,-1.70,0.76,0.00,0.00,17.10
44474,0.32,1528,0.00,0.00,14.69,16,29.57,29.00,5.80,-8.86,0.00,-1.70,0.78,0.00,0.00,16.10
44540,0.32,1551,0.00,0.00,14.69,16,29.57,29.50,5.95,-8.82,0.00,-1.70,0.78,0.00,0.00,16.10
44607,0.32,1527,0.00,0.00,14.69,16,29.57,29.00,5.95,-8.82,0.00,-1.70,0.78,0.00,0.00,15.50
44672,0.32,1538,0.00,0.00,14.69,16,29.57,29.50,5.95,-8.80,0.00,-1.70,0.78,0.00,0.00,15.40
44739,0.32,1547,0.00,0.00,14.69,16,29.57,29.50,5.95,-8.80,0.00,-1.70,0.78,0.00,0.00,15.40
44806,0.31,1531,0.00,0.00,14.69,16,29.57,29.00,5.95,-8.80,0.00,-1.70,0.78,0.00,0.00,15.40
44871,0.31,1550,0.00,0.00,14.69,16,29.57,29.50,5.95,-8.78,0.00,-1.70,0.78,0.00,0.00,15.30
44937,0.32,1547,0.00,0.00,14.69,16,29.57,29.50,5.95,-8.80,0.00,-1.70,0.78,0.00,0.00,15.30
45003,0.32,1563,0.00,0.00,14.69,16,29.57,29.50,5.95,-8.80,0.00,-1.70,0.78,0.00,0.00,15.10
45069,0.33,1537,0.00,0.00,14.69,16,29.22,29.50,5.95,-8.80,0.00,-1.70,0.78,0.00,0.00,15.30
45136,0.32,1544,0.00,0.00,14.69,16,29.57,29.50,5.95,-8.76,0.00,-1.70,0.78,0.00,0.00,15.30
45202,0.33,1564,0.00,0.00,14.69,16,29.57,29.50,5.95,-8.76,0.00,-1.70,0.78,0.00,0.00,15.20
45268,0.32,1534,0.00,0.00,14.69,16,29.57,29.00,5.95,-8.76,0.00,-1.70,0.78,0.00,0.00,15.10
45335,0.33,1560,0.00,0.00,14.69,16,29.57,29.50,5.95,-8.74,0.00,-1.70,0.78,0.00,0.00,15.10
45400,0.33,1562,0.00,0.00,14.69,16,29.57,29.50,5.95,-8.76,0.00,-1.70,0.78,0.00,0.00,15.00
45467,0.33,1541,0.00,0.00,14.69,16,29.57,29.50,5.95,-8.76,0.00,-1.70,0.78,0.00,0.00,14.90
45534,0.32,1558,0.00,0.00,14.69,16,29.57,29.50,5.95,-8.72,0.00,-1.70,0.78,0.00,0.00,14.90
45599,0.32,1562,0.00,0.00,14.69,16,29.57,29.50,5.95,-8.72,0.00,-1.70,0.78,0.00,0.00,14.80
45665,0.33,1574,0.00,0.00,14.69,16,29.57,29.50,5.95,-8.72,0.00,-1.70,0.78,0.00,0.00,14.80
45731,0.32,1556,0.00,0.00,14.69,16,29.92,29.50,5.95,-8.72,0.00,-1.70,0.78,0.00,0.00,14.80
45797,0.33,1578,0.00,0.00,14.69,16,29.57,29.50,5.95,-8.72,0.00,-1.70,0.78,0.00,0.00,14.90
45863,0.33,1576,0.00,0.00,14.69,16,29.57,29.50,5.95,-8.74,0.00,-1.70,0.78,0.00,0.00,14.90
45930,0.33,1552,0.00,0.00,14.69,16,29.92,29.50,5.95,-8.70,0.00,-1.70,0.78,0.00,0.00,14.90
45996,0.34,1571,0.00,0.00,14.69,16,29.57,29.50,5.95,-8.72,0.00,-1.70,0.78,0.00,0.00,15.00
46062,0.33,1563,0.00,0.00,14.69,16,29.57,29.50,5.95,-8.70,0.00,-1.70,0.78,0.00,0.00,15.00
46129,0.33,1571,0.00,0.00,14.69,16,29.92,29.50,6.09,-8.66,0.00,-1.70,0.78,0.00,0.00,15.00
46194,0.33,1562,0.00,0.00,14.69,16,29.57,29.50,6.09,-8.66,0.00,-1.70,0.78,0.00,0.00,15.00
46260,0.34,1553,0.00,0.00,14.69,16,29.57,29.50,6.09,-8.60,0.00,-1.70,0.78,0.00,0.00,14.90
46327,0.34,1580,0.00,0.00,14.69,16,29.57,29.50,6.09,-8.60,0.00,-1.70,0.78,0.00,0.00,14.90
46392,0.34,1561,0.00,0.00,14.69,16,29.57,29.50,6.09,-8.60,0.00,-1.70,0.80,0.00,0.00,14.70
46458,0.35,1561,0.00,0.00,14.69,16,29.57,29.50,6.09,-8.53,0.00,-1.70,0.80,0.00,0.00,14.70
46525,0.36,1580,0.00,0.00,14.69,16,29.57,29.50,6.24,-8.49,0.00,-1.70,0.80,0.00,0.00,14.70
46591,0.38,1576,0.00,0.00,14.69,16,29.57,29.50,6.24,-8.35,0.00,-1.70,0.82,0.00,0.00,14.70
46657,0.38,1576,0.00,0.00,14.69,16,29.57,29.50,6.38,-8.24,0.00,-1.70,0.82,0.00,0.00,14.70
46723,0.38,1584,0.00,0.00,14.69,16,29.57,29.50,6.53,-8.10,0.00,-1.70,0.82,0.00,0.00,14.80
46789,0.38,1582,0.00,0.00,14.69,16,29.57,29.50,6.67,-8.02,0.00,-1.70,0.82,0.00,0.00,14.80
46855,0.40,1582,0.00,0.00,14.69,16,29.57,29.50,6.67,-7.95,0.00,-1.70,0.82,0.00,0.00,14.80
46922,0.40,1574,0.00,0.00,14.69,16,29.57,29.50,6.82,-7.93,0.00,-1.70,0.82,0.00,0.00,14.80
46988,0.39,1587,0.00,0.00,14.69,16,29.92,29.50,6.82,-7.85,0.00,-1.70,0.82,0.00,0.00,14.70
47054,0.40,1607,0.00,0.00,14.69,16,29.57,29.50,6.82,-7.87,0.00,-1.70,0.82,0.00,0.00,14.70
47120,0.40,1580,0.00,0.00,14.69,16,29.92,29.50,6.82,-7.83,0.00,-1.70,0.82,0.00,0.00,14.70
47187,0.39,1595,0.00,0.00,14.69,16,29.92,29.50,6.82,-7.83,0.00,-1.70,0.82,0.00,0.00,14.70
47252,0.39,1610,0.00,0.00,14.69,16,29.92,29.50,6.82,-7.83,0.00,-1.70,0.82,0.00,0.00,14.70
47319,0.39,1596,0.00,0.00,14.69,16,29.92,29.50,6.96,-7.81,0.00,-1.70,0.82,0.00,0.00,14.80
47386,0.39,1601,0.00,0.00,14.69,16,29.92,29.50,6.82,-7.81,0.00,-1.70,0.82,0.00,0.00,14.90
47451,0.39,1606,0.00,0.00,14.69,16,29.92,29.50,6.82,-7.83,0.00,-1.70,0.82,0.00,0.00,14.90
47517,0.39,1599,0.00,0.00,14.69,16,29.92,29.50,6.82,-7.83,0.00,-1.70,0.82,0.00,0.00,15.00
47584,0.39,1627,0.00,0.00,14.69,16,29.92,29.50,6.82,-7.87,0.00,-1.70,0.82,0.00,0.00,15.00
47650,0.39,1611,0.00,0.00,14.69,16,29.92,29.50,6.82,-7.87,0.00,-1.70,0.82,0.00,0.00,15.00
47716,0.39,1607,0.00,0.00,14.69,16,29.92,29.50,6.82,-7.87,0.00,-1.70,0.82,0.00,0.00,15.10
47783,0.39,1629,0.00,0.00,14.69,16,29.92,30.00,6.82,-7.89,0.00,-1.70,0.82,0.00,0.00,15.00
47849,0.39,1620,0.00,0.00,14.69,16,30.27,29.50,6.82,-7.91,0.00,-1.70,0.82,0.00,0.00,15.00
47916,0.39,1621,0.00,0.00,14.69,16,29.92,29.50,6.82,-7.91,0.00,-1.70,0.82,0.00,0.00,14.90
47983,0.39,1616,0.00,0.00,14.69,16,30.27,29.50,6.82,-7.93,0.00,-1.70,0.82,0.00,0.00,14.90
48047,0.39,1633,0.00,0.00,14.69,16,29.92,30.00,6.82,-7.95,0.00,-1.70,0.82,0.00,0.00,14.90
48114,0.39,1626,0.00,0.00,14.69,16,30.27,29.50,6.82,-7.95,0.00,-1.70,0.82,0.00,0.00,14.90
48180,0.38,1633,0.00,0.00,14.69,16,30.62,29.50,6.82,-7.95,0.00,-1.70,0.82,0.00,0.00,14.80
48246,0.38,1656,0.00,0.00,14.70,16,30.27,30.00,6.67,-8.02,0.00,-1.70,0.82,0.00,0.00,14.80
48312,0.38,1634,0.00,0.00,14.69,16,30.27,30.00,6.67,-8.02,0.00,-1.70,0.82,0.00,0.00,14.70
48378,0.38,1660,0.00,0.00,14.70,16,30.27,30.00,6.67,-8.06,0.00,-1.70,0.82,0.00,0.00,14.70
48445,0.38,1664,0.00,0.00,14.69,16,30.27,30.50,6.67,-8.08,0.00,-1.70,0.82,0.00,0.00,14.70
48510,0.38,1638,0.00,0.00,14.69,16,30.27,30.00,6.67,-8.04,0.00,-1.70,0.82,0.00,0.00,14.60
48577,0.38,1638,0.00,0.00,14.70,16,30.27,30.00,6.67,-8.04,0.00,-1.70,0.82,0.00,0.00,14.60
48643,0.38,1638,0.00,0.00,14.70,16,30.27,30.00,6.67,-8.04,0.00,-1.70,0.82,0.00,0.00,14.60
48709,0.37,1661,0.00,0.00,15.22,16,30.27,30.50,6.53,-8.08,0.00,-1.70,0.82,0.00,0.00,14.60
48775,0.38,1664,0.00,0.00,13.80,16,30.27,30.50,6.67,-8.08,0.00,-1.70,0.82,0.00,0.00,14.60
48841,0.38,1646,0.00,0.00,14.70,16,30.62,30.50,6.67,-8.06,0.00,-1.70,0.82,0.00,0.00,14.60
48908,0.39,1674,0.00,0.00,14.69,16,30.27,30.00,6.67,-8.06,0.00,-1.70,0.82,0.00,0.00,14.60
48974,0.39,1649,0.00,0.00,14.70,16,30.62,30.00,6.82,-7.97,0.00,-1.70,0.84,0.00,0.00,14.60
49040,0.40,1664,0.00,0.00,14.69,16,30.62,30.50,6.82,-7.95,0.00,-1.70,0.84,0.00,0.00,14.60
49106,0.41,1691,0.00,0.00,14.69,16,30.27,30.00,6.82,-7.89,0.00,-1.70,0.84,0.00,0.00,14.50
49172,0.43,1659,0.00,0.00,14.69,16,30.62,30.50,6.96,-7.79,0.00,-1.70,0.84,0.00,0.00,14.50
49239,0.44,1676,0.00,0.00,14.69,16,30.27,30.00,7.11,-7.70,0.00,-1.70,0.86,0.00,0.00,14.50
49304,0.51,1675,0.00,0.00,13.39,16,30.27,30.00,7.25,-7.48,0.00,-1.70,0.90,0.00,0.00,14.60
49371,0.59,1670,0.00,0.00,13.32,16,30.27,30.50,8.27,-6.63,0.00,-1.70,0.94,0.00,0.00,14.60
49437,0.61,1709,0.00,0.00,14.07,16,29.92,30.00,8.71,-6.05,0.00,-1.70,0.96,0.00,0.00,14.60
49503,0.62,1694,0.00,0.00,14.65,16,30.27,30.00,9.14,-5.63,0.00,-1.70,0.96,0.00,0.00,14.50
49569,0.62,1712,0.00,0.00,14.66,16,30.27,30.00,9.43,-5.28,0.00,-1.70,0.96,0.00,0.00,14.30
49635,0.64,1695,0.00,0.00,14.66,16,30.27,29.50,9.72,-5.05,0.00,-1.70,0.98,0.00,0.00,14.30
49702,0.63,1724,0.00,0.00,14.66,16,30.62,30.00,9.87,-4.80,0.00,-1.70,0.98,0.00,0.00,14.00
49768,0.65,1733,0.00,0.00,14.66,16,30.27,30.00,10.01,-4.70,0.00,-1.70,0.98,0.00,0.00,14.40
49835,0.63,1721,0.00,0.00,14.66,16,30.62,30.00,10.16,-4.64,0.00,-1.70,0.98,0.00,0.00,14.40
49901,0.63,1762,0.00,0.00,14.66,16,30.62,30.50,10.16,-4.54,0.00,-1.70,0.98,0.00,0.00,15.00
49967,0.64,1749,0.00,0.00,14.66,16,30.62,30.50,10.16,-4.52,0.00,-1.70,0.98,0.00,0.00,15.10
50034,0.63,1775,0.00,0.00,14.66,16,30.98,30.50,10.16,-4.51,0.00,-1.70,0.98,0.00,0.00,15.10
50099,0.64,1783,0.00,0.00,14.66,16,30.62,30.50,10.16,-4.52,0.00,-1.70,0.98,0.00,0.00,15.00
50166,0.65,1778,0.00,0.00,14.66,16,30.98,30.50,10.16,-4.51,0.00,-1.70,0.98,0.00,0.00,15.00
50231,0.62,1810,0.00,0.00,15.22,16,30.98,30.50,10.16,-4.52,0.00,-1.70,0.98,0.00,0.00,15.00
50297,0.63,1798,0.00,0.00,14.67,16,30.98,30.50,10.16,-4.52,0.00,-1.70,0.98,0.00,0.00,15.00
50364,0.62,1830,0.00,0.00,14.67,16,31.33,31.00,10.16,-4.54,0.00,-1.70,0.98,0.00,0.00,14.80
50431,0.63,1827,0.00,0.00,14.67,16,31.33,31.00,10.16,-4.58,0.00,-1.70,0.98,0.00,0.00,14.80
50497,0.63,1832,0.00,0.00,14.68,16,31.33,31.00,10.16,-4.56,0.00,-1.70,0.98,0.00,0.00,14.80
50563,0.63,1844,0.00,0.00,15.05,16,31.33,31.00,10.16,-4.58,0.00,-1.70,0.98,0.00,0.00,14.70
50629,0.62,1838,0.00,0.00,14.68,16,31.33,31.00,10.16,-4.56,0.00,-1.70,0.98,0.00,0.00,14.70
50695,0.61,1866,0.00,0.00,14.69,16,31.68,31.50,10.16,-4.60,0.00,-1.70,0.98,0.00,0.00,14.50
50761,0.62,1864,0.00,0.00,14.68,16,31.68,31.50,10.01,-4.62,0.00,-1.70,0.98,0.00,0.00,14.50
50828,0.61,1877,0.00,0.00,14.69,16,31.68,31.50,10.01,-4.62,0.00,-1.70,0.98,0.00,0.00,14.50
50893,0.61,1885,0.00,0.00,14.69,16,31.68,31.50,10.01,-4.64,0.00,-1.70,0.98,0.00,0.00,14.70
50959,0.60,1883,0.00,0.00,14.69,16,32.03,31.50,10.01,-4.64,0.00,-1.70,0.98,0.00,0.00,14.60
51026,0.60,1909,0.00,0.00,14.69,16,32.03,32.00,10.01,-4.70,0.00,-1.70,0.98,0.00,0.00,14.60
51092,0.60,1898,0.00,0.00,14.69,16,32.03,32.00,10.01,-4.76,0.00,-1.70,0.98,0.00,0.00,14.60
51158,0.59,1907,0.00,0.00,14.69,16,32.03,32.00,9.87,-4.78,0.00,-1.70,0.98,0.00,0.00,14.60
51224,0.59,1912,0.00,0.00,14.69,16,32.38,32.00,9.87,-4.80,0.00,-1.70,0.98,0.00,0.00,14.60
51290,0.58,1917,0.00,0.00,15.14,16,32.38,32.00,9.87,-4.87,0.00,-1.70,0.98,0.00,0.00,14.60
51356,0.59,1922,0.00,0.00,14.69,16,32.38,32.00,9.87,-4.89,0.00,-1.70,0.98,0.00,0.00,14.60
51422,0.58,1945,0.00,0.00,14.69,16,32.38,32.00,9.72,-5.05,0.00,-1.70,0.94,0.00,0.00,14.60
51489,0.55,1950,0.00,0.00,14.70,16,32.73,32.50,9.43,-5.32,0.00,-1.70,0.92,0.00,0.00,14.60
51555,0.49,1953,0.00,0.00,15.30,16,32.73,32.50,8.85,-5.96,0.00,-1.70,0.84,0.00,0.00,14.60
51621,0.44,1953,0.00,0.00,15.44,16,33.09,32.50,8.13,-6.71,0.00,-1.70,0.82,0.00,0.00,14.40
51688,0.39,1958,0.00,0.00,15.24,16,33.09,33.00,7.40,-7.27,0.00,-1.70,0.82,0.00,0.00,13.90
51754,0.36,1952,0.00,0.00,15.15,16,33.44,33.00,6.96,-7.79,0.00,-1.70,0.82,0.00,0.00,13.90
51821,0.34,1960,0.00,0.00,15.14,16,33.44,33.00,6.53,-8.20,0.00,-1.70,0.80,0.00,0.00,13.50
51887,0.31,1967,0.00,0.00,15.12,16,33.44,33.00,6.24,-8.55,0.00,-1.70,0.78,0.00,0.00,13.40
51953,0.29,1983,0.00,0.00,14.73,16,33.79,33.50,5.80,-8.95,0.00,-1.70,0.76,0.00,0.00,13.40
52019,0.25,1980,0.00,0.00,15.32,16,33.79,33.50,5.37,-9.42,0.00,-1.70,0.68,0.00,0.00,13.70
52085,0.20,1976,0.00,0.00,15.48,16,27.46,32.50,4.79,-10.04,0.00,-1.70,0.64,0.00,0.00,13.80
