Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Fueling Final Base* (estimated AFR),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Throttle Sensor Voltage (V),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level)
18578,-2.34,-3.12,14.70,8,0.29,910,0.00,0.00,16,14.70,9.88,10.00,0.64,5.51,4.37,1.34,0.00,-9.24
21978,0.00,-3.91,14.81,8,0.28,914,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.32,1.34,0.00,-9.26
22049,0.00,-3.91,14.81,8,0.28,928,0.00,0.00,16,14.70,9.88,9.00,0.64,5.37,4.32,1.34,0.00,-9.28
22114,0.00,-3.91,14.81,8,0.28,931,0.00,0.00,16,14.70,9.88,8.50,0.64,5.37,4.32,1.34,0.00,-9.26
22185,0.00,-3.91,14.81,8,0.28,932,0.00,0.00,16,14.70,9.88,8.50,0.64,5.37,4.32,1.34,0.00,-9.28
22250,0.00,-3.91,14.70,8,0.28,916,0.00,0.00,16,14.70,9.88,10.50,0.64,5.37,4.32,1.34,0.00,-9.26
22321,0.00,-3.91,14.70,8,0.28,933,0.00,0.00,16,14.70,9.88,9.00,0.64,5.37,4.29,1.34,0.00,-9.28
22386,0.00,-3.91,14.70,8,0.28,934,0.00,0.00,16,14.70,9.88,9.00,0.64,5.37,4.32,1.34,0.00,-9.28
22457,0.00,-3.91,14.70,8,0.28,929,0.00,0.00,16,14.70,9.88,9.50,0.64,5.37,4.32,1.34,0.00,-9.30
22538,0.00,-3.91,14.70,8,0.28,921,0.00,0.00,16,14.70,9.88,10.00,0.64,5.37,4.35,1.34,0.00,-9.26
22594,0.00,-3.91,14.70,8,0.28,922,0.00,0.00,16,14.70,9.88,9.50,0.64,5.51,4.32,1.34,0.00,-9.24
22658,0.00,-3.91,14.70,8,0.28,938,0.00,0.00,16,14.70,9.88,8.00,0.64,5.37,4.35,1.34,0.00,-9.26
22731,0.00,-3.91,14.70,8,0.28,940,0.00,0.00,16,14.70,9.88,8.00,0.64,5.37,4.32,1.34,0.00,-9.26
