Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
30223,14.28,0.17,1516,0.00,0.00,16,10.23,11.50,8.56,-1.39,0.64
30395,14.35,0.16,1524,0.00,0.00,16,10.23,10.50,8.47,-1.39,0.64
30567,14.35,0.17,1514,0.00,0.00,16,10.23,11.50,8.44,-1.39,0.64
30739,14.46,0.17,1494,0.00,0.00,16,10.23,14.00,8.39,-1.39,0.64
30910,14.26,0.17,1506,0.00,0.00,16,10.23,11.00,8.47,-1.39,0.64
31087,14.20,0.17,1513,0.00,0.00,16,10.23,11.50,8.60,-1.39,0.64
31259,14.16,0.17,1511,0.00,0.00,16,10.23,11.50,8.47,-1.39,0.64
31431,14.16,0.17,1490,0.00,0.00,16,10.23,14.00,8.44,-1.39,0.64
31603,14.30,0.17,1497,0.00,0.00,16,10.23,13.00,8.39,-1.39,0.64
31774,14.38,0.17,1483,0.00,0.00,16,10.23,14.00,8.31,-1.39,0.64
31947,14.58,0.17,1486,0.00,0.00,16,10.23,13.50,8.60,-1.39,0.64
32119,14.77,0.16,1510,0.00,0.00,16,10.23,12.50,8.36,-1.39,0.64
32296,14.25,0.17,1501,0.00,0.00,16,10.23,11.50,8.36,-1.39,0.64
32468,14.51,0.17,1492,0.00,0.00,16,10.23,13.00,8.56,-1.39,0.64
32640,14.67,0.16,1503,0.00,0.00,16,10.23,11.50,8.44,-1.39,0.64
32816,14.42,0.17,1512,0.00,0.00,16,10.23,11.00,8.44,-1.39,0.64
32988,14.40,0.17,1506,0.00,0.00,16,10.23,11.50,8.74,-1.39,0.64
33160,14.40,0.17,1494,0.00,0.00,16,10.23,13.00,8.47,-1.39,0.64
33347,14.13,0.17,1507,0.00,0.00,16,10.23,11.00,8.47,-1.39,0.64
33519,14.42,0.17,1502,0.00,0.00,16,10.23,11.50,8.47,-1.39,0.64
33691,14.52,0.17,1502,0.00,0.00,16,10.23,11.50,8.47,-1.39,0.64
33863,14.45,0.17,1511,0.00,0.00,16,10.23,10.50,8.44,-1.39,0.64
34035,14.40,0.17,1506,0.00,0.00,16,10.23,11.00,8.39,-1.39,0.64
34207,14.42,0.17,1498,0.00,0.00,16,10.23,11.50,8.52,-1.39,0.64
34378,14.51,0.17,1508,0.00,0.00,16,10.23,10.50,8.56,-1.39,0.64
34550,14.55,0.17,1502,0.00,0.00,16,10.23,11.50,8.39,-1.39,0.64
34722,14.51,0.17,1492,0.00,0.00,16,10.23,12.50,8.39,-1.39,0.64
34894,14.40,0.17,1493,0.00,0.00,16,10.23,12.00,8.39,-1.39,0.64
35081,14.32,0.17,1488,0.00,0.00,16,10.23,12.50,8.47,-1.39,0.64
35253,14.13,0.17,1500,0.00,0.00,16,10.23,11.50,8.36,-1.39,0.64
35425,14.25,0.17,1481,0.00,0.00,16,10.23,11.50,8.36,-1.39,0.64
35597,14.28,0.17,1478,0.00,0.00,16,10.23,13.00,8.52,-1.39,0.64
35770,14.63,0.17,1482,0.00,0.00,16,10.23,12.50,8.31,-1.39,0.64
35942,14.47,0.17,1486,0.00,0.00,16,10.23,12.00,8.47,-1.39,0.64
36114,14.60,0.17,1485,0.00,0.00,16,10.23,12.00,8.60,-1.39,0.64
36286,14.62,0.17,1492,0.00,0.00,16,10.23,11.50,8.56,-1.39,0.64
36458,14.51,0.17,1478,0.00,0.00,16,10.23,11.50,8.44,-1.39,0.64
36629,14.35,0.17,1493,0.00,0.00,16,10.23,11.00,8.31,-1.39,0.64
36817,14.49,0.17,1479,0.00,0.00,16,10.23,13.00,8.36,-1.39,0.64
36989,14.62,0.17,1492,0.00,0.00,16,10.23,11.50,8.65,-1.39,0.64
37161,14.49,0.17,1481,0.00,0.00,16,10.23,12.50,8.47,-1.39,0.64
37332,14.05,0.17,1493,0.00,0.00,16,10.23,11.50,8.56,-1.39,0.64
37504,13.86,0.17,1496,0.00,0.00,16,10.23,11.50,8.60,-1.39,0.64
37676,14.05,0.17,1499,0.00,0.00,16,10.23,11.50,8.36,-1.39,0.64
37848,14.30,0.17,1485,0.00,0.00,16,10.23,13.00,8.39,-1.39,0.64
38020,14.58,0.17,1500,0.00,0.00,16,10.23,11.50,8.39,-1.39,0.64
38192,14.59,0.17,1487,0.00,0.00,16,10.23,13.00,8.39,-1.39,0.64
38379,14.46,0.17,1490,0.00,0.00,16,10.23,12.00,8.47,-1.39,0.64
38552,14.49,0.17,1500,0.00,0.00,16,10.23,11.00,8.31,-1.39,0.64
38724,14.42,0.17,1496,0.00,0.00,16,10.23,11.50,8.36,-1.39,0.64
38900,14.60,0.17,1479,0.00,0.00,16,10.23,13.00,8.31,-1.39,0.64
39077,14.58,0.17,1497,0.00,0.00,16,10.23,11.00,8.31,-1.39,0.64
39249,14.40,0.17,1508,0.00,0.00,16,10.23,10.00,8.44,-1.39,0.64
39421,14.23,0.17,1492,0.00,0.00,16,10.23,11.50,8.36,-1.39,0.64
39595,14.32,0.17,1505,0.00,0.00,16,10.23,10.50,8.39,-1.39,0.64
39772,14.35,0.17,1497,0.00,0.00,16,10.23,11.50,8.31,-1.39,0.64
39944,14.34,0.17,1485,0.00,0.00,16,10.23,13.50,8.14,-1.39,0.64
40116,14.60,0.17,1488,0.00,0.00,16,10.23,12.00,8.23,-1.39,0.64
40288,14.63,0.17,1494,0.00,0.00,16,10.23,11.00,8.36,-1.39,0.64
40463,14.63,0.17,1494,0.00,0.00,16,10.23,11.50,8.47,-1.39,0.64
40635,14.38,0.17,1500,0.00,0.00,16,10.23,10.50,8.23,-1.39,0.62
40796,14.28,0.17,1487,0.00,0.00,16,10.23,11.50,8.31,-1.39,0.64
40968,14.42,0.16,1503,0.00,0.00,16,10.23,11.50,8.19,-1.39,0.64
41155,14.51,0.17,1486,0.00,0.00,16,10.23,12.00,8.23,-1.39,0.64
41327,14.60,0.17,1496,0.00,0.00,16,10.23,11.00,8.23,-1.39,0.64
41499,14.56,0.16,1492,0.00,0.00,16,10.23,11.50,8.11,-1.39,0.64
41672,14.44,0.17,1500,0.00,0.00,16,10.23,10.50,8.31,-1.39,0.64
41844,14.33,0.16,1488,0.00,0.00,16,10.23,11.50,8.14,-1.39,0.64
42016,14.25,0.17,1496,0.00,0.00,16,10.23,10.50,8.27,-1.39,0.64
42188,14.16,0.16,1493,0.00,0.00,16,10.23,11.00,8.14,-1.39,0.64
42359,14.42,0.16,1496,0.00,0.00,16,10.23,11.00,8.11,-1.39,0.64
42547,14.33,0.17,1489,0.00,0.00,16,10.23,11.50,8.14,-1.39,0.64
42708,14.45,0.17,1488,0.00,0.00,16,10.23,11.50,8.19,-1.39,0.64
42880,14.44,0.16,1488,0.00,0.00,16,10.23,11.50,8.23,-1.39,0.64
43055,14.46,0.16,1490,0.00,0.00,16,10.23,11.00,8.06,-1.39,0.64
43227,14.46,0.17,1484,0.00,0.00,16,10.23,11.50,8.14,-1.39,0.64
43414,14.62,0.17,1493,0.00,0.00,16,10.23,10.50,8.31,-1.39,0.64
43571,14.54,0.16,1492,0.00,0.00,16,10.23,10.50,8.14,-1.39,0.64
43758,14.47,0.16,1486,0.00,0.00,16,10.23,11.00,8.23,-1.39,0.64
43931,14.46,0.16,1489,0.00,0.00,16,10.23,11.00,8.06,-1.39,0.64
44102,14.35,0.16,1486,0.00,0.00,16,10.23,11.00,8.06,-1.39,0.64
44274,14.42,0.17,1475,0.00,0.00,16,10.23,12.00,8.31,-1.39,0.64
44446,14.55,0.17,1490,0.00,0.00,16,10.23,10.50,8.27,-1.39,0.64
44618,14.32,0.17,1482,0.00,0.00,16,10.23,11.50,8.36,-1.39,0.64
44790,14.42,0.17,1477,0.00,0.00,16,10.23,13.00,8.27,-1.39,0.64
44962,14.28,0.16,1484,0.00,0.00,16,10.23,11.00,8.11,-1.39,0.64
45134,14.30,0.17,1479,0.00,0.00,16,10.23,11.50,8.14,-1.39,0.64
45306,14.44,0.17,1466,0.00,0.00,16,10.23,12.50,8.19,-1.39,0.64
45477,14.49,0.17,1478,0.00,0.00,16,10.23,11.00,8.23,-1.39,0.64
45649,14.33,0.16,1470,0.00,0.00,16,10.23,12.00,7.98,-1.39,0.64
45821,14.39,0.16,1463,0.00,0.00,16,10.23,13.00,7.94,-1.39,0.64
45993,14.41,0.16,1462,0.00,0.00,16,10.23,13.50,7.82,-1.39,0.62
46165,14.58,0.16,1459,0.00,0.00,16,10.23,13.00,8.11,-1.39,0.64
46337,14.72,0.16,1462,0.00,0.00,16,10.23,13.00,7.94,-1.39,0.64
46509,14.66,0.17,1458,0.00,0.00,16,10.23,12.50,7.94,-1.39,0.64
