Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Coolant Temperature (F),Primary Wastegate Duty Cycle (%)
24242,14.87,0.22,2008,0.00,0.00,16,38.01,38.50,15.40,-1.70,0.84,183,0.00
24429,14.62,0.22,1988,0.00,0.00,16,38.36,38.00,15.11,-1.70,0.84,183,0.00
24632,14.30,0.22,2010,0.00,0.00,16,38.36,38.00,14.73,-1.70,0.84,183,0.00
24820,14.68,0.22,1998,0.00,0.00,16,38.01,38.00,14.22,-1.70,0.82,183,0.00
25008,14.18,0.20,2006,0.00,0.00,16,37.66,37.50,13.71,-1.70,0.82,183,0.00
25196,14.44,0.18,2015,0.00,0.00,16,36.60,36.50,12.98,-1.70,0.82,183,0.00
25399,14.79,0.20,2004,0.00,0.00,16,38.01,37.50,12.85,-1.70,0.82,183,0.00
25586,14.63,0.20,2010,0.00,0.00,16,38.01,38.00,13.51,-1.70,0.82,183,0.00
25774,14.21,0.21,1999,0.00,0.00,16,38.36,38.00,14.22,-1.39,0.84,183,0.00
25961,13.98,0.24,2010,0.00,0.00,16,39.06,38.50,15.77,-1.70,0.86,183,0.00
26149,13.56,0.25,2004,0.00,0.00,16,39.06,39.00,16.29,-1.39,0.86,183,0.00
26352,13.89,0.25,2013,0.00,0.00,16,39.06,39.00,16.44,-1.70,0.88,183,0.00
26539,14.31,0.25,2018,0.00,0.00,16,39.41,39.00,16.96,-1.70,0.88,183,0.00
26731,14.13,0.25,2015,0.00,0.00,16,39.41,39.00,17.26,-1.70,0.88,183,0.00
26925,14.13,0.24,2010,0.00,0.00,16,39.41,39.00,15.70,-1.70,0.88,183,0.00
27113,14.52,0.24,2006,0.00,0.00,16,39.06,39.00,16.74,-1.70,0.86,181,0.00
27301,14.48,0.24,2022,0.00,0.00,16,39.06,39.00,16.82,-1.70,0.86,181,0.00
27488,14.37,0.24,2012,0.00,0.00,16,39.41,39.00,16.44,-1.70,0.86,181,0.00
27691,13.92,0.24,2021,0.00,0.00,16,39.06,39.00,16.44,-1.70,0.86,181,0.00
27879,14.09,0.25,2029,0.00,0.00,16,39.41,39.00,16.51,-1.70,0.88,181,0.00
28066,14.16,0.26,2015,0.00,0.00,16,39.77,39.00,17.04,-1.70,0.88,181,0.00
28254,14.05,0.27,2028,0.00,0.00,16,40.12,39.00,16.74,-1.70,0.90,181,0.00
28457,14.46,0.29,2020,0.00,0.00,16,40.12,40.00,19.35,-1.70,0.92,181,0.00
28644,13.95,0.29,2028,0.00,0.00,16,40.47,40.00,19.58,-1.70,0.92,181,0.00
28832,13.93,0.28,2037,0.00,0.00,16,40.12,40.00,19.81,-1.70,0.92,181,0.00
29019,14.37,0.29,2032,0.00,0.00,16,40.47,40.00,19.81,-1.70,0.92,181,0.00
29222,14.17,0.29,2049,0.00,0.00,16,40.47,40.00,19.66,-1.70,0.92,181,0.00
29410,13.91,0.29,2054,0.00,0.00,16,40.47,40.00,19.57,-1.70,0.92,181,0.00
29597,14.04,0.28,2044,0.00,0.00,16,40.47,40.00,19.66,-1.70,0.92,181,0.00
29785,14.01,0.28,2047,0.00,0.00,16,40.47,40.00,19.58,-1.70,0.92,181,0.00
29988,13.82,0.29,2068,0.00,0.00,16,40.47,40.00,19.74,-1.70,0.92,181,0.00
30175,13.82,0.28,2070,0.00,0.00,16,40.82,40.00,19.04,-1.70,0.92,181,0.00
30363,14.21,0.28,2062,0.00,0.00,16,40.82,40.00,18.10,-1.70,0.92,181,0.00
30550,14.26,0.28,2058,0.00,0.00,16,40.82,40.50,19.51,-1.70,0.92,181,0.00
30738,13.82,0.29,2078,0.00,0.00,16,40.82,40.50,19.57,-1.70,0.92,181,0.00
30941,13.89,0.30,2079,0.00,0.00,16,40.82,40.50,20.23,-1.70,0.94,181,0.00
31128,13.90,0.35,2072,0.00,0.00,16,40.12,40.00,23.63,-0.77,1.02,181,0.00
31316,13.39,0.37,2078,0.00,0.00,16,39.06,38.50,25.78,-0.46,1.04,181,0.00
31503,13.91,0.38,2098,0.00,0.00,16,38.01,38.00,26.63,-0.15,1.04,181,0.00
31706,13.78,0.38,2108,0.00,0.00,16,38.71,38.50,26.31,0.46,1.04,181,0.00
31883,13.93,0.37,2116,0.00,0.00,16,39.77,40.00,25.90,-0.46,1.02,181,0.00
32086,13.97,0.35,2114,0.00,0.00,16,40.82,40.50,24.23,-0.46,1.00,181,0.00
32274,13.92,0.33,2116,0.00,0.00,16,40.82,41.00,23.34,-1.39,0.96,181,0.00
32461,13.80,0.32,2110,0.00,0.00,16,41.52,41.00,22.24,-2.01,0.94,181,0.00
32649,14.15,0.30,2120,0.00,0.00,16,41.52,41.00,21.36,-2.01,0.94,181,0.00
32852,14.12,0.29,2126,0.00,0.00,16,41.52,41.50,20.84,-2.01,0.92,181,0.00
33039,13.85,0.26,2128,0.00,0.00,16,41.52,41.00,18.34,-2.01,0.92,181,0.00
33227,14.30,0.28,2125,0.00,0.00,16,41.88,41.50,19.90,-2.01,0.92,181,0.00
33414,14.13,0.28,2138,0.00,0.00,16,41.88,41.50,19.81,-2.01,0.92,181,0.00
33602,14.01,0.27,2135,0.00,0.00,16,41.88,41.50,19.91,-2.01,0.90,180,0.00
33805,13.72,0.25,2140,0.00,0.00,16,41.52,41.50,18.18,-2.01,0.90,180,0.00
33992,14.11,0.25,2143,0.00,0.00,16,41.17,41.00,17.71,-2.01,0.90,180,0.00
34180,14.42,0.25,2150,0.00,0.00,16,41.17,41.50,18.88,-2.01,0.90,180,0.00
34370,14.33,0.26,2146,0.00,0.00,16,41.88,41.50,19.20,-2.01,0.90,180,0.00
34573,14.11,0.27,2151,0.00,0.00,16,42.23,42.00,19.27,-2.01,0.90,180,0.00
34761,13.58,0.27,2145,0.00,0.00,16,41.88,41.50,18.80,-2.01,0.90,180,0.00
34948,13.93,0.26,2158,0.00,0.00,16,42.23,41.50,18.80,-2.01,0.90,180,0.00
35138,13.86,0.26,2157,0.00,0.00,16,41.88,41.50,18.41,-2.01,0.90,180,0.00
35325,14.06,0.26,2181,0.00,0.00,16,41.88,41.50,18.41,-2.01,0.90,180,0.00
35533,13.96,0.26,2172,0.00,0.00,16,41.88,41.50,18.88,-2.01,0.90,180,0.00
35705,13.73,0.25,2173,0.00,0.00,16,41.52,41.50,18.72,-2.01,0.90,180,0.00
35908,13.53,0.25,2172,0.00,0.00,16,41.17,41.50,18.18,-2.01,0.88,180,0.00
36095,13.88,0.25,2172,0.00,0.00,16,41.17,41.50,17.86,-2.01,0.88,180,0.00
36283,14.03,0.24,2174,0.00,0.00,16,40.82,41.00,17.19,-2.01,0.88,180,0.00
36470,13.90,0.22,2171,0.00,0.00,16,40.47,40.00,16.51,-2.01,0.86,180,0.00
36663,14.03,0.22,2175,0.00,0.00,16,40.47,40.00,16.00,-2.01,0.86,180,0.00
36855,13.76,0.21,2170,0.00,0.00,16,39.77,39.50,15.12,-2.01,0.84,180,0.00
37042,13.85,0.20,2159,0.00,0.00,16,39.41,39.00,14.22,-2.01,0.84,180,0.00
37245,13.62,0.18,2151,0.00,0.00,16,38.71,38.50,13.90,-2.01,0.82,180,0.00
37433,14.32,0.19,2155,0.00,0.00,16,39.06,38.50,13.52,-2.01,0.82,180,0.00
37620,14.22,0.19,2154,0.00,0.00,16,39.06,38.50,13.32,-2.01,0.82,180,0.00
37808,13.66,0.19,2146,0.00,0.00,16,39.06,39.00,13.84,-2.01,0.82,180,0.00
38011,14.01,0.19,2144,0.00,0.00,16,39.06,38.50,13.58,-2.01,0.82,180,0.00
38198,13.74,0.19,2139,0.00,0.00,16,38.71,39.00,13.96,-2.01,0.82,180,0.00
38386,14.00,0.20,2135,0.00,0.00,16,39.41,39.50,14.86,-2.01,0.86,180,0.00
38589,13.80,0.24,2138,0.00,0.00,16,40.82,40.00,17.26,-2.01,0.88,180,0.00
38776,13.65,0.27,2131,0.00,0.00,16,41.88,41.50,17.71,-2.01,0.92,180,0.00
38964,13.76,0.28,2129,0.00,0.00,16,41.52,41.50,19.51,-2.01,0.94,180,0.00
39156,14.09,0.30,2130,0.00,0.00,16,41.52,41.50,21.19,-2.01,0.98,180,0.00
39344,14.17,0.33,2134,0.00,0.00,16,41.17,41.00,23.34,-1.08,1.00,180,0.00
39536,13.98,0.35,2128,0.00,0.00,16,41.17,41.00,24.22,-0.46,1.02,180,0.00
39723,13.93,0.36,2128,0.00,0.00,16,40.12,40.00,25.49,-0.15,1.02,180,0.00
39926,13.78,0.38,2128,0.00,0.00,16,39.06,40.00,25.50,-0.15,1.04,180,0.00
40114,13.86,0.39,2139,0.00,0.00,16,38.36,39.00,26.62,0.46,1.04,180,0.00
40301,13.74,0.38,2134,0.00,0.00,16,39.06,38.00,27.47,0.46,1.06,180,0.00
40489,14.12,0.39,2142,0.00,0.00,16,38.36,37.50,27.99,0.46,1.04,180,0.00
40692,13.84,0.38,2143,0.00,0.00,16,38.36,38.00,27.68,0.46,1.04,180,0.00
40879,13.92,0.38,2158,0.00,0.00,16,38.01,38.00,27.68,0.46,1.04,180,0.00
41071,13.91,0.38,2138,0.00,0.00,16,39.06,38.00,27.57,-0.15,1.04,178,0.00
41259,13.82,0.39,2151,0.00,0.00,16,38.36,38.00,27.37,-0.15,1.04,178,0.00
41451,13.68,0.38,2145,0.00,0.00,16,38.01,39.00,27.04,-0.15,1.04,178,0.00
41639,13.80,0.38,2151,0.00,0.00,16,38.71,38.00,27.69,-0.15,1.04,178,0.00
41826,13.66,0.38,2154,0.00,0.00,16,38.36,38.00,27.69,-0.15,1.04,178,0.00
42029,13.82,0.38,2157,0.00,0.00,16,39.06,39.00,26.94,-0.15,1.02,178,0.00
42217,13.69,0.37,2150,0.00,0.00,16,40.82,39.00,26.84,-0.77,1.02,178,0.00
42404,14.08,0.37,2158,0.00,0.00,16,39.77,39.00,26.84,-0.77,1.02,178,0.00
42592,13.61,0.36,2172,0.00,0.00,16,40.47,40.50,25.90,-0.77,1.02,178,0.00
42795,13.82,0.36,2179,0.00,0.00,16,40.82,40.50,25.79,-0.77,1.00,178,0.00
42982,13.73,0.36,2179,0.00,0.00,16,41.17,40.50,26.10,-1.08,1.00,178,0.00
43170,13.72,0.36,2176,0.00,0.00,16,40.47,40.50,25.99,-1.08,1.00,178,0.00
43373,13.59,0.36,2177,0.00,0.00,16,40.82,40.50,25.90,-1.08,1.00,178,0.00
43562,13.96,0.36,2178,0.00,0.00,16,40.82,40.00,25.90,-0.77,1.00,178,0.00
43750,13.69,0.35,2181,0.00,0.00,16,41.52,41.00,26.31,-0.77,1.02,178,0.00
43937,14.06,0.37,2167,0.00,0.00,16,40.47,40.00,26.41,-0.77,1.02,178,0.00
44125,13.68,0.36,2177,0.00,0.00,16,40.12,40.00,26.73,-0.77,1.02,178,0.00
44312,13.25,0.39,2176,0.00,0.00,16,38.71,39.00,27.48,-0.15,1.04,178,0.00
44500,13.43,0.40,2182,0.00,0.00,16,37.66,37.50,28.86,0.15,1.08,178,0.00
44703,13.44,0.42,2199,0.00,0.00,16,36.25,36.00,30.51,1.08,1.10,178,0.00
44891,13.51,0.42,2205,0.00,0.00,16,35.20,36.00,31.20,1.08,1.10,178,0.00
45078,13.48,0.42,2198,0.00,0.00,16,36.60,35.50,30.52,1.08,1.06,178,0.00
45266,13.55,0.38,2197,0.00,0.00,16,39.77,39.00,27.58,-0.77,1.02,178,0.00
45469,13.44,0.35,2206,0.00,0.00,16,41.88,41.50,24.03,-1.39,0.98,178,0.00
45661,13.75,0.33,2206,0.00,0.00,16,42.23,42.00,24.42,-2.32,0.96,178,0.00
45848,13.60,0.32,2218,0.00,0.00,16,42.58,42.50,24.13,-2.32,0.94,178,0.00
46036,13.49,0.31,2233,0.00,0.00,16,42.58,42.00,22.59,-2.32,0.94,178,0.00
46223,13.58,0.29,2218,0.00,0.00,16,42.93,42.50,21.10,-2.32,0.94,178,0.00
46411,13.67,0.29,2223,0.00,0.00,16,42.58,42.50,21.98,-2.32,0.94,178,0.00
46614,13.62,0.29,2229,0.00,0.00,16,42.93,42.50,21.89,-2.32,0.94,178,0.00
46801,13.48,0.29,2223,0.00,0.00,16,42.93,42.50,21.36,-2.32,0.92,178,0.00
46989,13.72,0.28,2227,0.00,0.00,16,43.28,43.00,20.23,-2.32,0.92,178,0.00
47176,13.61,0.27,2246,0.00,0.00,16,43.28,43.00,19.82,-2.32,0.90,178,0.00
47364,13.58,0.24,2227,0.00,0.00,16,42.23,42.50,17.85,-2.32,0.86,178,0.00
47567,13.09,0.22,2238,0.00,0.00,16,41.52,41.50,15.91,-2.32,0.84,178,0.00
47754,13.17,0.20,2235,0.00,0.00,16,40.82,40.50,15.25,-2.32,0.84,178,0.00
47942,13.38,0.18,2250,0.00,0.00,16,39.06,39.00,14.84,-2.32,0.82,178,0.00
48129,13.95,0.16,2255,0.00,0.00,16,38.71,38.00,11.60,-2.32,0.82,178,0.00
48332,14.63,0.17,2238,0.00,0.00,16,38.36,38.00,11.81,-2.32,0.82,178,0.00
48520,14.31,0.17,2246,0.00,0.00,16,38.71,38.50,12.63,-2.32,0.82,178,0.00
48707,13.87,0.16,2246,0.00,0.00,16,37.66,37.00,11.66,-2.32,0.80,178,0.00
48895,14.23,0.16,2231,0.00,0.00,16,37.66,38.00,11.82,-2.32,0.80,178,0.00
49098,13.82,0.15,2243,0.00,0.00,16,36.95,36.50,11.13,-2.32,0.78,178,0.00
49286,14.21,0.16,2244,0.00,0.00,16,37.66,36.50,11.04,-2.32,0.78,178,0.00
