Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Coolant Temperature (F),Primary Wastegate Duty Cycle (%)
24289,14.39,0.14,1212,0.00,0.00,16,7.07,6.00,5.65,-1.39,0.64,185,0.00
24481,14.69,0.14,1212,0.00,0.00,16,7.07,7.00,5.68,-1.39,0.64,183,0.00
24674,14.65,0.14,1215,0.00,0.00,16,7.07,7.00,5.72,-1.39,0.64,185,0.00
24861,14.72,0.14,1216,0.00,0.00,16,10.59,8.00,5.72,-1.39,0.64,185,0.00
25049,14.58,0.14,1248,0.00,0.00,16,10.59,8.00,5.65,-1.39,0.64,185,0.00
25236,14.75,0.14,1248,0.00,0.00,16,10.59,9.50,5.72,-1.39,0.64,185,0.00
25439,14.92,0.14,1258,0.00,0.00,16,10.59,7.50,5.72,-1.39,0.64,185,0.00
25627,15.03,0.14,1265,0.00,0.00,16,10.23,7.00,5.72,-1.39,0.64,185,0.00
25814,15.01,0.13,1274,0.00,0.00,16,10.23,7.00,5.68,-1.39,0.64,185,0.00
26002,14.98,0.13,1269,0.00,0.00,16,10.23,8.00,5.68,-1.39,0.64,185,0.00
26205,15.02,0.13,1288,0.00,0.00,16,10.23,8.00,5.62,-1.39,0.64,185,0.00
26392,15.00,0.13,1280,0.00,0.00,16,10.23,8.00,5.65,-1.39,0.64,185,0.00
26580,14.84,0.13,1286,0.00,0.00,16,10.23,8.00,5.52,-1.39,0.64,185,0.00
26767,14.72,0.13,1274,0.00,0.00,16,10.23,9.50,5.59,-1.39,0.64,185,0.00
26961,14.84,0.13,1279,0.00,0.00,16,10.23,9.50,5.62,-1.39,0.64,185,0.00
27149,14.95,0.13,1283,0.00,0.00,16,10.23,9.00,5.52,-1.39,0.64,185,0.00
27338,14.92,0.13,1283,0.00,0.00,16,10.23,9.50,5.49,-1.39,0.64,185,0.00
27541,14.84,0.13,1285,0.00,0.00,16,10.23,9.50,5.46,-1.39,0.64,185,0.00
27731,14.74,0.13,1273,0.00,0.00,16,10.23,10.50,5.43,-1.39,0.64,185,0.00
27919,14.77,0.13,1277,0.00,0.00,16,10.23,10.50,5.40,-1.39,0.64,185,0.00
28107,14.81,0.12,1284,0.00,0.00,16,10.23,9.50,5.27,-1.39,0.64,185,0.00
28294,14.77,0.12,1276,0.00,0.00,16,10.23,10.50,5.27,-1.39,0.64,185,0.00
28497,14.74,0.12,1273,0.00,0.00,16,10.23,11.00,5.27,-1.39,0.64,185,0.00
28685,14.76,0.12,1275,0.00,0.00,16,10.23,10.50,5.21,-1.39,0.64,185,0.00
28872,14.79,0.12,1262,0.00,0.00,16,10.23,11.50,5.14,-1.39,0.64,185,0.00
29060,14.81,0.12,1257,0.00,0.00,16,10.59,10.50,5.17,-1.39,0.64,185,0.00
29247,14.81,0.12,1252,0.00,0.00,16,10.59,10.00,5.21,-1.39,0.64,185,0.00
29450,14.67,0.12,1262,0.00,0.00,16,10.59,10.50,5.10,-1.39,0.64,185,0.00
29642,14.72,0.13,1244,0.00,0.00,16,10.59,11.50,5.21,-1.39,0.64,185,0.00
29830,14.69,0.12,1243,0.00,0.00,16,10.59,11.50,5.14,-1.39,0.64,185,0.00
30022,14.65,0.12,1252,0.00,0.00,16,10.23,10.50,5.01,-1.39,0.64,185,0.00
30210,14.51,0.12,1244,0.00,0.00,16,10.59,11.00,5.08,-1.39,0.64,187,0.00
30392,14.69,0.12,1242,0.00,0.00,16,10.59,10.50,5.14,-1.39,0.64,187,0.00
30583,14.72,0.13,1238,0.00,0.00,16,10.59,10.50,5.17,-1.39,0.64,187,0.00
30786,14.63,0.12,1245,0.00,0.00,16,10.59,10.50,5.10,-1.39,0.64,187,0.00
30974,14.53,0.12,1242,0.00,0.00,16,10.59,11.50,5.08,-1.39,0.64,187,0.00
31162,14.55,0.13,1236,0.00,0.00,16,10.59,12.50,5.01,-1.39,0.64,187,0.00
31353,14.49,0.12,1233,0.00,0.00,16,10.59,11.50,5.04,-1.39,0.64,187,0.00
31540,14.62,0.12,1230,0.00,0.00,16,10.59,10.50,5.08,-1.39,0.64,187,0.00
31728,14.65,0.13,1229,0.00,0.00,16,10.59,10.50,5.14,-1.39,0.64,187,0.00
31931,14.63,0.12,1235,0.00,0.00,16,10.59,9.50,5.08,-1.39,0.64,187,0.00
32118,14.65,0.13,1236,0.00,0.00,16,10.59,9.50,5.21,-1.39,0.64,187,0.00
