Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
41582,12.06,0.16,1705,0.00,0.00,16,11.99,20.50,3.92,-10.60,8.78,-1.49,0.64
41773,14.70,0.16,1404,0.00,0.00,16,10.94,20.00,4.50,-9.98,7.66,-1.49,0.64
41969,21.82,0.15,1278,0.00,0.00,16,10.94,19.00,5.22,-9.55,6.95,-1.49,0.64
42154,22.74,0.14,1280,0.00,0.00,16,10.94,17.00,4.93,-9.73,6.01,-1.49,0.64
42346,18.95,0.15,1250,0.00,0.00,16,10.94,18.00,4.93,-9.73,5.98,-1.49,0.64
42539,15.16,0.19,1249,0.00,0.00,16,13.40,11.50,5.51,-9.13,8.11,-1.49,0.76
42728,13.78,0.19,1387,0.00,0.00,16,19.73,18.50,6.24,-8.47,8.48,-1.49,0.78
42919,12.63,0.19,1658,0.00,0.00,16,30.98,25.00,6.24,-8.39,10.45,-1.49,0.80
43109,15.16,0.20,1842,0.00,0.00,16,33.79,35.00,6.24,-8.39,12.09,-1.49,0.84
43300,16.19,0.22,1858,0.00,0.00,16,33.79,34.50,6.67,-8.06,13.32,-1.49,0.84
43492,14.93,0.23,1854,0.00,0.00,16,34.14,35.00,7.11,-7.62,14.22,-1.49,0.86
43682,14.93,0.24,1838,0.00,0.00,16,34.49,35.00,7.40,-7.37,14.66,-1.49,0.86
43873,15.04,0.25,1813,0.00,0.00,16,35.55,34.00,7.55,-7.17,14.98,-1.49,0.88
44064,14.81,0.24,1823,0.00,0.00,16,35.20,34.50,7.69,-7.08,14.98,-1.49,0.88
44255,14.59,0.25,1848,0.00,0.00,16,35.20,35.50,7.69,-7.04,15.11,-1.49,0.88
44443,14.59,0.25,1858,0.00,0.00,16,35.20,35.50,7.69,-7.04,15.33,-1.49,0.88
44638,14.36,0.25,1841,0.00,0.00,16,35.20,35.00,7.69,-7.00,14.73,-1.49,0.88
44829,14.70,0.24,1839,0.00,0.00,16,35.55,35.00,7.69,-7.02,14.73,-1.49,0.88
45020,14.47,0.25,1857,0.00,0.00,16,35.90,35.50,7.69,-7.04,15.25,-1.49,0.88
