Time (msec),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Engine Speed (rpm),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
10823,0.00,0.00,16,1104,-9.63,-1.08,0.64
10863,0.00,0.00,16,1104,-9.63,-1.08,0.64
10904,0.00,0.00,16,1096,-9.61,-1.08,0.64
10941,0.00,0.00,16,1100,-9.63,-1.08,0.64
10977,0.00,0.00,16,1100,-9.57,-1.08,0.64
11017,0.00,0.00,16,1096,-9.57,-1.08,0.64
11057,0.00,0.00,16,1096,-9.59,-1.08,0.64
11097,0.00,0.00,16,1096,-9.57,-1.08,0.64
11137,0.00,0.00,16,1096,-9.57,-1.08,0.64
11177,0.00,0.00,16,1104,-9.59,-1.08,0.64
11213,0.00,0.00,16,1094,-9.57,-1.08,0.64
11253,0.00,0.00,16,1094,-9.63,-1.08,0.64
11285,0.00,0.00,16,1098,-9.61,-1.08,0.64
11325,0.00,0.00,16,1098,-9.57,-1.08,0.64
11365,0.00,0.00,16,1098,-9.57,-1.08,0.64
11403,0.00,0.00,16,1088,-9.57,-1.08,0.64
11443,0.00,0.00,16,1088,-9.57,-1.08,0.64
11483,0.00,0.00,16,1096,-9.57,-1.08,0.64
11523,0.00,0.00,16,1096,-9.57,-1.08,0.64
11563,0.00,0.00,16,1096,-9.57,-1.08,0.64
11595,0.00,0.00,16,1101,-9.61,-1.08,0.64
11643,0.00,0.00,16,1101,-9.57,-1.08,0.64
11675,0.00,0.00,16,1104,-9.57,-1.08,0.64
11715,0.00,0.00,16,1104,-9.61,-1.08,0.64
11755,0.00,0.00,16,1094,-9.57,-1.08,0.64
11795,0.00,0.00,16,1106,-9.57,-1.08,0.64
11827,0.00,0.00,16,1106,-9.59,-1.08,0.64
11867,0.00,0.00,16,1106,-9.57,-1.08,0.64
11907,0.00,0.00,16,1106,-9.63,-1.08,0.64
11947,0.00,0.00,16,1108,-9.63,-1.08,0.64
11987,0.00,0.00,16,1108,-9.63,-1.08,0.64
12027,0.00,0.00,16,1116,-9.63,-1.08,0.64
12062,0.00,0.00,16,1106,-9.63,-1.08,0.64
12102,0.00,0.00,16,1106,-9.63,-1.08,0.64
12142,0.00,0.00,16,1102,-9.63,-1.08,0.64
12182,0.00,0.00,16,1102,-9.63,-1.08,0.64
12214,0.00,0.00,16,1110,-9.63,-1.08,0.64
12254,0.00,0.00,16,1105,-9.63,-1.08,0.64
12294,0.00,0.00,16,1105,-9.63,-1.08,0.64
12330,0.00,0.00,16,1106,-9.63,-1.08,0.64
12370,0.00,0.00,16,1106,-9.63,-1.08,0.64
12410,0.00,0.00,16,1089,-9.61,-1.08,0.64
12450,0.00,0.00,16,1100,-9.63,-1.08,0.64
12490,0.00,0.00,16,1100,-9.61,-1.08,0.64
12530,0.00,0.00,16,1112,-9.57,-1.08,0.64
12562,0.00,0.00,16,1112,-9.63,-1.08,0.64
12602,0.00,0.00,16,1107,-9.63,-1.08,0.64
12643,0.00,0.00,16,1105,-9.61,-1.08,0.64
12683,0.00,0.00,16,1105,-9.63,-1.08,0.64
12725,0.00,0.00,16,1088,-9.59,-1.08,0.64
12757,0.00,0.00,16,1088,-9.59,-1.08,0.64
12797,0.00,0.00,16,1092,-9.63,-1.08,0.64
12837,0.00,0.00,16,1092,-9.57,-1.08,0.64
12877,0.00,0.00,16,1110,-9.57,-1.08,0.64
