Time (msec),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Engine Speed (rpm),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Turbo Dynamics Proportional* (absolute %)
8017,0.00,0.00,16,1082,-9.73,0.00,-1.08,0.64,0.00
8065,0.00,0.00,16,1076,-9.75,0.00,-1.08,0.64,0.00
8105,0.00,0.00,16,1076,-9.73,0.00,-1.08,0.64,0.00
8153,0.00,0.00,16,1076,-9.73,0.00,-1.08,0.64,0.00
8201,0.00,0.00,16,1082,-9.73,0.00,-1.08,0.64,0.00
8249,0.00,0.00,16,1084,-9.73,0.00,-1.08,0.64,0.00
8289,0.00,0.00,16,1082,-9.73,0.00,-1.08,0.64,0.00
8337,0.00,0.00,16,1082,-9.73,0.00,-1.08,0.64,0.00
8385,0.00,0.00,16,1068,-9.73,0.00,-1.08,0.64,0.00
8426,0.00,0.00,16,1069,-9.73,0.00,-1.08,0.64,0.00
8474,0.00,0.00,16,1069,-9.73,0.00,-1.08,0.64,0.00
8522,0.00,0.00,16,1065,-9.73,0.00,-1.08,0.64,0.00
8562,0.00,0.00,16,1072,-9.71,0.00,-1.08,0.64,0.00
8610,0.00,0.00,16,1072,-9.73,0.00,-1.08,0.64,0.00
8658,0.00,0.00,16,1068,-9.73,0.00,-1.08,0.64,0.00
8698,0.00,0.00,16,1077,-9.73,0.00,-1.08,0.64,0.00
8746,0.00,0.00,16,1066,-9.73,0.00,-1.08,0.64,0.00
8794,0.00,0.00,16,1066,-9.71,0.00,-1.08,0.64,0.00
8838,0.00,0.00,16,1066,-9.73,0.00,-1.08,0.64,0.00
8885,0.00,0.00,16,1062,-9.71,0.00,-1.08,0.64,0.00
8926,0.00,0.00,16,1062,-9.71,0.00,-1.08,0.64,0.00
8974,0.00,0.00,16,1074,-9.73,0.00,-1.08,0.64,0.00
9022,0.00,0.00,16,1082,-9.69,0.00,-1.08,0.64,0.00
9069,0.00,0.00,16,1082,-9.73,0.00,-1.08,0.64,0.00
9110,0.00,0.00,16,1070,-9.69,0.00,-1.08,0.64,0.00
9158,0.00,0.00,16,1064,-9.71,0.00,-1.08,0.64,0.00
9205,0.00,0.00,16,1064,-9.73,0.00,-1.08,0.64,0.00
9246,0.00,0.00,16,1055,-9.71,0.00,-1.08,0.64,0.00
9294,0.00,0.00,16,1054,-9.73,0.00,-1.08,0.64,0.00
9341,0.00,0.00,16,1070,-9.67,0.00,-1.08,0.64,0.00
9382,0.00,0.00,16,1070,-9.67,0.00,-1.08,0.64,0.00
9430,0.00,0.00,16,1076,-9.69,0.00,-1.08,0.64,0.00
9477,0.00,0.00,16,1073,-9.73,0.00,-1.08,0.64,0.00
9517,0.00,0.00,16,1073,-9.73,0.00,-1.08,0.64,0.00
9565,0.00,0.00,16,1060,-9.69,0.00,-1.08,0.64,0.00
9613,0.00,0.00,16,1057,-9.73,0.00,-1.08,0.64,0.00
9661,0.00,0.00,16,1057,-9.71,0.00,-1.08,0.64,0.00
9702,0.00,0.00,16,1051,-9.67,0.00,-1.08,0.64,0.00
9750,0.00,0.00,16,1066,-9.69,0.00,-1.08,0.64,0.00
9797,0.00,0.00,16,1074,-9.67,0.00,-1.08,0.64,0.00
9837,0.00,0.00,16,1074,-9.69,0.00,-1.08,0.64,0.00
9886,0.00,0.00,16,1070,-9.69,0.00,-1.08,0.64,0.00
9930,0.00,0.00,16,1072,-9.69,0.00,-1.08,0.64,0.00
